"","realtime","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","Light"
"132",131,"","","","e,d","","","","e","e","e","","",NA
"133",132,"","","","e,d","","","","e","e","e","","",NA
"134",133,"","","","e","","","","e","e","e,d","","",NA
"135",134,"","","","e","","","","d,e","d","e,d","","",NA
"136",135,"","","","e,d","","","","e","d","e,d","","",NA
"137",136,"","","","e","","","","e","","e,d","","",NA
"138",137,"","","","","","","","e","","e","","",NA
"139",138,"","","","","","","","e","e,d","d,e","","",NA
"140",139,"","","","e","","","","e","e","d,e","","",NA
"141",140,"","","","d","","","","e","","e","","",NA
"142",141,"","","","e","","","e","e","e","","","",NA
"143",142,"","","","","","","e","","e","","","",NA
"144",143,"e","","","","","","e","d","e","","","",NA
"145",144,"e","","","","","","e","","e","","","",NA
"146",145,"e","","","","","","e","","d","","","",NA
"147",146,"e","","","","","e","e","","d","","","",NA
"148",147,"e","","","","","e","e","","","e","","",NA
"149",148,"e","","","","","e,d","e","","","e","","",NA
"150",149,"e","","","","","e","e","","e","e","","",NA
"151",150,"","","","e,d","","e,d","","","e","e,d","","",NA
"152",151,"e","","","e","","e","d","","e,d","","","",NA
"153",152,"","","","e","","e,d","e","e","","","","",NA
"154",153,"","","","","","e","e","e","e","","","",NA
"155",154,"","","","e","","e","e","","","","","",NA
"156",155,"","","","","","e","","","e","","","",NA
"157",156,"e","","","e","","e","","","","","","",NA
"158",157,"e","","","e","","e","","","","","","",NA
"159",158,"e","","","e,d","","e,d","","","","","","",NA
"160",159,"","","","","","","","","","","","",NA
"161",160,"","e","","","","","","","","","","",NA
"162",161,"","e","","","","","","","","","","",NA
"163",162,"","d","","","","","","","","","","",NA
"164",163,"","e,d","","","","","","","","","","",NA
"165",164,"","d","","","","","","","","","","",NA
"166",165,"","","","","","","","","","","","",NA
"167",166,"","e","","","","","","","","","","",NA
"168",167,"","","","","","","","","","","","",NA
"169",168,"","","","","","","","","","","","",NA
"170",169,"","","","","","","","","","","","",NA
"171",170,"","","","","","","","","","","","",NA
"172",171,"","","","","","","","","","","","",NA
"173",172,"","e","","","","","","","","","","",NA
"174",173,"","e","","","","","","","","","","",NA
"175",174,"","","","","","","","","","","","",NA
"176",175,"","","","","","","","","","","","",NA
"177",176,"","e","","","","","","","","","","",NA
"178",177,"","d,e","","","","","","","","","","",NA
"179",178,"","e","","","","","","","","","","",NA
"180",179,"","e,d","","","","","","","","","","",NA
"181",180,"","","","","","","","","","","","e",NA
"182",181,"","","","","","","","","","","","e",NA
"183",182,"","","","","","","","","","","","",NA
"184",183,"","","","","","","","","","","","",NA
"185",184,"","","","","","","","","","","","",NA
"186",185,"","","","","","","","","","","","",NA
"187",186,"","","","","","","","","","","","",NA
"188",187,"","d,e","","","","","","","","","","",NA
"189",188,"","e","","","","","","","","","","",NA
"190",189,"","","","","","","","","","","","",NA
"191",190,"","","","","","","","","","","","",NA
"192",191,"","","","","","","","","","","","",NA
"193",192,"","","","","","","","","","","","",NA
"194",193,"","","","","","","","","","","","",NA
"195",194,"","e","","","","","","","","","","",NA
"196",195,"","","","","","","","","","","","",NA
"197",196,"","e","","","","","","","","","","",NA
"198",197,"","e","","","","","","","","","","",NA
"199",198,"","e","","","","","","","","","","",NA
"200",199,"","","","","","","","","","","","",NA
"201",200,"","e","","","","","","","","","","",NA
"202",201,"","e","","","","","","","","","","",NA
"203",202,"","e","","","","","","","","","","",NA
"204",203,"","e","","","","","","","","","","",NA
"205",204,"","e,d","","","","","","","","","","",NA
"206",205,"","","","","","","","","","","","",NA
"207",206,"","d","","","","","","","","","","",NA
"208",207,"","","","","","","","","","","e","",NA
"209",208,"","","","","","","","","","","e","",NA
"210",209,"","","","","","","","","","","e","",NA
"211",210,"","","","","","","","","","","e","",NA
"212",211,"","","","","","","e","","","e","d","",NA
"213",212,"","","","","","","e","","","","","",NA
"214",213,"","e","","","","","","","","","","",NA
"215",214,"","e","","","","","","","","","","",NA
"216",215,"","","","","","","","","","","","",NA
"217",216,"","","","","","","","","","","","",NA
"218",217,"","","","","","","","","","","","",NA
"219",218,"","","","","","","","","","","","",NA
"220",219,"","","","","","","","","","","","",NA
"221",220,"","e","","","","","","","","","","",NA
"222",221,"","","","","","","","","","","","",NA
"223",222,"","","","","","","","","","","","",NA
"224",223,"","e","","","","","","","","","","",NA
"225",224,"","d","","","","","","","","","","",NA
"226",225,"","","","","","","","","","","","",NA
"227",226,"","","","","","","","","","","","",NA
"228",227,"","","","","","","","","","","","",NA
"229",228,"","","","","","","","","","","","",NA
"230",229,"","","","","","","","","","","","",NA
"231",230,"","","","e","","","","","","","","",NA
"232",231,"","","","e","","","","","","","","",NA
"233",232,"","","","e","","","","","","","","",NA
"234",233,"","","","e","","","","","","","","",NA
"235",234,"","","","","","","","","","","","",NA
"236",235,"","","","","","","","","","","","",NA
"237",236,"","","","","","","","","","","","",NA
"238",237,"","","","","","","","","","","","",NA
"239",238,"","","","","","","","","","","","",NA
"240",239,"","","","","","","","","","","","",NA
"241",240,"","","","","","","","","","","","",NA
"242",241,"","","","","","","","","","","","",NA
"243",242,"","","","","","","","","","","","",NA
"244",243,"","","","","","","","","","","","",NA
"245",244,"","","","","","","","","","","","",NA
"246",245,"","e","","","","","","","","","","",NA
"247",246,"","e","","","","","","","","","","",NA
"248",247,"","","","","","","","","","","","",NA
"249",248,"","","","","","","","","","","","",NA
"250",249,"","","","","","","","","","","","",NA
"251",250,"","","","","","","","","","","","",NA
"252",251,"","e","","","","","","","","e","","",NA
"253",252,"","e","","","","","","","","","","",NA
"254",253,"","e","","","","","","","","","","",NA
"255",254,"","e,d","","","","","","","","","","",NA
"256",255,"","","","","","","","","","","","",NA
"257",256,"","","","","","","","","","","","",NA
"258",257,"","","","e","","","","","","","","",NA
"259",258,"","","","","","","","","","","","",NA
"260",259,"","","","","","","","","","","","",NA
"261",260,"","","","","","","","","","","","",NA
"262",261,"","","e","","","","","","","","","",NA
"263",262,"","","","","","","","","","","","e",NA
"264",263,"","","","","","e","","","","e","","",NA
"265",264,"","","","","","e","","","","e","","",NA
"266",265,"","","","","","e","","","","e","","e",NA
"267",266,"","","","","","e,d","","","","e","","e",NA
"268",267,"","","","","","","","","e","e","","d,e",NA
"269",268,"","","","","","","","","","e","","e,d",NA
"270",269,"","","","","","","","","","e","","e,d",NA
"271",270,"","","","","","","","","","e","","e",NA
"272",271,"","","","","","","","","d","d","","e",NA
"273",272,"","","","","e","","","e","","","","",NA
"274",273,"","","","","","","","e","","e","","e,d",NA
"275",274,"e","","","","","","","e","","e","","",NA
"276",275,"e","","","","","","","","","","e","e",NA
"277",276,"e","","","","","","","e","","","e","",NA
"278",277,"","","","","e","","","e","e,d","","","e,d",NA
"279",278,"e","","","","e","","","","","","","e,d",NA
"280",279,"e","","","e","e","","","","","","","e",NA
"281",280,"e","","","e","d","","","","","","","e",NA
"282",281,"e","","","e","e","","","","","","","",NA
"283",282,"e","","","","e","","","","","","","",NA
"284",283,"","","","e,d","","","","e","","","","e",NA
"285",284,"","","","e","","","","","","","","e",NA
"286",285,"","e","","","","","","","","","","",NA
"287",286,"","e","","","","","","","","","","",NA
"288",287,"","","","","","","","","","","","",NA
"289",288,"","","","","","","","","e","","","",NA
"290",289,"","","","e","","","","","","","","",NA
"291",290,"","","","","","","","","","","","",NA
"292",291,"","","","","","","","","","","","",NA
"293",292,"","","","e","","","","","","","","",NA
"294",293,"","e","","e","","","","","","","","",NA
"295",294,"","e","","","","","","","","","","",NA
"296",295,"","","","","","","","","","","","",NA
"297",296,"","","","","","","","","","","","",NA
"298",297,"","","","e","","","","","","","","",NA
"299",298,"","","","","","","","","","","","",NA
"300",299,"","","","e","","","","","","","","",NA
"301",300,"","","","e","","","","","","","","",NA
"302",301,"","","","e,d","","","","","","","","",NA
"303",302,"","","","","","","","","","","","",NA
"304",303,"","","","","","","","","","","","",NA
"305",304,"","","","","","","","","","","","",NA
"306",305,"","","","","","","","","","","","",NA
"307",306,"","","","","","","e","","","","","",NA
"308",307,"","","","","","","","","","","","",NA
"309",308,"","","","e","","","e","","","","","",NA
"310",309,"","","e","","","","e","","","","","",NA
"311",310,"e","","e","","","","e","","","","","",NA
"312",311,"e","","","e","","","e","","","","","",NA
"313",312,"e","","e","","","","e","","","","","",NA
"314",313,"e","","","","","","e","","","","","",NA
"315",314,"","e","","","","","","","","","","",NA
"316",315,"","","","","","","","","","","","",NA
"317",316,"","","","","","","","","","","","",NA
"318",317,"","d","","","","","","","","","","",NA
"319",318,"","e","","","","","","","","","","",NA
"320",319,"","","","","","","","","","","","",NA
"321",320,"","","","","","","","","","","","",NA
"322",321,"","","","","","","","","","","","",NA
"323",322,"","","","","","","","","","","","",NA
"324",323,"","","","","","","","","","","","",NA
"325",324,"","","","","","","","","","","","",NA
"326",325,"","","","","","","","","","","","",NA
"327",326,"","","","","","","","","","","e","",NA
"328",327,"","","","","","","","","","","e","",NA
"329",328,"","","","","","","","","","","e","",NA
"330",329,"","","","","","","","","","","","",NA
"331",330,"","","","","","","","","","","","",NA
"332",331,"","","","","","","","","","","","",NA
"333",332,"","","","","","","","","","","","",NA
"334",333,"","","","","","","","","","","e","",NA
"335",334,"","","","","","","","","","","","",NA
"336",335,"","","","","","","","","","","","",NA
"337",336,"","","","","","","","","","","","",NA
"338",337,"","","","","","","","","","","e","",NA
"339",338,"","","","","","","","","","","","",NA
"340",339,"","","","","","","","","","","","",NA
"341",340,"","","","","","","","","","","","",NA
"342",341,"","","","","","","","","","","","",NA
"343",342,"","","","d","","","","","","","","",NA
"344",343,"","","","","","","","","","","","",NA
"345",344,"","","","","","","","","","","","",NA
"346",345,"","","","","","","","","","","","",NA
"347",346,"","","","e","","","","","","","","",NA
"348",347,"","","","","","","","","","","","",NA
"349",348,"","","","","","","","","","","","",NA
"350",349,"","","","","","","","","","","","",NA
"351",350,"","","","e","","","","","","","","",NA
"352",351,"","","","","","","","","","","","",NA
"353",352,"","","","","","","","","","","","",NA
"354",353,"","","","","","","","","","","","",NA
"355",354,"","","","","","","","","","","","",NA
"356",355,"","","","","","","","","","","","",NA
"357",356,"","","","","","","","","","","","",NA
"358",357,"","","","","","","","","","","","",NA
"359",358,"","","","","","","","","","","","",NA
"360",359,"","","e","","","","","","","","","",NA
"361",360,"","","","","","","","","","","","",NA
"362",361,"","","","","","","","","","","","",NA
"363",362,"","","","","","","","","","","","",NA
"364",363,"","","","","","","","","","","","",NA
"365",364,"","e","","","","","","","","","","",NA
"366",365,"","","","","","","","","","","","",NA
"367",366,"","d","","","","","","","","","","",NA
"368",367,"","","","","","","","","","","","",NA
"369",368,"","","","","","","","","","","","",NA
"370",369,"","","","","","","","","","","","",NA
"371",370,"","","","","","","","","","","","",NA
"372",371,"","","","","","","","","","","","",NA
"373",372,"","","","","","","","","","","","",NA
"374",373,"","","","","","","","","","","","",NA
"375",374,"","","","","","","","","","","","",NA
"376",375,"","","","","","","","","","","","",NA
"377",376,"","","","","","","","","","","","",NA
"378",377,"","","","","","","","","","","","",NA
"379",378,"","","","","","","","","","","","",NA
"380",379,"","","","","","","","","","","","",NA
"381",380,"","","","","","","","","","","","",NA
"382",381,"","","","","","","","","","","","",NA
"383",382,"","","","","","","","","","","","",NA
"384",383,"","","","","","","","","","","","",NA
"385",384,"","","","","","","","","","","","",NA
"386",385,"","","","","","","","","","","","",NA
"387",386,"","","","","","","","","","","","",NA
"388",387,"","","","","","","","","","","","",NA
"389",388,"","","","","","","","","","","","",NA
"390",389,"","e","","","","","","","","","","",NA
"391",390,"","","","","","","","","","","","",NA
"392",391,"","","","","","","","","","","","",NA
"393",392,"","","","","","","","","","","","",NA
"394",393,"","","","","","","","","","","","",NA
"395",394,"","","","","","","","","","","","",NA
"396",395,"","","","","","","","","","","","",NA
"397",396,"","","","","","","","","","","","",NA
"398",397,"","","","","","","","","","","","",NA
"399",398,"","","","","","","","","","","","",NA
"400",399,"","","","","","","","","","","","",NA
"401",400,"","","","","","","","e","","","","",NA
"402",401,"","","","","","","","e","","","","",NA
"403",402,"","","","","","","","","","","","",NA
"404",403,"","","","","","","","e","","d","","",NA
"405",404,"","","","","","","","e","","","","",NA
"406",405,"","","","","","","","","","","","",NA
"407",406,"","","","","","","","","","","","",NA
"408",407,"","","","","","","","e","","","","",NA
"409",408,"","","","","","","","e","","e","","",NA
"410",409,"","","","","","","","e","","e","","",NA
"411",410,"","","","","","","","e","","e,d","","",NA
"412",411,"","","","","","","","d","","","","",NA
"413",412,"","","","","","","","e","","d","","",NA
"414",413,"","","","","","","","e","","","","",NA
"415",414,"","","","","","","e","","","","","",NA
"416",415,"","","","","","","e","","","","","e",NA
"417",416,"","","","","","","e","","","e","","e,d",NA
"418",417,"","","","","","","e","","","e","","e",NA
"419",418,"","","","","","","e","","","e,d","","e",NA
"420",419,"","","","","","","d","","","d","","e",NA
"421",420,"","","","","","","","","","","","e",NA
"422",421,"","","","","","","d","e","e","","","",NA
"423",422,"","","","","","","e","e","e","","","e",NA
"424",423,"","","","","","","","e","d,e","","","d,e",NA
"425",424,"","","","","","","","e","e","","","",NA
"426",425,"","","","","","","","e","","e","","e",NA
"427",426,"","","","","","","","d","","e","","e",NA
"428",427,"","","","","","","","","d,e","e","","e",NA
"429",428,"","","","","","","","","","e","","",NA
"430",429,"","","","","","","e","","","","","e,d",NA
"431",430,"","","","","","","","","","","","",NA
"432",431,"","","","","","","d","e","","d","","d,e",NA
"433",432,"","","e","","","","d","","","","","",NA
"434",433,"","","e","","","","","","","","","",NA
"435",434,"","","e","","","","","e","","","","",NA
"436",435,"","","","","","","","e","","","","",NA
"437",436,"","","","","","","","","","","","",NA
"438",437,"","","","","","","","","","","","",NA
"439",438,"","","","","","","","","","","","",NA
"440",439,"","","","","","","","","","","","",NA
"441",440,"","","","","","","","","","","","e",NA
"442",441,"","","","","","","","","","","","",NA
"443",442,"","","","","","","","","","","","e",NA
"444",443,"","","","","","","","","","","","",NA
"445",444,"","","","","","","","","","","","",NA
"446",445,"","","","","","","","","","","","",NA
"447",446,"","","","","","","","","","","","",NA
"448",447,"","","","","","","","","","","","",NA
"449",448,"","","","","","","","e","e","","","",NA
"450",449,"","","","","","","","","","","","",NA
"451",450,"","","","","","","","","","","","",NA
"452",451,"","","","","e","","","","","","","e",NA
"453",452,"","","","","","","","","","","","",NA
"454",453,"","","","","","","","","","","","",NA
"455",454,"","","","","","","","","","","","",NA
"456",455,"e","","","","","","","","e","","","e",NA
"457",456,"e","","","","","","","","e","","","",NA
"458",457,"e","","","","","","","","","e","","e",NA
"459",458,"","","","","e","","","","","","","e",NA
"460",459,"","","","","e","","","","","","","d",NA
"461",460,"","","","","","","","","","","","",NA
"462",461,"","","","","","","","","","","","",NA
"463",462,"","e","","","","","","","","","","",NA
"464",463,"","e","","","","","","","","","","",NA
"465",464,"","e","","","","","","","","","","",NA
"466",465,"","","","","","","","","","","","",NA
"467",467,"","e","","","","","","","","","","",""
"468",468,"","e","","","","","","","","","","",""
"469",469,"","d","","","","","","","","","","",""
"470",470,"","","","","","","","","","","","",""
"471",471,"","","","e","","","","","","","","",""
"472",472,"","","","e","","","","","","","","",""
"473",473,"","e","","","","","","","","","","",""
"474",474,"","","","","","","","","","","","",""
"475",475,"","e","","","","","","","","","","",""
"476",476,"","e,d","","","","","","","","","","",""
"477",477,"","","","","","","","","","","","",""
"478",478,"","e","","","","","","","","","","",""
"479",479,"","e","","","","","","","","","","",""
"480",480,"","e","","","","","","","","","","",""
"481",481,"","e","","","","","","","","","","",""
"482",482,"","","","","","","","","","","","",""
"483",483,"","","","","","","","","","","","",""
"484",484,"","","","","","","","","","","","",""
"485",485,"","","","","","","","","","","","",""
"486",486,"","","","","","","","","","","","",""
"487",487,"","","","","","","","","","","","",""
"488",488,"","","","","","","","","","","","",""
"489",489,"","","","","","","","","","","","",""
"490",490,"","","","","","","","","","","","",""
"491",491,"","","","","","","","","","","","",""
"492",492,"","","","","","","","","","","","",""
"493",493,"","","","","","","","","","","","",""
"494",494,"","","","","","","","","","","","",""
"495",495,"","","","","","","","","","","","",""
"496",496,"","","","","","","","","","","","",""
"497",497,"","","","","","","","","","","","",""
"498",498,"","","","","","","","","","","","",""
"499",499,"","","","","","","","","","","","",""
"500",500,"","","","","","","","","","","","",""
"501",501,"","","","","","","","","","","","",""
"502",502,"","","","","","","","","","","","",""
"503",503,"","","","","","","","","","","","",""
"504",504,"","","","","","","","","","","","",""
"505",505,"","","","","","","","","","","","",""
"506",506,"","","","d","","","","","","","","",""
"507",507,"","","","","","e","","","","","","",""
"508",508,"","","","","","","","","","","","",""
"509",509,"","","","","","","","","","","","",""
"510",510,"","","","","","","","","","","","",""
"511",511,"","","","","","","","","","","","",""
"512",512,"","","","d","","","","","","","","",""
"513",513,"","","","d","","","","","","","","",""
"514",514,"","","","","","","","","","","","",""
"515",515,"","","","","","","e","","e","","","",""
"516",516,"","","","","","","d","","","","","",""
"517",517,"","","","","","","","","","","","",""
"518",518,"","","","","","","","","","","","",""
"519",519,"","","","e","","","","","","","","",""
"520",520,"","","","","","","","","","","","",""
"521",521,"","","","","","","","","","","","",""
"522",522,"","","d","","","","","","","","","",""
"523",523,"","","","","","","","","","","","",""
"524",524,"","","","e","","","","","","","","",""
"525",525,"","","","","","","","","","","","",""
"526",526,"","","","","","","","","","","","",""
"527",527,"","","","","","","","","","","","",""
"528",528,"","","e","e","","","","","","","","",""
"529",529,"","","","","","","","","","","","",""
"530",530,"","","","","","","","","","","","",""
"531",531,"","","","","","","","","","","","",""
"532",532,"","","","","","","","","","","","",""
"533",533,"","","","","","","","","","","","",""
"534",534,"","","","","","","","","","","","",""
"535",535,"","","","","","","","","","","","",""
"536",536,"","e","","","","","","","","","","",""
"537",537,"","e","","","","","","","","","","",""
"538",538,"","e","","","","","","","","","","",""
"539",539,"","","","","","","","","","","","",""
"540",540,"","d","","","","","","","","","","",""
"541",541,"","","","","","","","","","","","",""
"542",542,"","","","","","","","","","","","",""
"543",543,"","","","","","","","","","","","",""
"544",544,"","","","","","","","","","","","",""
"545",545,"","","","","","","","","","","","",""
"546",546,"","","","","","","","","","","","",""
"547",547,"","","","","","","","","","","","",""
"548",548,"","e","","","","","","","","","","",""
"549",549,"","","","","","","","","","","","",""
"550",550,"","","","","","","","","","","","",""
"551",551,"","","","","","","","","","","","",""
"552",552,"","","","","","","","","","","","",""
"553",553,"","e","","","","","","","","","","",""
"554",554,"","","","","","","","","","","","",""
"555",555,"","","","","","","","","","","","",""
"556",556,"","","","","","","","","","","","",""
"557",557,"","","","","","","","","","","","",""
"558",558,"","","","","","","","","","","","",""
"559",559,"","","","","","","","","","","","",""
"560",560,"","","","","","","","","","","","",""
"561",561,"","","","","","","","","","","","",""
"562",562,"","","","","","","","","","","","",""
"563",563,"","","","","","","","","","","","",""
"564",564,"","","","","","","","","","","","",""
"565",565,"","","","","","","","","","","","",""
"566",566,"","","","","","","","","","","","",""
"567",567,"","","","","","","","","","","","",""
"568",568,"","e","","","","","","","","","","",""
"569",569,"","e","","","","","","","","","","",""
"570",570,"","e","","","","","","","","","","",""
"571",571,"","e,d","","","","","","","","","","",""
"572",572,"","","","","","","","","","","","",""
"573",573,"","","","","","","","","","","","",""
"574",574,"","","","","","","","","","","","",""
"575",575,"","","","","","","","","","","","",""
"576",576,"","","","","","","","","","","","",""
"577",577,"","","","","","","","","","","","",""
"578",578,"","","","","","","","","","","","",""
"579",579,"","","","","","","","","","","","",""
"580",580,"","","","","","","","","","","","",""
"581",581,"","","","","","","","","","","","",""
"582",582,"","","","","","","","","","","","",""
"583",583,"","","","","","","","","","","","",""
"584",584,"","","","","","","","","","","","",""
"585",585,"","","","","","","","","","","","",""
"586",586,"","","","","","","","","","","","",""
"587",587,"","","","","","","","","","","","",""
"588",588,"","","","","","","e","","","","","",""
"589",589,"e","","","","","","e","","","","","",""
"590",590,"e","","","","","","","","","","","",""
"591",591,"","","","","","","","","","","","",""
"592",592,"","","","","","","","","","","","",""
"593",593,"","","","","","","","","","","","",""
"594",594,"e","","","","","","","","","","","",""
"595",595,"e","","","","","","","","","","","",""
"596",596,"e","","","","","","","","","","","",""
"597",597,"e","","","","","","","","","","","",""
"598",598,"e","","","","","","","","","","","",""
"599",599,"e,d","","","","","","","","","","","",""
"600",600,"","","","","","","","","","","","",""
"601",601,"e","","","","","","","","","","","",""
"602",602,"e","","","","","","","","","","","",""
"603",603,"e","","","","","","","","","","","",""
"604",604,"e","","","","","","","","","","","",""
"605",605,"e","","","","","","","","","","","",""
"606",606,"d","","","","","","","","","","","",""
"607",607,"","","","","","","","","","","","",""
"608",608,"","","","","","","","","","","","",""
"609",609,"","","","","","","","","","","","",""
"610",610,"","","","","","","","","e","","","",""
"611",611,"","","","","","","","","e","","","",""
"612",612,"","","","","","","","","","","","",""
"613",613,"","e","","","","","","","","","","",""
"614",614,"","","","","","","","","","","","",""
"615",615,"","d","","","","","","","","","","",""
"616",616,"","","","","","","","","","","","",""
"617",617,"","","","","","","","","","","","",""
"618",618,"","e","","","","","","","","","","",""
"619",619,"","e","","","","","","","","","","",""
"620",620,"","e","","","","","","","","","","",""
"621",621,"","","","","","","","","","","","",""
"622",622,"","","","","","","","","","","","",""
"623",623,"","","","","","","","","","","","",""
"624",624,"","","","","","","","","","","","",""
"625",625,"","e","","","","","","","","","","",""
"626",626,"","","","","","","","","","","","",""
