"","realtime","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","Light"
"1",0,"","","","",NA,"","","","","","",NA,"off"
"2",1,"","","","",NA,"","","","","","",NA,""
"3",2,"","","","",NA,"","","","","","",NA,""
"4",3,"","","","",NA,"","","","","","",NA,""
"5",4,"","","","",NA,"","","","","","",NA,""
"6",5,"","","d","",NA,"","","","","","",NA,""
"7",6,"","","","",NA,"","","","","","",NA,""
"8",7,"","","","",NA,"","","","","","",NA,""
"9",8,"","","","",NA,"","","","","","",NA,""
"10",9,"","","d","",NA,"","","","","","",NA,""
"11",10,"","","","",NA,"","","","","","",NA,""
"12",11,"","","","",NA,"","","","","","",NA,""
"13",12,"","","","",NA,"","","","","","",NA,""
"14",13,"","","","",NA,"","","","","","",NA,""
"15",14,"","","d","",NA,"","","","","","",NA,""
"16",15,"","","","",NA,"","","","","","",NA,""
"17",16,"","","","",NA,"","","","","","",NA,""
"18",17,"e","","","",NA,"","","","","","",NA,""
"19",18,"","","","",NA,"","","","","","",NA,""
"20",19,"","","","",NA,"","","","","","",NA,""
"21",20,"e","","","",NA,"","","","","","",NA,""
"22",21,"e","","","",NA,"","","","","","",NA,""
"23",22,"","","","",NA,"","","","","e","",NA,""
"24",23,"","","","",NA,"","","","","e","",NA,""
"25",24,"","","","",NA,"","e","","","","",NA,""
"26",25,"","","","",NA,"","","","","","",NA,""
"27",26,"","","","",NA,"","e","","","","",NA,""
"28",27,"","","","",NA,"","","","","","",NA,""
"29",28,"","","","",NA,"","e","","","","",NA,""
"30",29,"","","","",NA,"","","","","","",NA,""
"31",30,"","","","",NA,"","","","","","",NA,""
"32",31,"","","","",NA,"","","","","","",NA,""
"33",32,"","","","",NA,"","e","","","","",NA,""
"34",33,"","","","",NA,"","","","","","",NA,""
"35",34,"","","","",NA,"","","","","","",NA,""
"36",35,"","","","",NA,"","","","","","",NA,""
"37",36,"","","","",NA,"","","","","","",NA,""
"38",37,"","e","","",NA,"","","","","","",NA,""
"39",38,"","","","",NA,"","","","","","",NA,""
"40",39,"","","","",NA,"","","","","","",NA,""
"41",40,"","","","",NA,"","","","","","",NA,""
"42",41,"","","","",NA,"","","","","","",NA,""
"43",42,"","","","",NA,"","","","","","",NA,""
"44",43,"","","","",NA,"","","","","","",NA,""
"45",44,"","","","",NA,"","","","","","",NA,""
"46",45,"","","","",NA,"","","","","","",NA,""
"47",46,"","","","",NA,"","","","","","",NA,""
"48",47,"","","","",NA,"","","","","","",NA,""
"49",48,"","","","",NA,"","","","","","",NA,""
"50",49,"","","","",NA,"","","","","","",NA,""
"51",50,"","e","","",NA,"","","","","","",NA,""
"52",51,"","","","",NA,"","","","","","",NA,""
"53",52,"","","","",NA,"","","","","","",NA,""
"54",53,"","d","","",NA,"","","","","","",NA,""
"55",54,"","","","",NA,"","","","","","",NA,""
"56",55,"","","","",NA,"","","","","","e",NA,""
"57",56,"","","","",NA,"","","","","","",NA,""
"58",57,"","","","",NA,"","","","","","",NA,""
"59",58,"","","","",NA,"","","","","","",NA,""
"60",59,"e","e","","",NA,"","","","","","e",NA,""
"61",60,"","e","","",NA,"","e","","","d","e",NA,""
"62",61,"e","","","",NA,"","e","","","e","d,e",NA,""
"63",62,"","","","e",NA,"","d,e","","","","e",NA,""
"64",63,"","","","e",NA,"","e","","","e","",NA,""
"65",64,"","","","e",NA,"","","","","","",NA,""
"66",65,"","","","d",NA,"","","","","","e",NA,""
"67",66,"","","","",NA,"","","","","e,d","",NA,""
"68",67,"","","","",NA,"","","","","e","",NA,""
"69",68,"","","","",NA,"","","","","","",NA,""
"70",69,"","","","",NA,"","e","e","","","",NA,""
"71",70,"e","","","",NA,"","","","","","",NA,""
"72",71,"e","","","e",NA,"","e","","e","","",NA,""
"73",72,"","","","e",NA,"","e","","d","","",NA,""
"74",73,"","","","e",NA,"e","e,d","","","","",NA,""
"75",74,"e","","","",NA,"e","","e","","","",NA,""
"76",75,"","","","",NA,"e","","e","","e","",NA,""
"77",76,"","","","",NA,"","","","","","",NA,""
"78",77,"","","","",NA,"","","","","","",NA,""
"79",78,"","e","","",NA,"","","","","","",NA,""
"80",79,"","","","","","","","","","","","",NA
"81",80,"","","","","","","","","","","","",NA
"82",81,"","","","e","","","","","","","","",NA
"83",82,"","e","","","","","","","","","","",NA
"84",83,"","","","","","","","","","","","",NA
"85",84,"","","","","","","","","","","","",NA
"86",85,"","","","","","","","","","","","",NA
"87",86,"","","","","","","","","","","","",NA
"88",87,"","","","","","","","","","","","",NA
"89",88,"","","","","","","","","","","","",NA
"90",89,"","","","","","","","","","","","",NA
"91",90,"","","","","","e","","","","","","",NA
"92",91,"","","","","","e","","","","","","",NA
"93",92,"","","","","","","","","","","","",NA
"94",93,"","e","","","","","","","","","","",NA
"95",94,"","","","","","","","","","","","",NA
"96",95,"","e","","","","","","","","","","",NA
"97",96,"","","","","","","","","","","","",NA
"98",97,"","","","","","","","","","","","",NA
"99",98,"","","","","","","","","","","","",NA
"100",99,"","","","","","","","","","","","",NA
"101",100,"","","","e","","","","","","","","",NA
"102",101,"","e","","","","","","","","","","",NA
"103",102,"","e,d","","","","","","","","","","",NA
"104",103,"","e","","","","","","","","","","",NA
"105",104,"","","","","","","","","","","","",NA
"106",105,"","","","","","","","","","","","",NA
"107",106,"","","","","","","","","","","","",NA
"108",107,"","","","","","","","","","","","",NA
"109",108,"","d","","","","","","","","","","",NA
"110",109,"","","","","","","","","","","","",NA
"111",110,"","","","","","","","","","","","",NA
"112",111,"","","","","","","","","","","","",NA
"113",112,"","","","e","","","","","","","","",NA
"114",113,"","e","","","","","","","","","","",NA
"115",114,"","","","","","","","","","","","",NA
"116",115,"","","","e","","","","","","","","",NA
"117",116,"","","","e,d","","","","","","","","",NA
"118",117,"","e","","","","","","","","","","",NA
"119",118,"","","","","","","","","","","","",NA
"120",119,"","","","","","","","","","","","",NA
"121",120,"","","","","","","","","","","","",NA
"122",121,"","e,d","","","","","","","","","","",NA
"123",122,"","","","","","","","","","","","",NA
"124",123,"","","","","","","","","","","","",NA
"125",124,"","","","","","","","","","e","","",NA
"126",125,"","","","","","","","","","","","",NA
"127",126,"","","","e","","","","","","","","",NA
"128",127,"","","","e","","","","","","","","",NA
"129",128,"","","","e","","","","","","","","",NA
"130",129,"","","","e","","","","","","","","",NA
"131",130,"","e","","e","","","","","e","e","","",NA
