"","realtime","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","Light"
"1",0,"","","","","","","","","","","e","","off"
"2",1,"","","","","","","","","","","","",""
"3",2,"","","","","","","","","","","","",""
"4",3,"","e","","","","e","","","","","","e",""
"5",4,"","","","e","","","","","","","","e",""
"6",5,"","","","e","","","","","","","","e",""
"7",6,"","","","","","","","","","","","e",""
"8",7,"","","","","","","","","","e","e","",""
"9",8,"e","","","e","","","","","","","","",""
"10",9,"","e","","e","","","","","","","","",""
"11",10,"","","","e","","","","","","e","","e",""
"12",11,"e","","","e","","","","","e","e","","e",""
"13",12,"e","","","e,d","e","","","e,d","","","","e",""
"14",13,"","","","","e","","","","","e","","",""
"15",14,"","","","","","","","","e","e","","",""
"16",15,"","","","e","","","","","e","","","",""
"17",16,"","","","","e","","","","e","","","",""
"18",17,"","","","","","","","","","","","e",""
"19",18,"e","","","","","e,d","","e,d","","","","e",""
"20",19,"e","e","","","","e","","","","","","e,d",""
"21",20,"","e","","","","","","","","","","e,d",""
"22",21,"","e,d","","","","","e","","e","","","e",""
"23",22,"","e","e","","","","e","","","","","e",""
"24",23,"","","","","e","","","","","e","","e",""
"25",24,"","","","e","e","","","","e","e,d","","e,d",""
"26",25,"","","","","","","","","e","","","e,d",""
"27",26,"","","","","","","","","e","","e","e",""
"28",27,"e","e","","","","","e","e,d","e,d","","","e",""
"29",28,"","e","","","","","e","e","e,d","","","e,d",""
"30",29,"","","","e","","","","","e","","e","",""
"31",30,"","","","e","","","","","","e,d","e","",""
"32",31,"","","","e","","","","","","e","e,d","",""
"33",32,"","","","","e","","d","","","e","","",""
"34",33,"","","","","","","","","","e,d","","",""
"35",34,"","","","","","e","e","","","","","",""
"36",35,"e","","","e","","d","","","e","e","","",""
"37",36,"e","","","","","","","","e","e,d","e","",""
"38",37,"","","","","e,d","","","e,d","e","","","",""
"39",38,"","","","","","","","e,d","e,d","","","e",""
"40",39,"","","","","","","e","e","e,d","","","",""
"41",40,"","","","","","","e","e,d","","","","",""
"42",41,"","","","","","","e","e","","","","e",""
"43",42,"","","","","","","e","","","e","","e",""
"44",43,"","","","e","","","e","","","e","","e",""
"45",44,"","","","e,d","","","","","","e","","e",""
"46",45,"","","","","","","","","","e,d","","e",""
"47",46,"e","","","","","","","","","e","","e",""
"48",47,"e,d","","","","","","","","","e","","e,d",""
"49",48,"e","","","","","","","","","e","","e,d",""
"50",49,"","","","","","","","e","","e","d","d",""
"51",50,"","","","","d","","","e","","d","d","",""
"52",51,"","","","","","","","e","","","e","",""
"53",52,"","e,d","","","e","","","","","","e","",""
"54",53,"","e","","e","e","","","","e,d","","e","",""
"55",54,"","e,d","","e,d","e","","","","","","e,d","d",""
"56",55,"","e,d","","e","e,d","","","d","","","","e",""
"57",56,"","","","e","e,d","","","","e","","","",""
"58",57,"","","","e","e","","","","e","","","",""
"59",58,"","","","e","","","","","e","","","",""
"60",59,"","","","e","","","","","e,d","","e,d","",""
"61",60,"","","","e","","","","","e,d","","","e",""
"62",61,"","e,d","","","","","","e","","","e","",""
"63",62,"","","","","","","","","","","e","",""
"64",63,"","","","","","","","e,d","","e","e,d","",""
"65",64,"e","","","","","","","e,d","","e,d","","",""
"66",65,"e","","","","","","","e,d","","e","","",""
"67",66,"","","","","e","","","e","","e,d","","",""
"68",67,"","","","","e","","","e,d","","","","",""
"69",68,"","","","","e","","","","","","","",""
"70",69,"","","e","","e,d","","","","","","","",""
