"","realtime","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","Light"
"1",0,"","","","e","","","","","","","","","off"
"2",1,"","","","","","","","","","","","",""
"3",2,"","","","","","e","","","","","e","",""
"4",3,"e","","","","","e","","","","","","",""
"5",4,"e","","","","","","","","","","","",""
"6",5,"e","","","","","","","","","","","",""
"7",6,"","","","","","","","","","","","",""
"8",7,"","","","","","","","","","","","",""
"9",8,"","","e","","","e","","","","","","",""
"10",9,"","e","e","","","","","","","","","d",""
"11",10,"","","","","e,d","e","","","","","","",""
"12",11,"","","","","e","e","","","","","","",""
"13",12,"","","","","","d","e","","","","","",""
"14",13,"","","e","e","","","","","","e","","",""
"15",14,"","","","","","","","e,d","","","","",""
"16",15,"","","","","","","","e","","","","",""
"17",16,"","","","","","","e","e","","","","",""
"18",17,"","","","","","","e,d","","","","e","",""
"19",18,"","e","","","e","","","","","","e","",""
"20",19,"","e","","","","","","","","","","",""
"21",20,"","","","","","","","e,d","","","","",""
"22",21,"","","","","","","","e","e","","","",""
"23",22,"","","","","","e","","","","","","",""
"24",23,"","e","","","","e","","","","","","",""
"25",24,"","","","e","e","","","","","","","",""
"26",25,"","","","","","","","","","e","","",""
"27",26,"e","","","","","","e","","","","","",""
"28",27,"e","","","","","","e","","","","","",""
"29",28,"","","e","","","e","","","","","","",""
"30",29,"","","e","","","e","","","","","","",""
"31",30,"","","e","","","","","","","","","",""
"32",31,"","","e","","e","","","","","","","",""
"33",32,"","","e","","","","","","","","","",""
"34",33,"","","e","","","","","","","","","",""
"35",34,"","","","","e","","","e,d","","","","",""
"36",35,"","","","d","e","","","e","e","","","",""
"37",36,"","","","e","e","","","e","","","","",""
"38",37,"","e,d","","","d","","","e,d","","","","",""
"39",38,"","e","","e","","","","e","","","e","",""
"40",39,"e","e","","","e","e","","","","","","",""
"41",40,"","e","","","","","","","","","","",""
"42",41,"","e","","","e,d","","","","","","e","",""
"43",42,"","e,d","","","e","","","","","","e","",""
"44",43,"","","","","e","","","","","","","",""
"45",44,"","e","","","e","","","","","","","",""
"46",45,"","e","","","e","","","","","","","",""
"47",46,"","d","","","","","","","","","","",""
"48",47,"","","","","","","","","","","","",""
"49",48,"","","","","","","","","","","","",""
"50",49,"","","","e","","","","e,d","","","","",""
"51",50,"","","","e","","","","e,d","","","","",""
"52",51,"","","","e","","","","","","","","",""
"53",52,"","","","d","","","","","","","","",""
"54",53,"","","","","","","","","","","","",""
"55",54,"","","","","","","","","","","","",""
"56",55,"","","","","","","","","","","","",""
"57",56,"","","","","","","","","","","","",""
"58",57,"","d","","","","","","","","","","",""
"59",58,"","","","","e","","","","","","","",""
"60",59,"","","","","e","","","","","","","",""
"61",60,"","","","","","","","d","","","","",""
"62",61,"","","","","","","","","","","","",""
"63",62,"","","","","","","","","e","","","",""
"64",63,"","","","","","","","","","","","",""
"65",64,"","","","","","","","","","","","",""
"66",65,"","","","","","","","","","","","",""
"67",66,"","","","","","e,d","","","","","","e,d",""
"68",67,"","","","","e","e","","","","","","e",""
"69",68,"","","e","","","","","","","","","",""
"70",69,"","","e","","","e","","","","","","",""
"71",70,"","","","","","e","","","","","","",""
"72",71,"","e","","","","","","","","","","",""
"73",72,"","e","e","","","","","","","","","",""
"74",73,"","","","","","","","","","","","",""
"75",74,"","","","","","","","","","","","",""
"76",75,"","","","","","","","e,d","","","","",""
"77",76,"","","","","","","","e","e","","","",""
"78",77,"","","","","","e","","e","","","","",""
