"","Subject","Behavior","starttime","endtime"
"687","Mouse 12","Drink",102343.5,102357.06
"688","Mouse 11","Eat",102460.3,102525.66
"689","Mouse 12","Eat",102505.4,102511.12
"690","Mouse 10","Eat",102505.7,102523.98
"691","Mouse 10","Eat",102571.7,102582.82
"692","Mouse 11","Eat",102572.3,102583.66
"693","Mouse 10","Eat",102622,102656.68
"694","Mouse 11","Eat",102639.3,102647.02
"695","Mouse 10","Drink",102668.1,102678.54
"696","Mouse 5","Drink",102690.8,102697.24
"697","Mouse 5","Eat",102704.1,102777.34
"698","Mouse 2","Eat",103026.2,103060.88
"699","Mouse 8","Eat",103596.7,103692.9
