"","Subject","Behavior","starttime","endtime"
"642","Mouse 9","Eat",54548.4,54576.36
"643","Mouse 2","Eat",63190,63194.68
"644","Mouse 9","Eat",65085.7,65093.06
"645","Mouse 8","Eat",68899.2,68942.28
"646","Mouse 8","Drink",70622.5,70626.7
"647","Mouse 4","Eat",70833,70847.5
"648","Mouse 4","Drink",70868.5,70874.9
"649","Mouse 4","Eat",70886.3,70931.7
"650","Mouse 5","Drink",71825,71828.5
"651","Mouse 5","Eat",71833.5,71868
"652","Mouse 5","Eat",71876.2,71883.62
"653","Mouse 4","Drink",72046.2,72058.86
"654","Mouse 4","Eat",72186.2,72204.8
"655","Mouse 4","Eat",72261.3,72294.2
"656","Mouse 5","Eat",72320.8,72327.16
"657","Mouse 5","Eat",72359.9,72365.2
"658","Mouse 4","Eat",72473,72481.46
