"realtime","endtime","eating","drinking","cohort","day","mouse"
16,17,0,0,37,1,4
16,17,0,0,37,1,5
16,17,0,0,37,1,6
16,17,0,0,37,1,7
16,17,0,0,37,1,8
16,17,0,0,37,1,9
17,18,0,0,37,1,1
17,18,0,0,37,1,10
17,18,0,0,37,1,11
17,18,0,0,37,1,12
17,18,0,0,37,1,2
17,18,0,0,37,1,3
17,18,0,0,37,1,4
17,18,0,0,37,1,5
17,18,0,0,37,1,6
17,18,0,0,37,1,7
17,18,0,0,37,1,8
17,18,0,0,37,1,9
18,19,0,0,37,1,1
18,19,0,0,37,1,10
18,19,0,0,37,1,11
18,19,0,0,37,1,12
18,19,0,0,37,1,2
18,19,0,0,37,1,3
18,19,0,0,37,1,4
18,19,0,0,37,1,5
18,19,0,0,37,1,6
18,19,0,0,37,1,7
18,19,0,0,37,1,8
18,19,0,0,37,1,9
19,20,0,0,37,1,1
19,20,0,0,37,1,10
19,20,0,0,37,1,11
19,20,0,0,37,1,12
19,20,0,0,37,1,2
19,20,0,0,37,1,3
19,20,0,0,37,1,4
19,20,1,0,37,1,5
19,20,0,0,37,1,6
19,20,0,0,37,1,7
19,20,0,0,37,1,8
19,20,0,0,37,1,9
20,21,0,0,37,1,1
20,21,0,0,37,1,10
20,21,0,0,37,1,11
20,21,0,0,37,1,12
20,21,0,0,37,1,2
20,21,0,0,37,1,3
20,21,0,0,37,1,4
20,21,1,0,37,1,5
20,21,0,0,37,1,6
20,21,0,0,37,1,7
20,21,0,0,37,1,8
20,21,0,0,37,1,9
21,22,0,0,37,1,1
21,22,0,0,37,1,10
21,22,0,0,37,1,11
21,22,0,0,37,1,12
21,22,0,0,37,1,2
21,22,0,0,37,1,3
21,22,0,0,37,1,4
21,22,0,0,37,1,5
21,22,0,0,37,1,6
21,22,0,0,37,1,7
21,22,0,0,37,1,8
21,22,0,0,37,1,9
22,23,0,0,37,1,1
22,23,0,0,37,1,10
22,23,0,0,37,1,11
22,23,0,0,37,1,12
22,23,0,0,37,1,2
22,23,0,0,37,1,3
22,23,0,0,37,1,4
22,23,0,0,37,1,5
22,23,0,0,37,1,6
22,23,0,0,37,1,7
22,23,0,0,37,1,8
22,23,0,0,37,1,9
23,24,0,0,37,1,1
23,24,0,0,37,1,10
23,24,0,0,37,1,11
23,24,0,0,37,1,12
23,24,0,0,37,1,2
23,24,0,0,37,1,3
23,24,0,0,37,1,4
23,24,0,0,37,1,5
23,24,0,0,37,1,6
23,24,0,0,37,1,7
23,24,0,0,37,1,8
23,24,0,0,37,1,9
24,25,0,0,37,1,1
24,25,0,0,37,1,10
24,25,0,0,37,1,11
24,25,0,0,37,1,12
24,25,0,0,37,1,2
24,25,0,0,37,1,3
24,25,0,0,37,1,4
24,25,0,0,37,1,5
24,25,0,0,37,1,6
24,25,0,0,37,1,7
24,25,0,0,37,1,8
24,25,0,0,37,1,9
25,26,0,0,37,1,1
25,26,0,0,37,1,10
25,26,0,0,37,1,11
25,26,0,0,37,1,12
25,26,0,0,37,1,2
25,26,0,0,37,1,3
25,26,0,0,37,1,4
25,26,0,0,37,1,5
25,26,0,0,37,1,6
25,26,0,0,37,1,7
25,26,0,0,37,1,8
25,26,0,0,37,1,9
26,27,0,0,37,1,1
26,27,0,0,37,1,10
26,27,0,0,37,1,11
26,27,0,0,37,1,12
26,27,0,0,37,1,2
26,27,0,0,37,1,3
26,27,0,0,37,1,4
26,27,0,0,37,1,5
26,27,0,0,37,1,6
26,27,0,0,37,1,7
26,27,0,0,37,1,8
26,27,0,0,37,1,9
27,28,0,0,37,1,1
27,28,0,0,37,1,10
27,28,0,0,37,1,11
27,28,0,0,37,1,12
27,28,0,0,37,1,2
27,28,0,0,37,1,3
27,28,0,0,37,1,4
27,28,0,0,37,1,5
27,28,0,0,37,1,6
27,28,0,0,37,1,7
27,28,0,0,37,1,8
27,28,0,0,37,1,9
28,29,0,0,37,1,1
28,29,0,0,37,1,10
28,29,0,0,37,1,11
28,29,0,0,37,1,12
28,29,0,0,37,1,2
28,29,0,0,37,1,3
28,29,0,0,37,1,4
28,29,0,0,37,1,5
28,29,1,0,37,1,6
28,29,0,0,37,1,7
28,29,0,0,37,1,8
28,29,0,0,37,1,9
29,30,0,0,37,1,1
29,30,0,0,37,1,10
29,30,0,0,37,1,11
29,30,0,0,37,1,12
29,30,0,0,37,1,2
29,30,0,0,37,1,3
29,30,0,0,37,1,4
29,30,0,0,37,1,5
29,30,1,0,37,1,6
29,30,0,0,37,1,7
29,30,0,0,37,1,8
29,30,0,0,37,1,9
30,31,0,0,37,1,1
30,31,0,0,37,1,10
30,31,0,0,37,1,11
30,31,0,0,37,1,12
30,31,0,0,37,1,2
30,31,0,0,37,1,3
30,31,0,0,37,1,4
30,31,0,0,37,1,5
30,31,0,0,37,1,6
30,31,0,0,37,1,7
30,31,0,0,37,1,8
30,31,0,0,37,1,9
31,32,0,0,37,1,1
31,32,0,0,37,1,10
31,32,0,0,37,1,11
31,32,0,0,37,1,12
31,32,0,0,37,1,2
31,32,0,0,37,1,3
31,32,0,0,37,1,4
31,32,1,0,37,1,5
31,32,0,0,37,1,6
31,32,0,0,37,1,7
31,32,0,0,37,1,8
31,32,0,0,37,1,9
32,33,0,0,37,1,1
32,33,0,0,37,1,10
32,33,0,0,37,1,11
32,33,0,0,37,1,12
32,33,0,0,37,1,2
32,33,0,0,37,1,3
32,33,0,0,37,1,4
32,33,0,0,37,1,5
32,33,0,0,37,1,6
32,33,0,0,37,1,7
32,33,0,0,37,1,8
32,33,0,0,37,1,9
33,34,0,0,37,1,1
33,34,0,0,37,1,10
33,34,0,0,37,1,11
33,34,0,0,37,1,12
33,34,0,0,37,1,2
33,34,0,0,37,1,3
33,34,0,0,37,1,4
33,34,1,1,37,1,5
33,34,0,0,37,1,6
33,34,0,0,37,1,7
33,34,0,0,37,1,8
33,34,0,0,37,1,9
34,35,0,0,37,1,1
34,35,0,0,37,1,10
34,35,0,0,37,1,11
34,35,0,0,37,1,12
34,35,0,0,37,1,2
34,35,0,0,37,1,3
34,35,0,0,37,1,4
34,35,0,0,37,1,5
34,35,0,0,37,1,6
34,35,0,0,37,1,7
34,35,0,0,37,1,8
34,35,0,0,37,1,9
35,36,0,0,37,1,1
35,36,0,0,37,1,10
35,36,0,0,37,1,11
35,36,0,0,37,1,12
35,36,0,0,37,1,2
35,36,0,0,37,1,3
35,36,0,0,37,1,4
35,36,0,0,37,1,5
35,36,0,0,37,1,6
35,36,0,0,37,1,7
35,36,0,0,37,1,8
35,36,0,0,37,1,9
36,37,0,0,37,1,1
36,37,0,0,37,1,10
36,37,0,0,37,1,11
36,37,0,0,37,1,12
36,37,0,0,37,1,2
36,37,0,0,37,1,3
36,37,0,0,37,1,4
36,37,0,0,37,1,5
36,37,0,0,37,1,6
36,37,0,0,37,1,7
36,37,0,0,37,1,8
36,37,0,0,37,1,9
37,38,0,0,37,1,1
37,38,0,0,37,1,10
37,38,0,0,37,1,11
37,38,0,0,37,1,12
37,38,0,0,37,1,2
37,38,0,0,37,1,3
37,38,0,0,37,1,4
37,38,0,0,37,1,5
37,38,0,0,37,1,6
37,38,0,0,37,1,7
37,38,0,0,37,1,8
37,38,0,0,37,1,9
38,39,0,0,37,1,1
38,39,0,0,37,1,10
38,39,0,0,37,1,11
38,39,0,0,37,1,12
38,39,0,0,37,1,2
38,39,0,0,37,1,3
38,39,0,0,37,1,4
38,39,0,0,37,1,5
38,39,0,0,37,1,6
38,39,0,0,37,1,7
38,39,0,0,37,1,8
38,39,0,0,37,1,9
39,40,0,0,37,1,1
39,40,0,0,37,1,10
39,40,0,0,37,1,11
39,40,0,0,37,1,12
39,40,0,0,37,1,2
39,40,0,0,37,1,3
39,40,0,0,37,1,4
39,40,0,0,37,1,5
39,40,0,0,37,1,6
39,40,0,0,37,1,7
39,40,0,0,37,1,8
39,40,0,0,37,1,9
40,41,0,0,37,1,1
40,41,0,0,37,1,10
40,41,0,0,37,1,11
40,41,0,0,37,1,12
40,41,0,0,37,1,2
40,41,0,0,37,1,3
40,41,0,0,37,1,4
40,41,0,0,37,1,5
40,41,0,0,37,1,6
40,41,0,0,37,1,7
40,41,0,0,37,1,8
40,41,1,1,37,1,9
41,42,0,0,37,1,1
41,42,1,1,37,1,10
41,42,0,0,37,1,11
41,42,0,0,37,1,12
41,42,0,0,37,1,2
41,42,0,0,37,1,3
41,42,0,0,37,1,4
41,42,0,0,37,1,5
41,42,0,0,37,1,6
41,42,0,0,37,1,7
41,42,0,0,37,1,8
41,42,1,0,37,1,9
42,43,0,0,37,1,1
42,43,0,0,37,1,10
42,43,0,0,37,1,11
42,43,0,0,37,1,12
42,43,0,0,37,1,2
42,43,0,0,37,1,3
42,43,0,0,37,1,4
42,43,0,0,37,1,5
42,43,0,0,37,1,6
42,43,0,0,37,1,7
42,43,0,0,37,1,8
42,43,1,0,37,1,9
43,44,0,0,37,1,1
43,44,1,0,37,1,10
43,44,0,0,37,1,11
43,44,0,0,37,1,12
43,44,0,0,37,1,2
43,44,0,0,37,1,3
43,44,0,0,37,1,4
43,44,1,0,37,1,5
43,44,0,0,37,1,6
43,44,0,0,37,1,7
43,44,0,0,37,1,8
43,44,1,0,37,1,9
44,45,0,0,37,1,1
44,45,1,0,37,1,10
44,45,0,0,37,1,11
44,45,0,0,37,1,12
44,45,0,0,37,1,2
44,45,0,0,37,1,3
44,45,0,0,37,1,4
44,45,1,0,37,1,5
44,45,0,0,37,1,6
44,45,0,0,37,1,7
44,45,0,0,37,1,8
44,45,0,0,37,1,9
45,46,0,0,37,1,1
45,46,1,0,37,1,10
45,46,0,0,37,1,11
45,46,0,0,37,1,12
45,46,0,0,37,1,2
45,46,0,0,37,1,3
45,46,1,0,37,1,4
45,46,0,0,37,1,5
45,46,0,0,37,1,6
45,46,0,0,37,1,7
45,46,0,0,37,1,8
45,46,0,0,37,1,9
46,47,0,0,37,1,1
46,47,0,0,37,1,10
46,47,0,0,37,1,11
46,47,0,0,37,1,12
46,47,0,0,37,1,2
46,47,0,0,37,1,3
46,47,1,0,37,1,4
46,47,0,0,37,1,5
46,47,0,0,37,1,6
46,47,0,0,37,1,7
46,47,0,0,37,1,8
46,47,0,0,37,1,9
47,48,0,0,37,1,1
47,48,1,0,37,1,10
47,48,0,0,37,1,11
47,48,0,0,37,1,12
47,48,0,0,37,1,2
47,48,0,0,37,1,3
47,48,0,0,37,1,4
47,48,0,0,37,1,5
47,48,1,0,37,1,6
47,48,0,0,37,1,7
47,48,0,0,37,1,8
47,48,1,0,37,1,9
48,49,0,0,37,1,1
48,49,0,0,37,1,10
48,49,0,0,37,1,11
48,49,0,0,37,1,12
48,49,0,0,37,1,2
48,49,0,0,37,1,3
48,49,0,0,37,1,4
48,49,0,0,37,1,5
48,49,0,0,37,1,6
48,49,0,0,37,1,7
48,49,0,0,37,1,8
48,49,0,0,37,1,9
49,50,0,0,37,1,1
49,50,0,0,37,1,10
49,50,0,0,37,1,11
49,50,0,0,37,1,12
49,50,0,0,37,1,2
49,50,0,0,37,1,3
49,50,0,0,37,1,4
49,50,0,0,37,1,5
49,50,0,0,37,1,6
49,50,0,0,37,1,7
49,50,0,0,37,1,8
49,50,0,0,37,1,9
50,51,0,0,37,1,1
50,51,0,0,37,1,10
50,51,0,0,37,1,11
50,51,0,0,37,1,12
50,51,0,0,37,1,2
50,51,0,0,37,1,3
50,51,0,0,37,1,4
50,51,0,0,37,1,5
50,51,0,0,37,1,6
50,51,0,0,37,1,7
50,51,1,0,37,1,8
50,51,0,0,37,1,9
51,52,0,0,37,1,1
51,52,0,0,37,1,10
51,52,0,0,37,1,11
51,52,0,0,37,1,12
51,52,0,0,37,1,2
51,52,0,0,37,1,3
51,52,0,0,37,1,4
51,52,0,0,37,1,5
51,52,0,0,37,1,6
51,52,0,0,37,1,7
51,52,1,0,37,1,8
51,52,0,0,37,1,9
52,53,0,0,37,1,1
52,53,0,0,37,1,10
52,53,0,0,37,1,11
52,53,0,0,37,1,12
52,53,0,0,37,1,2
52,53,0,0,37,1,3
52,53,1,0,37,1,4
52,53,0,0,37,1,5
52,53,0,0,37,1,6
52,53,0,0,37,1,7
52,53,0,0,37,1,8
52,53,0,0,37,1,9
53,54,0,0,37,1,1
53,54,0,0,37,1,10
53,54,1,0,37,1,11
53,54,0,0,37,1,12
53,54,0,0,37,1,2
53,54,0,0,37,1,3
53,54,1,0,37,1,4
53,54,0,0,37,1,5
53,54,0,0,37,1,6
53,54,0,0,37,1,7
53,54,0,0,37,1,8
53,54,0,0,37,1,9
54,55,1,0,37,1,1
54,55,1,0,37,1,10
54,55,0,1,37,1,11
54,55,0,0,37,1,12
54,55,0,0,37,1,2
54,55,0,0,37,1,3
54,55,0,0,37,1,4
54,55,0,0,37,1,5
54,55,0,0,37,1,6
54,55,0,0,37,1,7
54,55,0,0,37,1,8
54,55,0,0,37,1,9
55,56,1,0,37,1,1
55,56,0,0,37,1,10
55,56,0,0,37,1,11
55,56,0,0,37,1,12
55,56,0,0,37,1,2
55,56,0,0,37,1,3
55,56,0,0,37,1,4
55,56,0,0,37,1,5
55,56,0,0,37,1,6
55,56,0,0,37,1,7
55,56,0,0,37,1,8
55,56,1,0,37,1,9
56,57,0,0,37,1,1
56,57,0,0,37,1,10
56,57,0,1,37,1,11
56,57,0,0,37,1,12
56,57,0,0,37,1,2
56,57,0,0,37,1,3
56,57,0,0,37,1,4
56,57,0,0,37,1,5
56,57,0,0,37,1,6
56,57,0,0,37,1,7
56,57,0,0,37,1,8
56,57,0,0,37,1,9
57,58,0,0,37,1,1
57,58,0,0,37,1,10
57,58,0,0,37,1,11
57,58,0,0,37,1,12
57,58,0,0,37,1,2
57,58,0,0,37,1,3
57,58,0,0,37,1,4
57,58,0,0,37,1,5
57,58,1,0,37,1,6
57,58,0,0,37,1,7
57,58,0,0,37,1,8
57,58,0,0,37,1,9
58,59,1,0,37,1,1
58,59,0,0,37,1,10
58,59,0,0,37,1,11
58,59,0,0,37,1,12
58,59,0,0,37,1,2
58,59,0,0,37,1,3
58,59,1,0,37,1,4
58,59,0,0,37,1,5
58,59,1,0,37,1,6
58,59,0,0,37,1,7
58,59,0,0,37,1,8
58,59,0,0,37,1,9
59,60,1,0,37,1,1
59,60,1,0,37,1,10
59,60,1,0,37,1,11
59,60,0,0,37,1,12
59,60,0,0,37,1,2
59,60,0,0,37,1,3
59,60,1,0,37,1,4
59,60,0,0,37,1,5
59,60,1,0,37,1,6
59,60,0,0,37,1,7
59,60,0,0,37,1,8
59,60,0,0,37,1,9
60,61,0,0,37,1,1
60,61,1,0,37,1,10
60,61,1,0,37,1,11
60,61,0,0,37,1,12
60,61,0,0,37,1,2
60,61,0,0,37,1,3
60,61,0,0,37,1,4
60,61,0,0,37,1,5
60,61,0,0,37,1,6
60,61,0,0,37,1,7
60,61,0,0,37,1,8
60,61,0,0,37,1,9
61,62,0,0,37,1,1
61,62,0,0,37,1,10
61,62,0,0,37,1,11
61,62,0,0,37,1,12
61,62,0,0,37,1,2
61,62,0,0,37,1,3
61,62,0,0,37,1,4
61,62,0,0,37,1,5
61,62,0,0,37,1,6
61,62,0,0,37,1,7
61,62,0,0,37,1,8
61,62,0,0,37,1,9
62,63,0,0,37,1,1
62,63,0,0,37,1,10
62,63,0,0,37,1,11
62,63,0,0,37,1,12
62,63,0,1,37,1,2
62,63,0,0,37,1,3
62,63,0,0,37,1,4
62,63,0,0,37,1,5
62,63,0,0,37,1,6
62,63,0,0,37,1,7
62,63,0,0,37,1,8
62,63,0,0,37,1,9
63,64,0,0,37,1,1
63,64,0,0,37,1,10
63,64,0,0,37,1,11
63,64,0,0,37,1,12
63,64,1,0,37,1,2
63,64,0,0,37,1,3
63,64,0,0,37,1,4
63,64,1,0,37,1,5
63,64,0,0,37,1,6
63,64,0,0,37,1,7
63,64,1,1,37,1,8
63,64,0,0,37,1,9
64,65,0,0,37,1,1
64,65,1,0,37,1,10
64,65,0,0,37,1,11
64,65,0,0,37,1,12
64,65,1,0,37,1,2
64,65,0,0,37,1,3
64,65,0,0,37,1,4
64,65,0,0,37,1,5
64,65,0,0,37,1,6
64,65,0,0,37,1,7
64,65,1,0,37,1,8
64,65,1,0,37,1,9
65,66,0,0,37,1,1
65,66,0,0,37,1,10
65,66,0,0,37,1,11
65,66,0,0,37,1,12
65,66,1,0,37,1,2
65,66,0,0,37,1,3
65,66,0,0,37,1,4
65,66,0,0,37,1,5
65,66,0,0,37,1,6
65,66,0,0,37,1,7
65,66,0,0,37,1,8
65,66,0,0,37,1,9
66,67,0,0,37,1,1
66,67,0,0,37,1,10
66,67,0,0,37,1,11
66,67,0,0,37,1,12
66,67,0,1,37,1,2
66,67,0,0,37,1,3
66,67,0,0,37,1,4
66,67,0,0,37,1,5
66,67,0,0,37,1,6
66,67,0,0,37,1,7
66,67,1,0,37,1,8
66,67,0,0,37,1,9
67,68,0,0,37,1,1
67,68,0,0,37,1,10
67,68,0,0,37,1,11
67,68,0,0,37,1,12
67,68,1,1,37,1,2
67,68,0,0,37,1,3
67,68,0,0,37,1,4
67,68,1,0,37,1,5
67,68,0,0,37,1,6
67,68,0,0,37,1,7
67,68,0,0,37,1,8
67,68,0,0,37,1,9
68,69,0,0,37,1,1
68,69,0,0,37,1,10
68,69,0,0,37,1,11
