"Timestamp","Actor","Behavior","Recipient","Location","Observer","Comment"
"8/20/2015 12:33:44","2","Fighting","4","UL","BN",""
"8/20/2015 12:34:57","2","Fighting","7","UR","BN","7 at feeder"
"8/20/2015 12:46:08","2","Fighting, Chasing","3, 11","LL, LR","BN",""
"8/20/2015 12:50:18","2","Fighting","11","NB5","BN",""
"8/20/2015 13:00:52","End","End","End","End","BN",""
"8/21/2015 19:35:32","Start","Start","Start","Start","WL",""
"8/21/2015 19:43:11","4","Chasing","5","UL","WL","2 is sleeping in NB 4 with others and many other mice are actively eating"
"8/21/2015 19:43:40","4","Chasing","12","UR","WL","Yeah!!!!!!"
"8/21/2015 19:43:57","11","Chasing","5","UR","WL",""
"8/21/2015 19:44:13","2","Chasing","6","UR","WL",""
"8/21/2015 19:44:24","2","Fighting, Chasing","11","UL","WL",""
"8/21/2015 19:45:48","2","Fighting","11","NB4","WL",""
"8/21/2015 19:52:02","2","Chasing","4","UR","WL",""
"8/21/2015 19:52:40","2","Chasing","3","UR","WL",""
"8/21/2015 20:02:22","2","Fighting, Chasing, Subordinate","3","MR","WL",""
"8/21/2015 20:07:11","2","Induce-flee","8","NB3","WL",""
"8/21/2015 20:09:41","2","Fighting, Chasing","8","UR","XX",""
"8/21/2015 20:17:14","2","Fighting","12","NB5","WL",""
"8/21/2015 20:36:13","End","End","End","End","WL",""
"8/22/2015 16:02:17","Start","Start","Start","Start","BN",""
"8/22/2015 16:03:48","2","Induce-flee","4","LR","BN",""
"8/22/2015 16:10:23","2","Chasing","5","UR","BN",""
"8/22/2015 16:10:34","2","Fighting","5","MR","BN",""
"8/22/2015 16:12:55","2","Chasing","10","UL","BN",""
"8/22/2015 16:13:52","2","Fighting","9, 10","UR","BN",""
"8/22/2015 16:16:01","2","Fighting","4","MR","BN","Last fight may have been 4 not 9"
"8/22/2015 16:16:38","2","Subordinate, Induce-flee","10","UR","BN",""
"8/22/2015 16:18:32","2","Chasing","4","UL, ML","BN",""
"8/22/2015 16:43:26","2","Induce-flee","8","MR","BN",""
"8/22/2015 16:43:36","2","Fighting, Chasing","6","LR","BN",""
"8/22/2015 16:45:48","2","Fighting","5","MR","BN",""
"8/22/2015 16:46:02","2","Induce-flee","4","UL","BN",""
"8/22/2015 16:51:11","9","Chasing","12","UR","BN",""
"8/22/2015 16:52:28","2","Fighting, Chasing","9","UR","BN",""
"8/22/2015 16:56:57","2","Fighting","12","NB3","BN",""
"8/22/2015 16:58:54","2","Fighting","9","NB5","BN",""
"8/22/2015 17:00:17","End","End","End","End","BN",""
"8/23/2015 18:00:27","Start","Start","Start","Start","WL",""
"8/23/2015 18:01:09","10","Fighting","12","NB4","WL",""
"8/23/2015 18:05:02","2","Fighting","6, 8","NB5","WL",""
"8/23/2015 18:06:35","2","Chasing","4","NB5","WL",""
"8/23/2015 18:07:26","2","Fighting, Chasing","9","MR","WL",""
"8/23/2015 18:09:24","2","Subordinate","6","NB4","WL",""
"8/23/2015 18:11:06","2","Fighting","3","NB5","WL",""
"8/23/2015 18:22:41","2","Chasing","5","UR","WL",""
"8/23/2015 18:24:42","7","Fighting","1","NB3","WL","Yeah!!!!!!"
"8/23/2015 18:27:38","2","Subordinate","5","NB4","WL",""
"8/23/2015 18:27:48","2","Fighting, Chasing","3","NB5","WL",""
"8/23/2015 18:32:56","2","Fighting, Chasing","1","UR","WL",""
"8/23/2015 18:34:43","2","Fighting, Chasing","5","NB5","WL",""
"8/23/2015 18:45:27","8","Chasing, Subordinate","4","UL","WL",""
"8/23/2015 18:47:14","9","Chasing, Mounting","3","UL","WL",""
"8/23/2015 18:47:39","9","Chasing","11","UR","WL",""
"8/23/2015 18:49:34","2","Fighting, Chasing","12","UR","WL","Super intense"
"8/23/2015 18:51:39","2","Chasing","4, 9","UL","WL",""
"8/23/2015 18:53:34","2","Subordinate","3","NB3","WL",""
"8/23/2015 18:54:48","2","Chasing","8","MR","WL",""
"8/23/2015 18:56:38","2","Chasing","9","MR","WL",""
"8/23/2015 18:57:00","2","Chasing","1","LR","WL","Crazy 2"
"8/23/2015 19:00:32","End","End","End","End","WL",""
"8/24/2015 19:01:41","Start","Start","Start","Start","BN",""
"8/24/2015 19:22:54","1","Fighting","5","LR","BN","Most mice are sleeping. NB4"
"8/24/2015 19:37:26","2","Chasing","1","NB5","BN",""
