Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
10/8/2015 12:01:17,Start,Start,Start,Start,KB,,
10/8/2015 12:02:37,"6, 8",Fighting,"6, 8",NB1,KB,winner unclear,
10/8/2015 12:03:59,1,Fighting,6,NB4,KB,,
10/8/2015 12:04:42,1,Fighting,2,NB5,KB,,
10/8/2015 12:07:05,1,Fighting,11,NB5,KB,"a lot of activity, cant see everything",
10/8/2015 12:12:49,6,Fighting,8,NB4,KB,,
10/8/2015 12:23:52,7,Fighting,6,NB4,KB,"still very active, mostly exploratory",
10/8/2015 12:42:06,7,Fighting,10,UL,KB,,
10/8/2015 12:50:37,"7, 10",Fighting,"7, 10",MR,KB,fell on to lower left; winner unclear,
10/8/2015 12:50:59,End,End,End,End,KB,,
10/8/2015 13:07:30,Start,Start,Start,Start,KB,,
10/8/2015 13:07:54,"7, 10",Fighting,"7, 10",UR,KB,,
10/8/2015 13:49:41,10,Fighting,"1, 4",LL,KB,"not sure if last submission went through, tablet connected to camera network",
10/8/2015 14:00:22,End,End,End,End,KB,,
10/9/2015 12:02:47,Start,Start,Start,Start,HD,,
10/9/2015 12:17:58,10,"Fighting, Chasing",12,"UL, ML, LL",HD,,
10/9/2015 12:19:43,10,Mounting,7,UL,HD,,
10/9/2015 12:20:54,10,Fighting,2,UR,HD,,
10/9/2015 12:24:19,10,Chasing,12,"ML, LL, NB2",HD,,
10/9/2015 12:25:02,10,Chasing,8,"LL, LR",HD,,
10/9/2015 12:27:05,10,Chasing,11,"NB4, NB5",HD,,
10/9/2015 12:31:15,10,Chasing,9,"UL, UR",HD,,
10/9/2015 12:33:09,10,"Fighting, Chasing",2,"UL, ML, LL",HD,,
10/9/2015 12:36:08,10,Fighting,1,LR,HD,,
10/9/2015 12:42:17,10,Mounting,6,LR,HD,,
10/9/2015 12:52:49,10,Fighting,8,LR,HD,,
10/9/2015 12:52:59,End,End,End,End,HD,,
10/9/2015 13:09:30,Start,Start,Start,Start,HD,,
10/9/2015 13:09:49,10,Chasing,9,"LL, LR",HD,,
