"Timestamp","Actor","Behavior","Recipient","Location","Observer","Comment"
"8/19/2015 11:57:05","Start","Start","Start","Start","WL",""
"8/19/2015 12:02:31","3","Mounting","5","NB3","WL",""
"8/19/2015 12:03:41","3","Fighting, Mounting","4","NB3","WL",""
"8/19/2015 12:07:29","3","Fighting, Chasing, Mounting","10","NB4","WL","intense"
"8/19/2015 12:14:28","3","Mounting","6","LL","WL",""
"8/19/2015 12:15:28","3","Fighting, Chasing","8, 11","LL","WL",""
"8/19/2015 12:15:45","3","Fighting, Mounting","2","LL","WL",""
"8/19/2015 12:16:04","3","Fighting, Chasing","6","LR","WL",""
"8/19/2015 12:18:57","12","Fighting, Chasing","1","LL","WL","1 sniffed first"
"8/19/2015 12:19:54","12","Fighting, Chasing, Mounting","7","LL","WL","persistent"
"8/19/2015 12:21:27","3","Chasing","9","LL","WL",""
"8/19/2015 12:22:55","3","Chasing, Mounting","7","LL","WL",""
"8/19/2015 12:23:30","3","Fighting, Chasing","5","LL","WL",""
"8/19/2015 12:23:42","3, 12","Fighting","3, 12","LL","WL",""
"8/19/2015 12:23:57","3, 12","Fighting","3, 12","LL","WL",""
"8/19/2015 12:25:48","3, 12","Fighting","3, 12","LR","WL","12 actively sniffing"
"8/19/2015 12:26:15","3, 12","Fighting","3, 12","LR","WL","3:12=55:45?"
"8/19/2015 12:28:05","3, 12","Fighting","3, 12","LL","WL","i think 12 won"
"8/19/2015 12:28:34","12","Chasing, Mounting","10","LR","WL",""
"8/19/2015 12:29:06","3, 12","Fighting","3, 12","NB2","WL","tie it is"
"8/19/2015 12:30:09","12","Chasing","1","LR","WL",""
"8/19/2015 12:31:30","3","Fighting, Chasing","5","LL","WL",""
"8/19/2015 12:31:45","3, 12","Fighting","3, 12","LL","WL",""
"8/19/2015 12:33:10","3","Fighting, Chasing","7","LL","WL",""
"8/19/2015 12:35:35","3","Fighting","10","LL","WL","10 jumpy"
"8/19/2015 12:36:17","3, 12","Fighting","3, 12","NB1","WL",""
"8/19/2015 12:51:38","12","Fighting, Chasing","10","LR","WL",""
"8/19/2015 12:59:56","12","Fighting","3","MR","WL","3 did not fight back, 12 $niffed first, although 3s subordinate posture was subtle"
"8/19/2015 13:00:14","End","End","End","End","WL",""
"8/19/2015 17:31:17","Start","Start","Start","Start","MT",""
"8/19/2015 17:32:06","12","Chasing, Mounting","2","UL, UR","MT",""
"8/19/2015 17:39:37","7","Chasing","10","LR, NB3, NB4","MT",""
"8/19/2015 17:48:19","10","Fighting, Chasing","1","UL, UR","MT",""
"8/19/2015 17:51:01","12","Fighting, Chasing, Subordinate","8","LL, LR","MT","extended fight"
"8/19/2015 17:58:03","12","Fighting, Chasing","2","LL, LR","MT",""
"8/19/2015 18:04:09","12","Chasing","2","UL, UR","MT",""
"8/19/2015 18:29:44","10","Fighting","3","LL","MT",""
"8/19/2015 18:30:23","End","End","End","End","MT",""
"8/20/2015 13:01:13","Start","Start","Start","Start","BN",""
"8/20/2015 13:07:49","5","Mounting","4","NB4","BN",""
"8/20/2015 13:09:52","5","Mounting","4","NB4","BN",""
"8/20/2015 13:13:59","5","Mounting","4","NB4","BN",""
"8/20/2015 13:17:44","5","Mounting","4","NB4","BN",""
"8/20/2015 13:18:25","5","Mounting","4","NB4","BN","yes, seriously. "
"8/20/2015 13:19:05","5","Mounting","4","NB4","BN",""
"8/20/2015 13:23:19","12","Fighting, Chasing, Subordinate","4","LL, LR","BN",""
"8/20/2015 13:24:02","12","Chasing, Subordinate","8","LL","BN",""
"8/20/2015 13:28:49","5","Mounting","4","NB4","BN",""
"8/20/2015 13:34:28","12","Chasing, Subordinate","4","UR, MR","BN",""
"8/20/2015 13:35:04","12","Subordinate","4","LR","BN",""
"8/20/2015 13:35:17","11","Subordinate","4","LR","BN",""
"8/20/2015 13:35:29","12","Fighting","11","LR","BN",""
"8/20/2015 13:41:04","12","Fighting","4","NB4","BN",""
"8/20/2015 14:00:28","End","End","End","End","BN",""
"8/20/2015 17:21:25","Start","Start","Start","Start","MT",""
"8/20/2015 17:23:31","12","Chasing","8","LL, NB2","MT",""
"8/20/2015 17:31:14","7","Fighting, Chasing","3","ML, LL, MR, LR","MT",""
"8/20/2015 17:45:07","8","Chasing","1","ML, MR","MT",""
"8/20/2015 17:45:51","12","Fighting, Mounting","9","LL","MT",""
"8/20/2015 17:48:18","5","Mounting","4","NB4","MT","for a long time"
"8/20/2015 17:52:49","12","Induce-flee","4","MR","MT",""
"8/20/2015 17:57:00","12","Fighting","6","LR","MT","not completely clear who the actor was "
"8/20/2015 17:59:10","5","Mounting","4","LR","MT",""
"8/20/2015 17:59:52","9","Fighting, Chasing","5","LL, LR","MT",""
"8/20/2015 18:00:02","9","Fighting","6","MR","MT",""
"8/20/2015 18:00:37","9","Fighting, Chasing","8","NB1, NB2, NB5","MT",""
"8/20/2015 18:02:07","12","Fighting, Chasing","9","LR, NB3","MT",""
"8/20/2015 18:05:32","12","Fighting, Chasing","6","LL, MR, LR","MT",""
"8/20/2015 18:06:25","9","Mounting","7","LL","MT",""
"8/20/2015 18:09:10","9","Fighting, Chasing","10","MR, LR","MT",""
"8/20/2015 18:20:12","1","Chasing","5","UL, UR","MT",""
"8/20/2015 18:20:57","End","End","End","End","MT",""
"8/21/2015 20:37:55","Start","Start","Start","Start","WL",""
"8/21/2015 20:39:18","12","Subordinate","3","UL","WL",""
"8/21/2015 20:41:59","5","Fighting, Chasing","2, 7","MR","WL",""
"8/21/2015 20:42:37","5","Induce-flee","1","MR","WL",""
"8/21/2015 20:45:18","12","Chasing","5","MR","WL",""
"8/21/2015 20:51:30","3","Fighting, Chasing","4","ML","WL",""
"8/21/2015 20:55:45","7","Fighting, Chasing, Subordinate","2","ML","WL",""
"8/21/2015 20:57:19","3","Chasing, Subordinate","9","LL","WL",""
"8/21/2015 20:59:47","3","Fighting, Chasing, Subordinate","9","NB4","WL",""
"8/21/2015 21:05:06","3","Fighting, Chasing","6","UR","WL",""
"8/21/2015 21:05:58","12","Fighting, Chasing","10","LL","WL",""
"8/21/2015 21:06:32","10","Fighting, Chasing","5","MR","WL",""
"8/21/2015 21:09:10","5","Fighting, Chasing","2","MR","WL",""
"8/21/2015 21:10:49","12","Fighting, Chasing","2","LL","WL",""
"8/21/2015 21:11:14","12","Fighting, Chasing","10","LL","WL",""
"8/21/2015 21:12:46","3","Fighting, Chasing","6","ML","WL",""
"8/21/2015 21:13:11","10","Fighting, Chasing","5","LL","WL","3 may have fled from 10 but not sure"
"8/21/2015 21:13:34","3","Fighting, Chasing","6","UR","WL",""
"8/21/2015 21:14:01","3","Induce-flee","9","NB2","WL",""
"8/21/2015 21:14:56","3","Fighting, Chasing, Subordinate","6","LL","WL",""
"8/21/2015 21:21:20","12","Chasing","3","UR","WL",""
"8/21/2015 21:33:29","End","End","End","End","WL",""
"8/22/2015 15:00:36","Start","Start","Start","Start","BN",""
"8/22/2015 15:03:55","10","Subordinate","4","NB1","BN",""
"8/22/2015 15:14:29","10","Fighting","1, 4, 6","LL","BN","rapid but individual fights"
"8/22/2015 15:19:11","10","Induce-flee","8","LL","BN",""
"8/22/2015 15:19:25","10","Subordinate","3","LL","BN",""
"8/22/2015 15:19:36","10","Fighting","8","UL","BN",""
