Duration_sf,Behavior,Event_Type,Side,Time
4.88,drink,State start,left,0:31:34
0,drink,State stop,left,0:31:39
5.66,eat,State start,left,0:37:54
0,eat,State stop,left,0:38:00
51.22,eat,State start,left,0:47:03
0,eat,State stop,left,0:47:54
0.78,drink,State start,left,1:41:47
0,drink,State stop,left,1:41:47
1.74,drink,State start,left,1:56:30
0,drink,State stop,left,1:56:31
4.4,eat,State start,left,2:18:21
0,eat,State stop,left,2:18:26
8.44,drink,State start,left,2:25:17
0,drink,State stop,left,2:25:26
7.42,eat,State start,left,2:43:00
0,eat,State stop,left,2:43:07
"25.9,6.6",eat,State start,left,4:13:00
0,eat,State stop,left,4:13:25
4.5,drink,State start,left,4:38:29
0,drink,State stop,left,4:38:34
1.38,drink,State start,left,6:05:06
0,drink,State stop,left,6:05:07
4.92,eat,State start,left,6:15:55
0,eat,State stop,left,6:16:00
1.7,drink,State start,left,9:20:58
0,drink,State stop,left,9:21:00
8.9,drink,State start,left,11:05:34
0,drink,State stop,left,11:05:43
4.16,drink,State start,left,11:15:03
0,drink,State stop,left,11:15:07
3.76,eat,State start,left,12:26:39
0,eat,State stop,left,12:26:43
60,eat,State start,left,12:41:00
0,eat,State stop,left,12:42:00
9.06,drink,State start,left,14:03:05
0,drink,State stop,left,14:03:14
8.46,drink,State start,left,14:09:00
0,drink,State stop,left,14:09:08
4.22,drink,State start,left,14:57:22
0,drink,State stop,left,14:57:26
2.14,drink,State start,left,19:49:16
0,drink,State stop,left,19:49:19
1.96,drink,State start,right,0:47:23
0,drink,State stop,right,0:47:25
1.72,eat,State start,right,0:47:27
0,eat,State stop,right,0:47:28
6.44,drink,State start,right,0:55:21
0,drink,State stop,right,0:55:27
"1.96,1",drink,State start,right,2:07:54
0,drink,State stop,right,2:07:56
30.48,eat,State start,right,2:08:10
0,eat,State stop,right,2:08:41
19.96,eat,State start,right,2:28:00
0,eat,State stop,right,2:28:19
0.36,eat,State start,right,2:45:09
0,eat,State stop,right,2:45:09
3.28,drink,State start,right,3:24:01
0,drink,State stop,right,3:24:04
21.48,eat,State start,right,4:12:00
0,eat,State stop,right,4:12:21
13,drink,State start,right,4:14:10
0,drink,State stop,right,4:14:23
4.96,eat,State start,right,6:25:55
0,eat,State stop,right,6:26:00
"26.44,14.12",eat,State start,right,6:41:01
0,eat,State stop,right,6:41:28
30.04,eat,State start,right,11:03:00
0,eat,State stop,right,11:03:30
3.32,drink,State start,right,11:05:35
0,drink,State stop,right,11:05:38
18,eat,State start,right,12:39:42
0,eat,State stop,right,12:40:00
"45.88,12.28",eat,State start,right,14:45:00
0,eat,State stop,right,14:45:45
"38.56,7.92",eat,State start,right,14:52:02
0,eat,State stop,right,14:52:40
6.64,eat,State start,right,15:00:04
0,eat,State stop,right,15:00:10
54.92,eat,State start,right,17:37:00
0,eat,State stop,right,17:37:54
3.88,drink,State start,right,17:37:56
0,drink,State stop,right,17:38:00
18.6,eat,State start,right,0:53:09
0,eat,State stop,right,0:53:28
34.32,eat,State start,right,1:02:25
0,eat,State stop,right,1:03:00
"8.56,2.2",drink,State start,right,1:14:39
0,drink,State stop,right,1:14:48
