Duration_sf,Behavior,Event_Type,Side,Time
"10.44,0.96",drink,State start,left,0:48:20
0,drink,State stop,left,0:48:30
25.72,eat,State start,left,1:04:34
0,eat,State stop,left,1:05:00
4.28,drink,State start,left,1:55:44
0,drink,State stop,left,1:55:48
13,drink,State start,left,2:04:00
0,drink,State stop,left,2:04:13
60,eat,State start,left,2:25:00
0,eat,State stop,left,2:26:00
6.96,drink,State start,left,3:45:12
0,drink,State stop,left,3:45:19
17.4,drink,State start,left,0:41:04
0,drink,State stop,left,0:41:21
1,eat,State start,left,1:31:59
0,eat,State stop,left,3:02:00
60,eat,State start,left,3:02:00
0,eat,State stop,left,3:03:00
5.64,drink,State start,left,3:15:04
0,drink,State stop,left,3:15:09
"30.04,10.6",eat,State start,left,3:33:00
0,eat,State stop,left,3:33:30
"3.4,17.64",eat,State start,left,3:43:18
0,eat,State stop,left,3:43:21
31.64,eat,State start,left,3:59:28
0,eat,State stop,left,4:00:00
19.08,drink,State start,left,4:02:34
0,drink,State stop,left,4:02:53
11.52,drink,State start,left,5:30:48
0,drink,State stop,left,5:31:00
6,eat,State start,left,6:32:00
0,eat,State stop,left,6:32:06
60,eat,State start,left,6:59:00
0,eat,State stop,left,7:00:00
11.76,drink,State start,left,7:00:41
0,drink,State stop,left,7:00:53
13.04,drink,State start,left,7:43:15
0,drink,State stop,left,7:43:28
59.28,eat,State start,left,8:41:00
0,eat,State stop,left,8:42:00
2,drink,State start,left,10:12:28
0,drink,State stop,left,10:12:30
22.04,eat,State start,left,0:33:21
0,eat,State stop,left,0:33:43
60,eat,State start,right,1:04:00
0,eat,State stop,right,1:05:00
46.78,eat,State start,right,3:00:13
0,eat,State stop,right,3:01:00
3.14,drink,State start,right,1:13:36
0,drink,State stop,right,1:13:39
2.84,eat,State start,right,2:35:06
0,eat,State stop,right,2:35:09
60,eat,State start,right,3:03:00
0,eat,State stop,right,3:04:00
9.34,eat,State start,right,3:25:00
0,eat,State stop,right,3:25:09
6.78,eat,State start,right,3:31:03
0,eat,State stop,right,3:31:09
12.4,drink,State start,right,3:33:05
0,drink,State stop,right,3:33:17
"2.42,7.48",drink,State start,right,3:34:14
0,drink,State stop,right,3:34:16
55.92,eat,State start,right,3:45:04
0,eat,State stop,right,3:46:00
5.18,drink,State start,right,6:55:21
0,drink,State stop,right,6:55:26
10,eat,State start,right,7:18:00
0,eat,State stop,right,7:18:10
36.08,eat,State start,right,7:20:00
0,eat,State stop,right,7:20:36
3.72,drink,State start,right,8:03:40
0,drink,State stop,right,8:03:44
54.9192,eat,State start,right,8:22:00
0,eat,State stop,right,8:22:54
7.148,drink,State start,right,9:17:52
0,drink,State stop,right,9:17:59
29.9,eat,State start,right,0:04:24
0,eat,State stop,right,0:04:53
3.46,drink,State start,right,0:19:45
0,drink,State stop,right,0:19:48
6.46,drink,State start,right,0:42:53
0,drink,State stop,right,0:43:00
7.3,drink,State start,right,0:43:00
0,drink,State stop,right,0:43:07
