Duration_sf,Behavior,Event_Type,Side,Time
6.23327,drink,State start,left,1:26:29
0,drink,State stop,left,1:26:35
11.2999,eat,State start,left,1:27:24
0,eat,State stop,left,1:27:35
18.5998,eat,State start,left,1:36:41
0,eat,State stop,left,1:37:00
11.3078,eat,State start,left,1:38:00
0,eat,State stop,left,1:38:11
9.27604,eat,State start,left,3:57:50
0,eat,State stop,left,3:58:00
5.36661,drink,State start,left,4:26:13
0,drink,State stop,left,4:26:19
3.85569,eat,State start,left,4:56:00
0,eat,State stop,left,4:56:03
1.46665,eat,State start,left,5:26:48
0,eat,State stop,left,5:26:50
"1.98,2.04",drink,State start,left,0:02:53
0,drink,State stop,left,0:02:55
1.26,eat,State start,left,0:04:58
0,eat,State stop,left,0:05:00
10.88,drink,State start,left,0:58:13
0,drink,State stop,left,0:58:24
22.52,eat,State start,left,0:59:00
0,eat,State stop,left,0:59:22
8.48,drink,State start,left,0:01:15
0,drink,State stop,left,0:01:23
2.44,eat,State start,right,0:46:57
0,eat,State stop,right,0:47:00
6.32,drink,State start,right,0:53:45
0,drink,State stop,right,0:53:51
15.72,drink,State start,right,0:58:29
0,drink,State stop,right,0:58:45
0.32,drink,State start,right,0:59:01
0,drink,State stop,right,0:59:01
15.32,drink,State start,right,3:10:24
0,drink,State stop,right,3:10:39
6.64,drink,State start,right,3:32:20
0,drink,State stop,right,3:32:27
4.2,eat,State start,right,3:39:25
0,eat,State stop,right,3:39:29
4.64,drink,State start,right,4:55:24
0,drink,State stop,right,4:55:28
0.72,drink,State start,right,5:01:19
0,drink,State stop,right,5:01:20
4.12,drink,State start,right,0:28:21
0,drink,State stop,right,0:28:25
5.56,drink,State start,right,1:02:50
0,drink,State stop,right,1:02:56
"23,7.72,3.36",eat,State start,right,1:31:03
0,eat,State stop,right,1:31:26
3.48,eat,State start,right,2:36:56
0,eat,State stop,right,2:37:00
3.84,drink,State start,right,8:04:56
0,drink,State stop,right,8:05:00
0.28,drink,State start,right,8:05:00
0,drink,State stop,right,8:05:00
4.04,drink,State start,right,8:40:27
0,drink,State stop,right,8:40:31
23.28,eat,State start,right,8:45:24
0,eat,State stop,right,8:45:47
60,eat,State start,right,8:56:00
0,eat,State stop,right,8:57:00
4.08,drink,State start,right,9:10:44
0,drink,State stop,right,9:10:48
"3.6,3.28",eat,State start,right,9:27:43
0,eat,State stop,right,9:27:47
22,eat,State start,right,9:51:00
0,eat,State stop,right,9:51:22
60,eat,State start,right,0:02:00
0,eat,State stop,right,0:03:00
"4.6,2.16,1.04",drink,State start,right,0:03:29
0,drink,State stop,right,0:03:34
39.2,eat,State start,right,0:27:00
0,eat,State stop,right,0:27:39
1.92,drink,State start,right,1:41:27
0,drink,State stop,right,1:41:29
9.48,eat,State start,right,1:52:19
0,eat,State stop,right,1:52:28
4.48,drink,State start,right,2:29:31
0,drink,State stop,right,2:29:36
"8.08,17.8",eat,State start,right,2:30:00
0,eat,State stop,right,2:30:08
