Duration_sf,Behavior,Event_Type,Side,Time
19.36,eat,State start,left,1:16:40
0,eat,State stop,left,1:17:00
6.12,eat,State start,left,1:19:25
0,eat,State stop,left,1:19:31
0.84,drink,State start,left,1:26:04
0,drink,State stop,left,1:26:05
0.68,eat,State start,left,1:29:53
0,eat,State stop,left,1:29:54
"1.4,20.48",eat,State start,left,1:44:23
0,eat,State stop,left,1:44:25
"1.6,6.72",eat,State start,left,2:05:33
0,eat,State stop,left,2:05:34
8.24,eat,State start,left,2:08:15
0,eat,State stop,left,2:08:24
10.44,drink,State start,left,2:12:00
0,drink,State stop,left,2:12:11
2.08,eat,State start,left,2:24:43
0,eat,State stop,left,2:24:45
3.64,drink,State start,left,2:25:56
0,drink,State stop,left,2:26:00
8.8,drink,State start,left,2:27:51
0,drink,State stop,left,2:28:00
0.4,drink,State start,left,3:28:37
0,drink,State stop,left,3:28:37
1.64,eat,State start,left,4:19:49
0,eat,State stop,left,4:19:50
5.8,drink,State start,left,4:32:24
0,drink,State stop,left,4:32:30
22.04,eat,State start,left,4:52:00
0,eat,State stop,left,4:52:22
3.76,drink,State start,left,6:57:12
0,drink,State stop,left,6:57:16
28.96,eat,State start,left,7:58:00
0,eat,State stop,left,7:58:28
9.6,drink,State start,left,8:24:07
0,drink,State stop,left,8:24:17
"1.76,4.8",drink,State start,left,12:10:13
0,drink,State stop,left,12:10:14
1.72,drink,State start,left,17:16:22
0,drink,State stop,left,17:16:24
"6.16,0.64",drink,State start,left,20:52:51
0,drink,State stop,left,20:52:57
"19.48,23.36",eat,State start,left,23:38:10
0,eat,State stop,left,23:38:30
0.5,drink,State start,right,1:19:11
0,drink,State stop,right,1:19:12
15.04,eat,State start,right,1:30:32
0,eat,State stop,right,1:30:47
1.42,drink,State start,right,1:37:36
0,drink,State stop,right,1:37:38
1.18,eat,State start,right,1:47:43
0,eat,State stop,right,1:47:44
1.6,eat,State start,right,1:51:15
0,eat,State stop,right,1:51:16
0.46,drink,State start,right,1:52:53
0,drink,State stop,right,1:52:53
2.6,eat,State start,right,1:57:00
0,eat,State stop,right,1:57:02
2.52,drink,State start,right,2:05:12
0,drink,State stop,right,2:05:15
13.62,eat,State start,right,2:06:37
0,eat,State stop,right,2:06:50
"49.16,6.16",eat,State start,right,2:23:00
0,eat,State stop,right,2:23:49
3.46,eat,State start,right,3:24:06
0,eat,State stop,right,3:24:09
"10.08,1.06",drink,State start,right,3:55:47
0,drink,State stop,right,3:55:57
1.36,drink,State start,right,4:58:23
0,drink,State stop,right,4:58:24
9.02,eat,State start,right,6:31:50
0,eat,State stop,right,6:32:00
"0.32,3.48",eat,State start,right,9:40:49
0,eat,State stop,right,9:40:50
5.76,drink,State start,right,12:04:54
0,drink,State stop,right,12:05:00
"8.86,0.94",drink,State start,right,13:41:00
0,drink,State stop,right,13:41:09
41.34,eat,State start,right,17:17:18
0,eat,State stop,right,17:18:00
2.7,drink,State start,right,22:51:52
0,drink,State stop,right,22:51:55
11.08,eat,State start,right,23:46:00
0,eat,State stop,right,23:46:11
9.3,drink,State start,right,23:51:00
0,drink,State stop,right,23:51:09
57,eat,State start,right,23:56:03
0,eat,State stop,right,23:57:00
