Duration_sf,Behavior,Event_Type,Side,Time
25.62,eat,State start,left,0:38:23
0,eat,State stop,left,0:38:49
7.04,eat,State start,left,0:56:29
0,eat,State stop,left,0:56:36
28.78,eat,State start,left,1:14:00
0,eat,State stop,left,1:14:28
2.02,drink,State start,left,1:38:00
0,drink,State stop,left,1:38:02
59.94,eat,State start,left,1:39:00
0,eat,State stop,left,1:40:00
3.66,drink,State start,left,1:48:23
0,drink,State stop,left,1:48:27
10.02,eat,State start,left,2:52:49
0,eat,State stop,left,2:53:00
4.32,drink,State start,left,3:09:21
0,drink,State stop,left,3:09:25
11.8,eat,State start,left,3:49:18
0,eat,State stop,left,3:49:30
10.24,drink,State start,left,0:02:30
0,drink,State stop,left,0:02:40
0.44,eat,State start,left,1:21:13
0,eat,State stop,left,1:21:13
1.26,drink,State start,left,2:28:14
0,drink,State stop,left,2:28:15
50.08,eat,State start,left,2:31:09
0,eat,State stop,left,2:32:00
3.64,eat,State start,left,2:38:21
0,eat,State stop,left,2:38:24
3.18,drink,State start,left,2:47:49
0,drink,State stop,left,2:47:52
9.8,drink,State start,left,3:08:29
0,drink,State stop,left,3:08:39
16.84,drink,State start,left,6:45:31
0,drink,State stop,left,6:45:48
3.12,drink,State start,left,7:12:43
0,drink,State stop,left,7:12:46
5.2,drink,State start,left,11:31:28
0,drink,State stop,left,11:31:34
"10.3,11.3,6.72",eat,State start,left,13:40:05
0,eat,State stop,left,13:40:15
7.42,drink,State start,left,13:43:38
0,drink,State stop,left,13:43:45
7.4,drink,State start,right,0:34:23
0,drink,State stop,right,0:34:30
"6.04,7.88",eat,State start,right,0:36:00
0,eat,State stop,right,0:36:06
2.76,eat,State start,right,1:04:56
0,eat,State stop,right,1:04:59
3.2,drink,State start,right,0:05:40
0,drink,State stop,right,0:05:44
11.6,drink,State start,right,1:07:26
0,drink,State stop,right,1:07:38
5.2,drink,State start,right,3:34:20
0,drink,State stop,right,4:36:20
7.34,drink,State start,right,4:36:20
0,drink,State stop,right,4:36:27
60,eat,State start,right,5:00:00
0,eat,State stop,right,5:01:00
"2.96,11.08",eat,State start,right,6:09:31
0,eat,State stop,right,6:09:34
1.7,drink,State start,right,6:17:38
0,drink,State stop,right,6:17:40
60,eat,State start,right,6:08:00
0,eat,State stop,right,6:09:00
60,eat,State start,right,6:34:00
0,eat,State stop,right,6:35:00
60,eat,State start,right,7:02:00
0,eat,State stop,right,7:03:00
"5.48,6.2,19.44",eat,State start,right,7:04:00
0,eat,State stop,right,7:04:05
4.4,drink,State start,right,7:19:55
0,drink,State stop,right,7:20:00
9.8,drink,State start,right,7:39:50
0,drink,State stop,right,7:40:00
"4.48,0.68",eat,State start,right,8:51:31
0,eat,State stop,right,8:51:36
7.6,drink,State start,right,13:06:38
0,drink,State stop,right,13:06:46
8.64,eat,State start,right,13:14:00
0,eat,State stop,right,13:14:08
