"realtime","subject","side","cohort","day"
121,"M5","left",39,22
121,"M7","left",39,22
121,"M10","left",39,22
121,"M1","right",39,22
121,"M7","right",39,22
122,"M6","left",39,22
122,"M7","left",39,22
122,"M11","left",39,22
122,"M3","right",39,22
122,"M7","right",39,22
122,"M8","right",39,22
122,"M10","right",39,22
122,"M12","right",39,22
123,"M6","left",39,22
123,"M7","left",39,22
123,"M11","left",39,22
123,"M3","right",39,22
123,"M8","right",39,22
123,"M12","right",39,22
124,"M6","left",39,22
124,"M7","left",39,22
124,"M6","right",39,22
125,"M7","left",39,22
125,"M11","left",39,22
125,"M12","left",39,22
125,"M1","right",39,22
125,"M6","right",39,22
125,"M8","right",39,22
126,"M1","left",39,22
126,"M7","left",39,22
126,"M11","left",39,22
126,"M8","right",39,22
127,"M7","left",39,22
128,"M7","left",39,22
129,"M1","left",39,22
129,"M11","left",39,22
130,"M1","left",39,22
130,"M11","left",39,22
130,"M2","right",39,22
130,"M4","right",39,22
131,"M1","left",39,22
131,"M8","left",39,22
131,"M4","right",39,22
131,"M6","right",39,22
132,"M1","left",39,22
132,"M4","right",39,22
132,"M11","right",39,22
133,"M1","left",39,22
133,"M3","left",39,22
133,"M6","left",39,22
133,"M3","right",39,22
134,"M3","left",39,22
134,"M6","left",39,22
134,"M10","left",39,22
134,"M11","left",39,22
134,"M3","right",39,22
134,"M6","right",39,22
134,"M9","right",39,22
135,"M1","left",39,22
135,"M8","left",39,22
135,"M10","left",39,22
135,"M11","left",39,22
135,"M3","right",39,22
135,"M6","right",39,22
136,"M1","left",39,22
136,"M10","left",39,22
136,"M11","left",39,22
136,"M12","left",39,22
136,"M10","right",39,22
137,"M1","left",39,22
137,"M3","left",39,22
137,"M8","left",39,22
137,"M11","left",39,22
137,"M12","left",39,22
138,"M3","left",39,22
138,"M6","right",39,22
139,"M3","left",39,22
140,"M9","left",39,22
140,"M9","right",39,22
140,"M12","right",39,22
141,"M9","left",39,22
141,"M8","right",39,22
142,"M9","left",39,22
142,"M4","right",39,22
143,"M8","left",39,22
143,"M12","left",39,22
144,"M8","left",39,22
144,"M12","left",39,22
144,"M4","right",39,22
145,"M4","right",39,22
146,"M4","right",39,22
147,"M4","left",39,22
148,"M4","left",39,22
149,"M4","left",39,22
149,"M5","left",39,22
149,"M7","left",39,22
150,"M4","left",39,22
150,"M12","left",39,22
150,"M12","right",39,22
151,"M5","left",39,22
151,"M8","left",39,22
151,"M12","left",39,22
151,"M5","right",39,22
152,"M4","left",39,22
152,"M5","left",39,22
152,"M8","left",39,22
152,"M12","left",39,22
153,"M5","left",39,22
153,"M8","left",39,22
153,"M10","right",39,22
154,"M5","right",39,22
154,"M10","right",39,22
155,"M5","left",39,22
155,"M10","left",39,22
155,"M12","left",39,22
156,"M5","left",39,22
156,"M12","left",39,22
157,"M5","left",39,22
157,"M10","right",39,22
158,"M5","left",39,22
158,"M10","left",39,22
158,"M10","right",39,22
159,"M10","left",39,22
159,"M5","right",39,22
160,"M5","left",39,22
160,"M5","right",39,22
161,"M5","left",39,22
161,"M10","left",39,22
162,"M5","left",39,22
163,"M5","left",39,22
163,"M5","right",39,22
164,"M5","left",39,22
165,"M5","left",39,22
166,"M5","left",39,22
167,"M5","left",39,22
167,"M8","left",39,22
168,"M3","left",39,22
168,"M5","right",39,22
171,"M8","right",39,22
173,"M9","left",39,22
174,"M1","left",39,22
175,"M1","left",39,22
176,"M1","left",39,22
176,"M9","right",39,22
177,"M9","left",39,22
177,"M10","right",39,22
178,"M8","left",39,22
179,"M8","left",39,22
180,"M6","left",39,22
180,"M10","left",39,22
181,"M7","left",39,22
181,"M6","right",39,22
181,"M9","right",39,22
182,"M7","left",39,22
182,"M11","left",39,22
182,"M6","right",39,22
183,"M7","left",39,22
183,"M11","left",39,22
184,"M1","left",39,22
184,"M1","right",39,22
184,"M8","right",39,22
185,"M8","left",39,22
185,"M6","right",39,22
186,"M8","left",39,22
186,"M9","left",39,22
186,"M10","right",39,22
187,"M6","left",39,22
187,"M9","left",39,22
187,"M12","left",39,22
187,"M12","right",39,22
188,"M6","left",39,22
188,"M10","left",39,22
188,"M11","left",39,22
188,"M3","right",39,22
188,"M12","right",39,22
189,"M1","left",39,22
189,"M10","left",39,22
189,"M3","right",39,22
189,"M6","right",39,22
190,"M1","left",39,22
190,"M12","left",39,22
190,"M6","right",39,22
190,"M10","right",39,22
191,"M1","left",39,22
191,"M12","left",39,22
192,"M1","left",39,22
192,"M9","left",39,22
192,"M11","right",39,22
193,"M1","left",39,22
193,"M3","left",39,22
193,"M11","left",39,22
193,"M2","right",39,22
194,"M3","left",39,22
194,"M10","left",39,22
194,"M11","left",39,22
194,"M2","right",39,22
194,"M12","right",39,22
195,"M3","left",39,22
195,"M10","left",39,22
195,"M2","right",39,22
195,"M3","right",39,22
195,"M11","right",39,22
196,"M8","left",39,22
196,"M2","right",39,22
196,"M3","right",39,22
196,"M11","right",39,22
197,"M8","left",39,22
197,"M9","left",39,22
197,"M2","right",39,22
197,"M3","right",39,22
197,"M10","right",39,22
197,"M11","right",39,22
198,"M1","left",39,22
198,"M9","left",39,22
198,"M12","left",39,22
198,"M2","right",39,22
199,"M1","left",39,22
199,"M12","left",39,22
199,"M2","right",39,22
199,"M11","right",39,22
200,"M1","left",39,22
200,"M10","left",39,22
200,"M12","left",39,22
200,"M2","right",39,22
201,"M1","left",39,22
201,"M2","right",39,22
202,"M1","left",39,22
202,"M9","left",39,22
202,"M11","left",39,22
203,"M7","left",39,22
203,"M9","left",39,22
203,"M10","left",39,22
203,"M9","right",39,22
203,"M12","right",39,22
204,"M7","left",39,22
205,"M2","left",39,22
205,"M4","left",39,22
205,"M7","left",39,22
206,"M2","left",39,22
206,"M11","right",39,22
207,"M2","left",39,22
207,"M8","left",39,22
207,"M12","left",39,22
207,"M2","right",39,22
208,"M8","left",39,22
208,"M11","left",39,22
209,"M3","left",39,22
209,"M4","left",39,22
209,"M6","left",39,22
209,"M8","left",39,22
209,"M3","right",39,22
210,"M3","left",39,22
210,"M4","left",39,22
210,"M8","left",39,22
210,"M2","right",39,22
211,"M3","left",39,22
211,"M6","left",39,22
211,"M8","left",39,22
211,"M7","right",39,22
212,"M1","left",39,22
212,"M3","left",39,22
212,"M8","left",39,22
212,"M11","left",39,22
213,"M8","left",39,22
213,"M9","left",39,22
214,"M9","left",39,22
214,"M9","right",39,22
214,"M11","right",39,22
215,"M8","left",39,22
215,"M12","right",39,22
216,"M3","left",39,22
216,"M8","left",39,22
217,"M3","left",39,22
217,"M3","right",39,22
218,"M3","left",39,22
219,"M3","left",39,22
220,"M3","left",39,22
220,"M4","left",39,22
221,"M3","left",39,22
221,"M11","right",39,22
222,"M1","left",39,22
222,"M9","right",39,22
223,"M1","left",39,22
224,"M1","left",39,22
224,"M3","left",39,22
224,"M12","right",39,22
225,"M3","left",39,22
225,"M12","left",39,22
226,"M1","left",39,22
226,"M3","left",39,22
226,"M12","left",39,22
227,"M12","left",39,22
228,"M12","left",39,22
228,"M10","right",39,22
229,"M3","left",39,22
229,"M10","right",39,22
230,"M3","left",39,22
232,"M3","left",39,22
232,"M9","left",39,22
232,"M12","right",39,22
234,"M1","left",39,22
238,"M7","left",39,22
239,"M7","left",39,22
240,"M7","left",39,22
241,"M4","left",39,22
241,"M7","left",39,22
242,"M7","left",39,22
242,"M9","left",39,22
242,"M11","left",39,22
243,"M3","right",39,22
244,"M10","right",39,22
245,"M4","right",39,22
246,"M9","left",39,22
246,"M10","left",39,22
246,"M11","right",39,22
247,"M9","left",39,22
247,"M10","left",39,22
247,"M11","right",39,22
248,"M9","left",39,22
249,"M4","right",39,22
251,"M4","left",39,22
252,"M4","left",39,22
253,"M4","left",39,22
253,"M9","right",39,22
253,"M10","right",39,22
254,"M4","left",39,22
255,"M4","left",39,22
257,"M4","left",39,22
258,"M4","left",39,22
259,"M4","left",39,22
271,"M12","left",39,22
271,"M2","right",39,22
271,"M11","right",39,22
271,"M12","right",39,22
272,"M2","right",39,22
272,"M10","right",39,22
273,"M12","left",39,22
273,"M2","right",39,22
273,"M10","right",39,22
274,"M12","left",39,22
274,"M2","right",39,22
275,"M2","right",39,22
275,"M12","right",39,22
276,"M11","right",39,22
276,"M12","right",39,22
277,"M11","left",39,22
277,"M2","right",39,22
277,"M12","right",39,22
278,"M2","right",39,22
278,"M12","right",39,22
279,"M11","right",39,22
280,"M2","right",39,22
280,"M11","right",39,22
