"realtime","subject","side","cohort","day"
3,"M4","right",83,12
4,"M1","left",83,12
5,"M1","left",83,12
5,"M4","left",83,12
6,"M1","left",83,12
6,"M8","left",83,12
7,"M3","left",83,12
7,"M4","left",83,12
7,"M8","left",83,12
8,"M4","left",83,12
8,"M8","left",83,12
8,"M11","left",83,12
9,"M3","left",83,12
9,"M4","left",83,12
9,"M11","left",83,12
9,"M1","right",83,12
9,"M8","right",83,12
9,"M10","right",83,12
10,"M2","left",83,12
10,"M4","left",83,12
10,"M8","left",83,12
10,"M10","left",83,12
10,"M1","right",83,12
10,"M4","right",83,12
10,"M5","right",83,12
11,"M8","left",83,12
11,"M4","right",83,12
12,"M6","left",83,12
12,"M7","left",83,12
12,"M3","right",83,12
12,"M4","right",83,12
13,"M6","left",83,12
13,"M7","left",83,12
13,"M8","left",83,12
13,"M7","right",83,12
14,"M2","left",83,12
14,"M3","left",83,12
14,"M6","left",83,12
14,"M8","left",83,12
15,"M1","left",83,12
15,"M7","left",83,12
15,"M11","left",83,12
15,"M7","right",83,12
16,"M1","left",83,12
16,"M7","left",83,12
17,"M1","left",83,12
17,"M7","left",83,12
18,"M1","left",83,12
19,"M3","left",83,12
19,"M6","left",83,12
19,"M11","left",83,12
20,"M3","left",83,12
20,"M9","left",83,12
20,"M7","right",83,12
21,"M5","left",83,12
21,"M8","left",83,12
21,"M9","left",83,12
21,"M7","right",83,12
22,"M5","left",83,12
22,"M8","left",83,12
22,"M9","left",83,12
22,"M10","left",83,12
23,"M5","left",83,12
23,"M7","left",83,12
23,"M10","left",83,12
23,"M11","left",83,12
23,"M8","right",83,12
24,"M5","left",83,12
24,"M7","left",83,12
24,"M10","left",83,12
24,"M11","left",83,12
25,"M5","left",83,12
25,"M7","left",83,12
25,"M10","left",83,12
26,"M5","left",83,12
26,"M7","left",83,12
26,"M9","left",83,12
26,"M10","left",83,12
26,"M11","left",83,12
26,"M5","right",83,12
26,"M9","right",83,12
27,"M1","left",83,12
27,"M6","left",83,12
27,"M7","left",83,12
27,"M8","left",83,12
27,"M9","left",83,12
27,"M10","left",83,12
28,"M6","left",83,12
28,"M7","left",83,12
28,"M8","left",83,12
28,"M9","left",83,12
28,"M3","right",83,12
29,"M6","left",83,12
29,"M7","left",83,12
29,"M8","left",83,12
29,"M9","left",83,12
29,"M11","left",83,12
29,"M12","left",83,12
30,"M6","left",83,12
30,"M9","left",83,12
31,"M3","left",83,12
31,"M5","left",83,12
31,"M6","left",83,12
32,"M5","left",83,12
32,"M6","left",83,12
32,"M9","left",83,12
33,"M6","left",83,12
33,"M9","left",83,12
33,"M7","right",83,12
34,"M5","left",83,12
34,"M6","left",83,12
34,"M7","left",83,12
34,"M9","left",83,12
34,"M12","left",83,12
34,"M6","right",83,12
35,"M5","left",83,12
35,"M8","left",83,12
35,"M3","right",83,12
36,"M5","left",83,12
36,"M10","left",83,12
37,"M7","left",83,12
37,"M10","left",83,12
38,"M7","left",83,12
38,"M8","left",83,12
38,"M10","left",83,12
39,"M5","left",83,12
39,"M7","left",83,12
39,"M8","left",83,12
39,"M9","left",83,12
40,"M5","left",83,12
40,"M9","left",83,12
40,"M10","left",83,12
40,"M6","right",83,12
41,"M5","left",83,12
41,"M9","left",83,12
41,"M10","left",83,12
41,"M6","right",83,12
42,"M5","left",83,12
42,"M6","left",83,12
42,"M9","left",83,12
42,"M10","left",83,12
42,"M12","left",83,12
43,"M6","left",83,12
43,"M12","left",83,12
43,"M9","right",83,12
44,"M6","left",83,12
44,"M8","left",83,12
44,"M12","left",83,12
45,"M8","left",83,12
46,"M8","left",83,12
46,"M9","left",83,12
46,"M7","right",83,12
47,"M9","left",83,12
47,"M12","left",83,12
48,"M7","left",83,12
48,"M9","left",83,12
48,"M12","right",83,12
49,"M7","left",83,12
49,"M9","left",83,12
50,"M7","left",83,12
50,"M9","left",83,12
51,"M9","left",83,12
51,"M12","left",83,12
52,"M6","left",83,12
52,"M9","left",83,12
52,"M4","right",83,12
53,"M6","left",83,12
54,"M6","left",83,12
54,"M8","left",83,12
55,"M4","left",83,12
56,"M4","left",83,12
56,"M7","left",83,12
56,"M8","left",83,12
56,"M4","right",83,12
57,"M9","left",83,12
58,"M4","left",83,12
58,"M7","left",83,12
58,"M9","left",83,12
59,"M4","left",83,12
59,"M9","left",83,12
59,"M12","left",83,12
60,"M6","left",83,12
60,"M9","left",83,12
60,"M12","left",83,12
61,"M12","left",83,12
61,"M4","right",83,12
62,"M4","left",83,12
62,"M12","left",83,12
62,"M6","right",83,12
63,"M4","left",83,12
63,"M6","left",83,12
63,"M12","left",83,12
64,"M4","left",83,12
65,"M1","left",83,12
65,"M4","left",83,12
66,"M1","left",83,12
68,"M4","left",83,12
68,"M7","left",83,12
69,"M7","left",83,12
70,"M7","left",83,12
71,"M6","left",83,12
72,"M1","left",83,12
73,"M1","left",83,12
73,"M3","left",83,12
75,"M3","left",83,12
76,"M3","left",83,12
77,"M3","left",83,12
79,"M3","left",83,12
80,"M3","left",83,12
81,"M3","left",83,12
82,"M3","left",83,12
82,"M8","left",83,12
82,"M3","right",83,12
83,"M8","left",83,12
83,"M3","right",83,12
84,"M8","left",83,12
87,"M8","left",83,12
88,"M3","right",83,12
89,"M3","right",83,12
90,"M8","left",83,12
90,"M3","right",83,12
91,"M3","left",83,12
92,"M8","left",83,12
93,"M8","left",83,12
94,"M8","left",83,12
95,"M8","left",83,12
96,"M8","left",83,12
97,"M10","left",83,12
98,"M10","left",83,12
99,"M10","left",83,12
100,"M7","left",83,12
100,"M9","left",83,12
100,"M10","left",83,12
101,"M12","left",83,12
102,"M5","left",83,12
102,"M7","left",83,12
103,"M3","left",83,12
103,"M4","left",83,12
103,"M5","left",83,12
104,"M3","left",83,12
105,"M10","left",83,12
106,"M5","left",83,12
107,"M7","left",83,12
107,"M10","left",83,12
107,"M12","left",83,12
108,"M1","left",83,12
108,"M3","left",83,12
108,"M7","left",83,12
108,"M10","left",83,12
108,"M1","right",83,12
109,"M3","left",83,12
109,"M4","left",83,12
109,"M7","left",83,12
109,"M8","left",83,12
109,"M10","left",83,12
109,"M1","right",83,12
110,"M1","left",83,12
110,"M3","left",83,12
110,"M5","left",83,12
110,"M7","left",83,12
110,"M8","left",83,12
110,"M9","left",83,12
110,"M10","left",83,12
110,"M1","right",83,12
111,"M5","left",83,12
111,"M7","left",83,12
111,"M9","left",83,12
111,"M10","left",83,12
111,"M1","right",83,12
112,"M5","left",83,12
112,"M8","left",83,12
112,"M9","left",83,12
112,"M10","left",83,12
112,"M1","right",83,12
113,"M5","left",83,12
113,"M10","left",83,12
113,"M1","right",83,12
114,"M5","left",83,12
114,"M7","left",83,12
114,"M9","left",83,12
115,"M5","left",83,12
115,"M6","left",83,12
115,"M9","left",83,12
115,"M10","left",83,12
116,"M4","left",83,12
116,"M5","left",83,12
116,"M10","left",83,12
116,"M12","left",83,12
116,"M6","right",83,12
117,"M4","left",83,12
117,"M6","left",83,12
117,"M10","left",83,12
117,"M11","left",83,12
117,"M12","left",83,12
118,"M4","left",83,12
118,"M6","left",83,12
118,"M9","left",83,12
118,"M10","left",83,12
118,"M11","left",83,12
118,"M12","left",83,12
119,"M3","left",83,12
119,"M4","left",83,12
119,"M5","left",83,12
119,"M8","left",83,12
119,"M9","left",83,12
119,"M6","right",83,12
120,"M3","left",83,12
120,"M5","left",83,12
120,"M6","left",83,12
120,"M9","left",83,12
120,"M11","left",83,12
120,"M12","left",83,12
121,"M3","left",83,12
121,"M4","left",83,12
121,"M5","left",83,12
121,"M6","left",83,12
121,"M12","left",83,12
122,"M4","left",83,12
122,"M5","left",83,12
122,"M6","left",83,12
122,"M10","left",83,12
122,"M7","right",83,12
123,"M3","left",83,12
123,"M5","left",83,12
123,"M10","left",83,12
123,"M12","left",83,12
124,"M3","left",83,12
124,"M4","left",83,12
124,"M5","left",83,12
124,"M7","left",83,12
124,"M8","left",83,12
124,"M10","left",83,12
124,"M12","left",83,12
125,"M5","left",83,12
125,"M7","left",83,12
125,"M10","left",83,12
125,"M12","left",83,12
125,"M1","right",83,12
126,"M9","left",83,12
126,"M10","left",83,12
126,"M12","left",83,12
126,"M1","right",83,12
127,"M3","left",83,12
127,"M4","left",83,12
127,"M9","left",83,12
127,"M12","left",83,12
127,"M5","right",83,12
128,"M3","left",83,12
128,"M4","left",83,12
128,"M8","left",83,12
128,"M9","left",83,12
128,"M12","left",83,12
128,"M7","right",83,12
129,"M5","left",83,12
129,"M6","left",83,12
129,"M7","left",83,12
129,"M8","left",83,12
129,"M9","left",83,12
130,"M4","left",83,12
130,"M8","left",83,12
130,"M11","left",83,12
130,"M6","right",83,12
131,"M4","left",83,12
131,"M6","left",83,12
131,"M8","left",83,12
131,"M11","left",83,12
132,"M4","left",83,12
132,"M6","left",83,12
132,"M8","left",83,12
132,"M9","left",83,12
132,"M11","left",83,12
133,"M1","left",83,12
133,"M4","left",83,12
133,"M6","left",83,12
133,"M9","left",83,12
134,"M7","left",83,12
134,"M9","left",83,12
134,"M10","left",83,12
135,"M1","left",83,12
135,"M4","left",83,12
135,"M7","left",83,12
136,"M4","left",83,12
136,"M5","left",83,12
136,"M8","left",83,12
136,"M9","left",83,12
136,"M1","right",83,12
137,"M5","left",83,12
137,"M7","left",83,12
137,"M9","left",83,12
138,"M1","left",83,12
138,"M4","left",83,12
138,"M7","right",83,12
139,"M3","left",83,12
139,"M4","left",83,12
139,"M7","right",83,12
140,"M1","left",83,12
140,"M3","left",83,12
140,"M11","left",83,12
140,"M7","right",83,12
141,"M1","left",83,12
141,"M3","left",83,12
143,"M11","left",83,12
144,"M11","left",83,12
144,"M12","left",83,12
145,"M11","left",83,12
145,"M12","left",83,12
146,"M11","left",83,12
146,"M12","left",83,12
147,"M12","left",83,12
148,"M7","left",83,12
148,"M12","left",83,12
149,"M7","left",83,12
149,"M9","left",83,12
150,"M7","left",83,12
152,"M4","left",83,12
153,"M4","left",83,12
154,"M4","left",83,12
154,"M9","left",83,12
155,"M3","left",83,12
155,"M5","left",83,12
155,"M7","right",83,12
156,"M3","left",83,12
156,"M5","left",83,12
156,"M7","left",83,12
157,"M3","left",83,12
157,"M9","left",83,12
157,"M12","left",83,12
157,"M7","right",83,12
158,"M1","left",83,12
159,"M11","left",83,12
160,"M6","left",83,12
160,"M7","left",83,12
161,"M5","left",83,12
161,"M7","left",83,12
162,"M1","left",83,12
162,"M5","left",83,12
162,"M6","left",83,12
162,"M7","left",83,12
162,"M9","left",83,12
163,"M1","left",83,12
163,"M3","left",83,12
163,"M6","left",83,12
163,"M11","left",83,12
164,"M4","left",83,12
164,"M9","left",83,12
164,"M11","left",83,12
164,"M12","left",83,12
165,"M4","left",83,12
165,"M7","left",83,12
165,"M12","left",83,12
166,"M4","left",83,12
167,"M1","left",83,12
167,"M4","left",83,12
167,"M12","left",83,12
168,"M12","left",83,12
168,"M1","right",83,12
169,"M3","left",83,12
169,"M4","left",83,12
169,"M12","left",83,12
172,"M11","left",83,12
172,"M6","right",83,12
173,"M3","left",83,12
173,"M6","left",83,12
173,"M8","left",83,12
173,"M11","left",83,12
173,"M12","right",83,12
174,"M3","left",83,12
174,"M6","left",83,12
174,"M8","left",83,12
174,"M12","left",83,12
175,"M3","left",83,12
175,"M6","left",83,12
175,"M8","left",83,12
175,"M12","left",83,12
175,"M6","right",83,12
176,"M3","left",83,12
176,"M6","left",83,12
177,"M3","left",83,12
177,"M8","left",83,12
177,"M7","right",83,12
178,"M3","left",83,12
178,"M6","left",83,12
178,"M7","left",83,12
178,"M8","left",83,12
179,"M6","left",83,12
179,"M7","left",83,12
179,"M8","left",83,12
180,"M6","left",83,12
180,"M7","left",83,12
180,"M10","left",83,12
181,"M10","left",83,12
182,"M3","right",83,12
183,"M6","left",83,12
183,"M8","left",83,12
183,"M10","left",83,12
183,"M6","right",83,12
184,"M6","left",83,12
184,"M10","left",83,12
185,"M10","left",83,12
186,"M10","left",83,12
186,"M11","left",83,12
186,"M7","right",83,12
187,"M10","left",83,12
187,"M11","left",83,12
189,"M8","left",83,12
191,"M8","left",83,12
193,"M6","right",83,12
194,"M9","left",83,12
194,"M6","right",83,12
195,"M2","left",83,12
195,"M5","left",83,12
195,"M6","left",83,12
195,"M6","right",83,12
196,"M1","left",83,12
196,"M8","left",83,12
196,"M9","left",83,12
196,"M10","left",83,12
197,"M7","left",83,12
197,"M8","left",83,12
197,"M9","left",83,12
197,"M10","left",83,12
198,"M7","left",83,12
198,"M8","left",83,12
198,"M9","left",83,12
198,"M10","left",83,12
199,"M8","left",83,12
199,"M9","left",83,12
199,"M10","left",83,12
200,"M7","left",83,12
200,"M8","left",83,12
200,"M9","left",83,12
201,"M7","left",83,12
201,"M9","left",83,12
201,"M1","right",83,12
202,"M4","left",83,12
202,"M5","left",83,12
202,"M9","left",83,12
202,"M10","left",83,12
202,"M1","right",83,12
202,"M8","right",83,12
203,"M4","left",83,12
203,"M5","left",83,12
203,"M10","left",83,12
204,"M4","left",83,12
204,"M5","left",83,12
204,"M11","left",83,12
205,"M1","left",83,12
205,"M4","left",83,12
205,"M5","left",83,12
206,"M5","left",83,12
206,"M12","left",83,12
207,"M1","left",83,12
207,"M12","left",83,12
208,"M11","left",83,12
209,"M11","left",83,12
210,"M4","left",83,12
211,"M8","left",83,12
211,"M1","right",83,12
212,"M4","left",83,12
212,"M8","left",83,12
212,"M1","right",83,12
213,"M8","left",83,12
213,"M1","right",83,12
214,"M1","left",83,12
214,"M4","left",83,12
214,"M8","left",83,12
214,"M1","right",83,12
215,"M4","left",83,12
215,"M5","left",83,12
215,"M5","right",83,12
215,"M7","right",83,12
216,"M4","left",83,12
216,"M7","right",83,12
217,"M4","left",83,12
217,"M1","right",83,12
217,"M7","right",83,12
217,"M9","right",83,12
218,"M4","left",83,12
218,"M8","left",83,12
218,"M7","right",83,12
219,"M4","left",83,12
220,"M9","left",83,12
221,"M4","left",83,12
221,"M5","left",83,12
221,"M9","left",83,12
222,"M5","left",83,12
222,"M9","left",83,12
222,"M10","left",83,12
223,"M5","left",83,12
223,"M9","left",83,12
224,"M1","left",83,12
224,"M3","left",83,12
