"realtime","subject","side","cohort","day"
0,"M1","right",44,8
1,"M6","left",44,8
1,"M1","right",44,8
1,"M6","right",44,8
2,"M1","right",44,8
2,"M6","right",44,8
3,"M1","right",44,8
4,"M1","right",44,8
8,"M6","right",44,8
9,"M6","left",44,8
9,"M1","right",44,8
10,"M6","left",44,8
10,"M8","left",44,8
10,"M1","right",44,8
11,"M8","left",44,8
11,"M1","right",44,8
12,"M1","right",44,8
13,"M1","right",44,8
13,"M7","right",44,8
14,"M1","right",44,8
14,"M2","right",44,8
14,"M6","right",44,8
15,"M7","left",44,8
15,"M1","right",44,8
15,"M2","right",44,8
15,"M6","right",44,8
16,"M2","right",44,8
16,"M6","right",44,8
17,"M6","left",44,8
17,"M8","left",44,8
18,"M6","left",44,8
19,"M9","left",44,8
19,"M12","left",44,8
19,"M2","right",44,8
19,"M5","right",44,8
19,"M9","right",44,8
20,"M6","left",44,8
20,"M8","left",44,8
20,"M2","right",44,8
20,"M5","right",44,8
20,"M9","right",44,8
20,"M10","right",44,8
20,"M12","right",44,8
21,"M6","left",44,8
21,"M8","left",44,8
21,"M2","right",44,8
21,"M5","right",44,8
21,"M12","right",44,8
22,"M6","left",44,8
22,"M8","left",44,8
22,"M5","right",44,8
22,"M12","right",44,8
23,"M5","left",44,8
23,"M6","left",44,8
23,"M7","left",44,8
23,"M12","right",44,8
24,"M5","left",44,8
24,"M6","left",44,8
24,"M7","left",44,8
24,"M9","right",44,8
24,"M10","right",44,8
25,"M2","left",44,8
25,"M5","left",44,8
25,"M11","left",44,8
25,"M12","left",44,8
25,"M2","right",44,8
25,"M5","right",44,8
25,"M9","right",44,8
26,"M7","left",44,8
26,"M8","left",44,8
26,"M9","left",44,8
26,"M10","left",44,8
26,"M11","left",44,8
26,"M12","left",44,8
26,"M1","right",44,8
26,"M2","right",44,8
26,"M3","right",44,8
26,"M5","right",44,8
26,"M10","right",44,8
27,"M8","left",44,8
27,"M1","right",44,8
27,"M2","right",44,8
27,"M3","right",44,8
27,"M5","right",44,8
27,"M10","right",44,8
28,"M3","left",44,8
28,"M2","right",44,8
29,"M3","left",44,8
29,"M9","left",44,8
29,"M2","right",44,8
29,"M3","right",44,8
29,"M7","right",44,8
29,"M10","right",44,8
29,"M12","right",44,8
30,"M3","left",44,8
30,"M5","left",44,8
30,"M9","left",44,8
30,"M2","right",44,8
30,"M9","right",44,8
30,"M10","right",44,8
31,"M2","right",44,8
31,"M9","right",44,8
32,"M7","left",44,8
32,"M8","left",44,8
32,"M2","right",44,8
32,"M8","right",44,8
33,"M3","left",44,8
33,"M7","left",44,8
33,"M12","left",44,8
33,"M8","right",44,8
34,"M6","left",44,8
34,"M7","left",44,8
34,"M12","left",44,8
34,"M1","right",44,8
34,"M3","right",44,8
34,"M8","right",44,8
34,"M10","right",44,8
35,"M8","left",44,8
35,"M12","left",44,8
35,"M10","right",44,8
35,"M12","right",44,8
36,"M6","left",44,8
36,"M8","left",44,8
36,"M5","right",44,8
36,"M10","right",44,8
36,"M12","right",44,8
37,"M1","left",44,8
37,"M8","left",44,8
37,"M1","right",44,8
37,"M3","right",44,8
37,"M5","right",44,8
37,"M12","right",44,8
38,"M3","left",44,8
38,"M5","right",44,8
38,"M9","right",44,8
38,"M10","right",44,8
39,"M3","left",44,8
39,"M10","left",44,8
39,"M1","right",44,8
39,"M6","right",44,8
39,"M7","right",44,8
40,"M3","left",44,8
40,"M10","left",44,8
40,"M1","right",44,8
40,"M10","right",44,8
41,"M3","left",44,8
41,"M6","left",44,8
41,"M7","left",44,8
41,"M1","right",44,8
42,"M1","left",44,8
42,"M3","left",44,8
42,"M5","left",44,8
42,"M6","left",44,8
42,"M7","left",44,8
42,"M3","right",44,8
43,"M5","left",44,8
43,"M6","left",44,8
43,"M7","left",44,8
43,"M9","left",44,8
