"realtime","subject","side","cohort","day"
0,"M1","right",38,17
0,"M4","right",38,17
1,"M9","left",38,17
1,"M4","right",38,17
2,"M9","left",38,17
3,"M9","left",38,17
4,"M9","left",38,17
4,"M11","left",38,17
5,"M11","left",38,17
6,"M11","left",38,17
6,"M4","right",38,17
7,"M11","left",38,17
8,"M4","right",38,17
9,"M1","left",38,17
9,"M1","right",38,17
10,"M9","left",38,17
11,"M9","left",38,17
11,"M4","right",38,17
12,"M9","left",38,17
12,"M4","right",38,17
13,"M9","left",38,17
13,"M1","right",38,17
13,"M4","right",38,17
14,"M9","left",38,17
14,"M1","right",38,17
14,"M4","right",38,17
15,"M1","right",38,17
18,"M3","right",38,17
19,"M3","right",38,17
20,"M4","right",38,17
21,"M4","right",38,17
22,"M3","left",38,17
22,"M3","right",38,17
22,"M4","right",38,17
22,"M9","right",38,17
23,"M4","left",38,17
23,"M3","right",38,17
23,"M4","right",38,17
24,"M3","left",38,17
24,"M3","right",38,17
24,"M4","right",38,17
25,"M4","left",38,17
25,"M3","right",38,17
26,"M11","left",38,17
26,"M3","right",38,17
27,"M11","left",38,17
28,"M1","right",38,17
28,"M11","right",38,17
32,"M1","right",38,17
36,"M1","right",38,17
37,"M1","left",38,17
38,"M1","right",38,17
41,"M1","left",38,17
41,"M3","left",38,17
41,"M1","right",38,17
42,"M3","left",38,17
42,"M5","left",38,17
42,"M3","right",38,17
43,"M9","left",38,17
43,"M5","right",38,17
44,"M9","left",38,17
44,"M1","right",38,17
44,"M5","right",38,17
45,"M1","right",38,17
47,"M5","left",38,17
48,"M5","left",38,17
49,"M5","left",38,17
49,"M1","right",38,17
50,"M5","left",38,17
53,"M1","left",38,17
54,"M1","right",38,17
57,"M1","right",38,17
58,"M3","right",38,17
59,"M3","right",38,17
60,"M1","left",38,17
60,"M3","left",38,17
60,"M3","right",38,17
61,"M1","left",38,17
61,"M1","right",38,17
61,"M3","right",38,17
62,"M1","right",38,17
62,"M3","right",38,17
63,"M3","right",38,17
64,"M2","left",38,17
65,"M8","right",38,17
66,"M8","left",38,17
66,"M8","right",38,17
68,"M1","right",38,17
71,"M6","left",38,17
72,"M6","left",38,17
