"realtime","subject","side","cohort","day"
12,"M11","left",69,1
13,"M12","left",69,1
15,"M2","left",69,1
16,"M2","left",69,1
17,"M2","left",69,1
17,"M11","right",69,1
18,"M7","left",69,1
18,"M11","right",69,1
19,"M1","left",69,1
19,"M11","right",69,1
20,"M1","left",69,1
20,"M12","left",69,1
20,"M2","right",69,1
21,"M12","left",69,1
22,"M5","right",69,1
23,"M1","left",69,1
24,"M1","left",69,1
24,"M5","right",69,1
24,"M6","right",69,1
25,"M1","left",69,1
25,"M2","right",69,1
25,"M5","right",69,1
25,"M6","right",69,1
26,"M6","right",69,1
27,"M4","left",69,1
27,"M6","right",69,1
28,"M4","left",69,1
29,"M4","left",69,1
29,"M6","left",69,1
29,"M7","right",69,1
30,"M4","left",69,1
30,"M6","right",69,1
31,"M7","left",69,1
31,"M6","right",69,1
32,"M4","right",69,1
33,"M8","right",69,1
33,"M11","right",69,1
35,"M8","left",69,1
35,"M12","right",69,1
36,"M8","left",69,1
36,"M1","right",69,1
36,"M4","right",69,1
36,"M12","right",69,1
37,"M7","left",69,1
37,"M1","right",69,1
37,"M3","right",69,1
37,"M7","right",69,1
38,"M7","left",69,1
38,"M8","right",69,1
39,"M6","right",69,1
39,"M11","right",69,1
39,"M12","right",69,1
40,"M4","left",69,1
40,"M8","right",69,1
41,"M6","left",69,1
41,"M10","left",69,1
41,"M4","right",69,1
41,"M7","right",69,1
41,"M8","right",69,1
42,"M10","left",69,1
42,"M4","right",69,1
42,"M7","right",69,1
42,"M8","right",69,1
43,"M1","left",69,1
43,"M10","left",69,1
43,"M7","right",69,1
43,"M8","right",69,1
44,"M1","left",69,1
44,"M3","left",69,1
44,"M7","left",69,1
44,"M10","left",69,1
44,"M4","right",69,1
44,"M8","right",69,1
45,"M3","left",69,1
45,"M1","right",69,1
45,"M4","right",69,1
45,"M8","right",69,1
46,"M3","left",69,1
46,"M5","left",69,1
46,"M2","right",69,1
46,"M4","right",69,1
46,"M7","right",69,1
47,"M3","left",69,1
47,"M5","right",69,1
47,"M8","right",69,1
48,"M3","left",69,1
48,"M5","right",69,1
48,"M6","right",69,1
48,"M10","right",69,1
48,"M11","right",69,1
49,"M3","left",69,1
49,"M6","left",69,1
49,"M4","right",69,1
49,"M10","right",69,1
49,"M11","right",69,1
49,"M12","right",69,1
50,"M3","left",69,1
50,"M11","left",69,1
50,"M4","right",69,1
50,"M8","right",69,1
50,"M12","right",69,1
51,"M1","left",69,1
51,"M3","left",69,1
51,"M8","right",69,1
51,"M10","right",69,1
51,"M12","right",69,1
52,"M3","left",69,1
52,"M1","right",69,1
52,"M6","right",69,1
52,"M8","right",69,1
53,"M11","left",69,1
53,"M2","right",69,1
53,"M8","right",69,1
54,"M6","left",69,1
54,"M1","right",69,1
55,"M1","right",69,1
55,"M8","right",69,1
55,"M10","right",69,1
56,"M1","right",69,1
56,"M2","right",69,1
57,"M3","left",69,1
57,"M6","right",69,1
58,"M3","left",69,1
58,"M1","right",69,1
58,"M6","right",69,1
58,"M8","right",69,1
59,"M6","right",69,1
61,"M10","left",69,1
61,"M1","right",69,1
61,"M12","right",69,1
62,"M2","left",69,1
62,"M3","right",69,1
62,"M5","right",69,1
62,"M12","right",69,1
63,"M3","right",69,1
63,"M5","right",69,1
63,"M10","right",69,1
63,"M11","right",69,1
64,"M10","left",69,1
64,"M12","left",69,1
64,"M11","right",69,1
65,"M10","left",69,1
65,"M1","right",69,1
65,"M12","right",69,1
67,"M7","left",69,1
68,"M1","right",69,1
68,"M7","right",69,1
69,"M1","left",69,1
69,"M1","right",69,1
69,"M7","right",69,1
69,"M8","right",69,1
70,"M10","left",69,1
70,"M1","right",69,1
70,"M7","right",69,1
70,"M8","right",69,1
70,"M10","right",69,1
70,"M12","right",69,1
71,"M1","right",69,1
72,"M1","right",69,1
72,"M10","right",69,1
73,"M7","right",69,1
73,"M10","right",69,1
74,"M3","right",69,1
75,"M3","right",69,1
75,"M5","right",69,1
76,"M2","left",69,1
76,"M3","right",69,1
76,"M5","right",69,1
76,"M11","right",69,1
77,"M3","left",69,1
77,"M1","right",69,1
77,"M3","right",69,1
77,"M7","right",69,1
78,"M4","left",69,1
78,"M1","right",69,1
78,"M3","right",69,1
78,"M7","right",69,1
78,"M11","right",69,1
79,"M4","left",69,1
79,"M10","left",69,1
79,"M1","right",69,1
80,"M3","left",69,1
80,"M4","left",69,1
80,"M2","right",69,1
81,"M4","right",69,1
82,"M4","right",69,1
83,"M4","right",69,1
84,"M4","right",69,1
84,"M10","right",69,1
84,"M12","right",69,1
85,"M1","right",69,1
85,"M4","right",69,1
85,"M10","right",69,1
86,"M11","left",69,1
86,"M1","right",69,1
86,"M12","right",69,1
89,"M3","left",69,1
89,"M11","left",69,1
89,"M10","right",69,1
90,"M10","left",69,1
90,"M3","right",69,1
90,"M10","right",69,1
91,"M10","left",69,1
91,"M1","right",69,1
91,"M3","right",69,1
91,"M10","right",69,1
92,"M9","left",69,1
92,"M10","left",69,1
92,"M1","right",69,1
92,"M3","right",69,1
92,"M12","right",69,1
93,"M9","left",69,1
93,"M1","right",69,1
93,"M3","right",69,1
93,"M12","right",69,1
94,"M9","left",69,1
94,"M10","left",69,1
94,"M1","right",69,1
94,"M3","right",69,1
94,"M7","right",69,1
95,"M9","left",69,1
95,"M3","right",69,1
95,"M4","right",69,1
95,"M12","right",69,1
96,"M9","left",69,1
96,"M12","left",69,1
96,"M4","right",69,1
96,"M7","right",69,1
96,"M12","right",69,1
97,"M10","left",69,1
97,"M11","left",69,1
97,"M4","right",69,1
97,"M6","right",69,1
97,"M7","right",69,1
97,"M12","right",69,1
98,"M8","left",69,1
98,"M10","left",69,1
98,"M7","right",69,1
98,"M8","right",69,1
98,"M12","right",69,1
99,"M8","left",69,1
99,"M2","right",69,1
99,"M7","right",69,1
99,"M9","right",69,1
100,"M8","left",69,1
100,"M2","right",69,1
100,"M3","right",69,1
100,"M7","right",69,1
100,"M9","right",69,1
101,"M4","left",69,1
101,"M6","left",69,1
101,"M9","left",69,1
101,"M2","right",69,1
101,"M3","right",69,1
101,"M8","right",69,1
102,"M1","left",69,1
102,"M6","left",69,1
102,"M8","left",69,1
102,"M3","right",69,1
102,"M8","right",69,1
102,"M11","right",69,1
103,"M1","left",69,1
103,"M8","left",69,1
103,"M9","left",69,1
103,"M3","right",69,1
103,"M6","right",69,1
103,"M7","right",69,1
103,"M9","right",69,1
104,"M1","left",69,1
104,"M9","left",69,1
104,"M12","left",69,1
104,"M6","right",69,1
104,"M7","right",69,1
104,"M9","right",69,1
105,"M1","left",69,1
105,"M3","left",69,1
105,"M7","left",69,1
105,"M9","left",69,1
105,"M7","right",69,1
105,"M8","right",69,1
106,"M7","right",69,1
106,"M8","right",69,1
106,"M9","right",69,1
106,"M12","right",69,1
107,"M5","left",69,1
107,"M2","right",69,1
107,"M6","right",69,1
107,"M8","right",69,1
107,"M9","right",69,1
108,"M9","left",69,1
108,"M9","right",69,1
108,"M12","right",69,1
109,"M1","right",69,1
109,"M9","right",69,1
110,"M1","right",69,1
110,"M4","right",69,1
111,"M4","right",69,1
111,"M9","right",69,1
112,"M9","left",69,1
112,"M1","right",69,1
112,"M3","right",69,1
112,"M4","right",69,1
113,"M4","left",69,1
113,"M3","right",69,1
113,"M4","right",69,1
113,"M9","right",69,1
114,"M3","right",69,1
114,"M11","right",69,1
114,"M12","right",69,1
115,"M4","left",69,1
115,"M3","right",69,1
115,"M8","right",69,1
115,"M9","right",69,1
115,"M12","right",69,1
116,"M9","left",69,1
116,"M10","left",69,1
116,"M12","left",69,1
116,"M9","right",69,1
116,"M10","right",69,1
117,"M4","left",69,1
117,"M8","left",69,1
117,"M1","right",69,1
117,"M8","right",69,1
117,"M10","right",69,1
117,"M12","right",69,1
118,"M1","left",69,1
118,"M4","left",69,1
118,"M6","left",69,1
118,"M4","right",69,1
118,"M8","right",69,1
118,"M12","right",69,1
119,"M1","left",69,1
119,"M3","left",69,1
119,"M10","left",69,1
119,"M4","right",69,1
119,"M8","right",69,1
119,"M9","right",69,1
119,"M12","right",69,1
120,"M1","left",69,1
120,"M4","left",69,1
120,"M7","right",69,1
120,"M9","right",69,1
121,"M2","left",69,1
121,"M12","left",69,1
121,"M6","right",69,1
121,"M9","right",69,1
122,"M12","left",69,1
122,"M3","right",69,1
122,"M6","right",69,1
123,"M2","right",69,1
123,"M6","right",69,1
123,"M8","right",69,1
123,"M9","right",69,1
123,"M10","right",69,1
124,"M1","right",69,1
124,"M8","right",69,1
124,"M9","right",69,1
125,"M12","left",69,1
125,"M3","right",69,1
125,"M7","right",69,1
125,"M8","right",69,1
126,"M3","right",69,1
126,"M7","right",69,1
126,"M8","right",69,1
126,"M10","right",69,1
127,"M11","left",69,1
127,"M2","right",69,1
127,"M3","right",69,1
127,"M6","right",69,1
127,"M7","right",69,1
128,"M4","left",69,1
128,"M11","left",69,1
128,"M12","left",69,1
128,"M1","right",69,1
128,"M6","right",69,1
128,"M7","right",69,1
129,"M3","left",69,1
129,"M11","left",69,1
129,"M12","left",69,1
129,"M1","right",69,1
129,"M7","right",69,1
129,"M10","right",69,1
129,"M11","right",69,1
130,"M4","left",69,1
130,"M1","right",69,1
130,"M3","right",69,1
131,"M9","left",69,1
131,"M1","right",69,1
131,"M3","right",69,1
131,"M12","right",69,1
132,"M1","left",69,1
132,"M3","right",69,1
132,"M7","right",69,1
132,"M12","right",69,1
133,"M3","right",69,1
133,"M12","right",69,1
134,"M3","left",69,1
134,"M3","right",69,1
134,"M12","right",69,1
135,"M3","right",69,1
135,"M10","right",69,1
135,"M11","right",69,1
136,"M4","left",69,1
136,"M9","right",69,1
136,"M11","right",69,1
137,"M9","left",69,1
137,"M9","right",69,1
137,"M10","right",69,1
139,"M2","left",69,1
140,"M6","right",69,1
141,"M3","right",69,1
141,"M6","right",69,1
141,"M7","right",69,1
142,"M10","left",69,1
142,"M3","right",69,1
142,"M6","right",69,1
142,"M7","right",69,1
143,"M3","left",69,1
143,"M1","right",69,1
143,"M2","right",69,1
143,"M7","right",69,1
144,"M1","right",69,1
144,"M2","right",69,1
144,"M3","right",69,1
144,"M7","right",69,1
145,"M10","left",69,1
145,"M1","right",69,1
145,"M2","right",69,1
146,"M1","right",69,1
146,"M2","right",69,1
146,"M9","right",69,1
146,"M10","right",69,1
147,"M3","right",69,1
147,"M9","right",69,1
147,"M10","right",69,1
148,"M3","right",69,1
148,"M9","right",69,1
149,"M3","right",69,1
150,"M6","left",69,1
150,"M9","left",69,1
150,"M1","right",69,1
150,"M3","right",69,1
150,"M9","right",69,1
151,"M4","left",69,1
151,"M6","left",69,1
151,"M9","left",69,1
151,"M7","right",69,1
151,"M8","right",69,1
152,"M8","right",69,1
153,"M6","right",69,1
153,"M7","right",69,1
153,"M8","right",69,1
154,"M6","right",69,1
154,"M8","right",69,1
154,"M11","right",69,1
155,"M2","right",69,1
155,"M5","right",69,1
155,"M6","right",69,1
155,"M7","right",69,1
155,"M8","right",69,1
156,"M4","left",69,1
156,"M5","right",69,1
156,"M7","right",69,1
156,"M8","right",69,1
156,"M9","right",69,1
157,"M8","right",69,1
158,"M9","left",69,1
158,"M8","right",69,1
159,"M8","right",69,1
159,"M9","right",69,1
160,"M8","right",69,1
160,"M11","right",69,1
161,"M8","right",69,1
161,"M11","right",69,1
162,"M2","right",69,1
162,"M5","right",69,1
165,"M11","right",69,1
166,"M11","left",69,1
166,"M5","right",69,1
166,"M11","right",69,1
167,"M8","left",69,1
167,"M2","right",69,1
167,"M3","right",69,1
168,"M3","right",69,1
168,"M10","right",69,1
169,"M10","right",69,1
171,"M4","right",69,1
172,"M12","left",69,1
172,"M3","right",69,1
172,"M4","right",69,1
172,"M11","right",69,1
173,"M4","left",69,1
173,"M12","left",69,1
173,"M3","right",69,1
173,"M4","right",69,1
173,"M11","right",69,1
174,"M4","left",69,1
174,"M11","left",69,1
