"realtime","subject","side","cohort","day"
5,"M12","right",45,14
9,"M8","right",45,14
10,"M8","right",45,14
11,"M8","right",45,14
13,"M7","right",45,14
14,"M7","right",45,14
15,"M7","right",45,14
16,"M4","right",45,14
20,"M2","left",45,14
20,"M7","left",45,14
20,"M2","right",45,14
21,"M2","right",45,14
21,"M7","right",45,14
22,"M2","left",45,14
22,"M2","right",45,14
22,"M7","right",45,14
23,"M2","right",45,14
24,"M2","right",45,14
25,"M2","right",45,14
25,"M7","right",45,14
25,"M9","right",45,14
26,"M9","right",45,14
26,"M12","right",45,14
27,"M7","left",45,14
28,"M7","left",45,14
28,"M7","right",45,14
29,"M7","right",45,14
29,"M9","right",45,14
31,"M9","left",45,14
31,"M12","right",45,14
32,"M3","left",45,14
32,"M9","right",45,14
33,"M9","left",45,14
33,"M4","right",45,14
33,"M9","right",45,14
33,"M11","right",45,14
33,"M12","right",45,14
34,"M4","left",45,14
34,"M9","left",45,14
34,"M4","right",45,14
34,"M12","right",45,14
35,"M4","left",45,14
35,"M4","right",45,14
35,"M10","right",45,14
35,"M12","right",45,14
36,"M3","left",45,14
36,"M9","left",45,14
36,"M10","right",45,14
36,"M11","right",45,14
36,"M12","right",45,14
37,"M2","left",45,14
37,"M3","left",45,14
37,"M9","right",45,14
37,"M10","right",45,14
37,"M11","right",45,14
37,"M12","right",45,14
38,"M9","left",45,14
38,"M7","right",45,14
38,"M10","right",45,14
38,"M11","right",45,14
38,"M12","right",45,14
39,"M11","left",45,14
39,"M10","right",45,14
40,"M5","left",45,14
40,"M10","right",45,14
41,"M9","left",45,14
41,"M12","left",45,14
41,"M3","right",45,14
41,"M12","right",45,14
42,"M5","left",45,14
42,"M12","left",45,14
42,"M2","right",45,14
42,"M3","right",45,14
42,"M10","right",45,14
42,"M11","right",45,14
43,"M2","left",45,14
43,"M4","left",45,14
43,"M5","left",45,14
43,"M7","left",45,14
43,"M9","left",45,14
43,"M10","left",45,14
43,"M2","right",45,14
43,"M10","right",45,14
43,"M11","right",45,14
43,"M12","right",45,14
44,"M2","left",45,14
44,"M4","left",45,14
44,"M7","left",45,14
44,"M9","left",45,14
44,"M11","left",45,14
44,"M12","left",45,14
44,"M10","right",45,14
44,"M11","right",45,14
44,"M12","right",45,14
45,"M7","left",45,14
45,"M9","left",45,14
45,"M12","left",45,14
45,"M9","right",45,14
46,"M2","left",45,14
