realtime,subject,side,cohort,day
159,M12,left,37,1
159,M12,right,37,1
160,M2,right,37,1
161,M11,left,37,1
161,M10,left,37,1
162,M10,left,37,1
163,M2,left,37,1
163,M9,right,37,1
163,M7,right,37,1
164,M2,left,37,1
164,M12,left,37,1
165,M10,left,37,1
165,M7,left,37,1
165,M12,left,37,1
166,M11,left,37,1
166,M7,left,37,1
166,M10,left,37,1
166,M12,left,37,1
166,M1,left,37,1
167,M11,left,37,1
167,M1,left,37,1
167,M8,left,37,1
168,M8,left,37,1
168,M11,left,37,1
168,M1,left,37,1
168,M12,right,37,1
169,M5,left,37,1
169,M11,left,37,1
169,M12,left,37,1
169,M12,right,37,1
170,M8,left,37,1
170,M2,left,37,1
171,M2,left,37,1
172,M4,left,37,1
172,M4,right,37,1
173,M7,left,37,1
174,M4,left,37,1
174,M4,right,37,1
175,M12,left,37,1
176,M3,left,37,1
176,M12,left,37,1
176,M2,left,37,1
177,M2,left,37,1
178,M9,left,37,1
179,M12,left,37,1
179,M9,left,37,1
179,M3,right,37,1
180,M2,left,37,1
180,M12,left,37,1
180,M9,right,37,1
181,M2,left,37,1
181,M5,right,37,1
181,M9,right,37,1
182,M8,left,37,1
182,M5,left,37,1
182,M2,left,37,1
182,M3,right,37,1
182,M9,right,37,1
183,M10,left,37,1
183,M5,left,37,1
183,M3,right,37,1
184,M4,left,37,1
184,M1,left,37,1
184,M10,left,37,1
184,M3,right,37,1
185,M10,left,37,1
185,M8,left,37,1
185,M7,left,37,1
185,M1,left,37,1
185,M3,right,37,1
186,M8,left,37,1
186,M10,left,37,1
186,M7,left,37,1
187,M7,left,37,1
187,M10,left,37,1
187,M5,right,37,1
187,M1,right,37,1
188,M9,left,37,1
188,M7,left,37,1
188,M5,left,37,1
188,M10,left,37,1
189,M11,left,37,1
189,M8,left,37,1
189,M9,left,37,1
189,M2,right,37,1
190,M9,left,37,1
190,M10,left,37,1
190,M2,left,37,1
190,M10,right,37,1
191,M10,left,37,1
191,M1,left,37,1
191,M11,left,37,1
191,M2,left,37,1
191,M11,right,37,1
192,M1,left,37,1
192,M11,right,37,1
193,M9,left,37,1
193,M12,left,37,1
193,M12,right,37,1
194,M11,left,37,1
195,M10,left,37,1
195,M12,left,37,1
195,M11,left,37,1
196,M12,left,37,1
196,M7,left,37,1
196,M10,left,37,1
197,M12,left,37,1
197,M6,left,37,1
197,M7,left,37,1
198,M6,left,37,1
198,M12,left,37,1
198,M10,left,37,1
199,M10,left,37,1
199,M12,left,37,1
199,M6,left,37,1
199,M9,right,37,1
199,M12,right,37,1
200,M11,left,37,1
200,M6,left,37,1
200,M5,right,37,1
200,M9,right,37,1
201,M11,left,37,1
201,M5,right,37,1
202,M8,left,37,1
202,M1,left,37,1
202,M10,left,37,1
203,M1,left,37,1
203,M10,left,37,1
204,M10,left,37,1
207,M5,left,37,1
207,M4,left,37,1
208,M4,left,37,1
209,M5,left,37,1
209,M4,left,37,1
210,M2,right,37,1
212,M5,left,37,1
212,M7,left,37,1
213,M10,left,37,1
214,M10,left,37,1
215,M9,left,37,1
216,M8,left,37,1
216,M11,left,37,1
217,M12,left,37,1
217,M9,right,37,1
220,M2,right,37,1
222,M7,right,37,1
223,M12,left,37,1
223,M7,right,37,1
225,M2,left,37,1
225,M2,right,37,1
229,M2,left,37,1
231,M9,left,37,1
231,M10,left,37,1
232,M9,left,37,1
236,M1,left,37,1
237,M4,left,37,1
238,M2,right,37,1
240,M2,right,37,1
241,M2,left,37,1
243,M2,left,37,1
243,M2,right,37,1
244,M2,right,37,1
245,M4,left,37,1
246,M4,left,37,1
247,M5,left,37,1
249,M11,left,37,1
249,M5,left,37,1
250,M2,left,37,1
250,M11,left,37,1
250,M2,right,37,1
253,M1,left,37,1
255,M7,left,37,1
256,M7,left,37,1
257,M8,left,37,1
258,M8,left,37,1
259,M8,left,37,1
259,M4,left,37,1
259,M5,right,37,1
260,M5,left,37,1
260,M4,left,37,1
261,M9,left,37,1
261,M5,left,37,1
261,M2,right,37,1
262,M9,left,37,1
263,M2,left,37,1
268,M10,left,37,1
269,M10,left,37,1
269,M3,right,37,1
270,M9,left,37,1
270,M4,left,37,1
270,M10,left,37,1
271,M10,left,37,1
271,M4,left,37,1
272,M7,left,37,1
272,M4,left,37,1
273,M2,left,37,1
274,M2,left,37,1
276,M11,left,37,1
277,M2,left,37,1
277,M11,left,37,1
281,M9,left,37,1
281,M2,right,37,1
282,M2,left,37,1
283,M2,left,37,1
284,M2,left,37,1
285,M2,left,37,1
286,M1,left,37,1
288,M4,left,37,1
288,M9,right,37,1
289,M3,left,37,1
289,M2,right,37,1
290,M3,left,37,1
291,M8,left,37,1
291,M3,left,37,1
291,M3,right,37,1
292,M9,left,37,1
292,M4,left,37,1
292,M8,left,37,1
292,M3,right,37,1
293,M4,left,37,1
293,M3,right,37,1
294,M9,left,37,1
295,M9,left,37,1
297,M2,right,37,1
304,M9,left,37,1
304,M2,right,37,1
305,M9,left,37,1
305,M2,right,37,1
308,M2,left,37,1
310,M2,left,37,1
314,M2,left,37,1
315,M2,left,37,1
316,M2,right,37,1
320,M7,left,37,1
321,M7,left,37,1
322,M7,left,37,1
323,M7,left,37,1
324,M7,left,37,1
326,M7,left,37,1
327,M7,left,37,1
332,M11,right,37,1
333,M11,left,37,1
334,M11,left,37,1
334,M2,right,37,1
339,M2,left,37,1
346,M2,right,37,1
347,M8,left,37,1
348,M12,left,37,1
348,M8,left,37,1
348,M8,right,37,1
349,M12,left,37,1
349,M8,right,37,1
350,M12,left,37,1
350,M8,right,37,1
351,M12,left,37,1
351,M7,left,37,1
351,M2,right,37,1
352,M2,left,37,1
352,M12,left,37,1
357,M2,right,37,1
358,M2,right,37,1
361,M2,left,37,1
361,M2,right,37,1
362,M2,left,37,1
365,M10,left,37,1
366,M10,left,37,1
367,M10,left,37,1
368,M10,left,37,1
372,M2,left,37,1
375,M2,right,37,1
377,M7,left,37,1
378,M7,left,37,1
380,M5,left,37,1
381,M5,left,37,1
381,M2,left,37,1
382,M2,left,37,1
384,M2,left,37,1
385,M2,left,37,1
389,M12,left,37,1
390,M12,left,37,1
391,M12,left,37,1
392,M12,left,37,1
393,M4,left,37,1
394,M4,left,37,1
395,M2,left,37,1
398,M2,right,37,1
399,M2,right,37,1
401,M2,right,37,1
403,M2,right,37,1
404,M2,left,37,1
404,M2,right,37,1
405,M2,right,37,1
406,M2,right,37,1
407,M5,left,37,1
408,M5,left,37,1
412,M2,right,37,1
419,M2,left,37,1
420,M2,left,37,1
423,M7,left,37,1
424,M7,right,37,1
425,M7,right,37,1
427,M2,right,37,1
428,M2,right,37,1
429,M2,right,37,1
430,M6,left,37,1
430,M2,right,37,1
432,M1,right,37,1
433,M2,right,37,1
435,M2,right,37,1
436,M8,left,37,1
437,M8,left,37,1
438,M8,left,37,1
439,M4,left,37,1
440,M6,left,37,1
440,M4,right,37,1
441,M6,left,37,1
441,M4,right,37,1
443,M2,right,37,1
446,M2,right,37,1
448,M9,left,37,1
448,M3,right,37,1
449,M4,left,37,1
449,M9,left,37,1
450,M9,left,37,1
450,M3,right,37,1
451,M2,left,37,1
451,M3,right,37,1
452,M2,right,37,1
453,M2,right,37,1
455,M2,right,37,1
458,M2,right,37,1
459,M11,left,37,1
460,M11,left,37,1
461,M4,left,37,1
462,M2,left,37,1
462,M4,left,37,1
462,M2,right,37,1
463,M2,right,37,1
465,M2,left,37,1
465,M2,right,37,1
471,M2,right,37,1
476,M2,right,37,1
479,M5,left,37,1
483,M2,right,37,1
484,M2,right,37,1
485,M2,right,37,1
487,M3,left,37,1
488,M3,left,37,1
489,M3,left,37,1
490,M3,left,37,1
491,M3,left,37,1
492,M3,left,37,1
493,M3,left,37,1
495,M3,left,37,1
497,M2,right,37,1
497,M3,right,37,1
498,M2,right,37,1
498,M3,right,37,1
499,M3,right,37,1
500,M8,left,37,1
500,M4,left,37,1
500,M3,right,37,1
501,M8,left,37,1
503,M2,right,37,1
506,M2,left,37,1
506,M2,right,37,1
507,M2,right,37,1
513,M2,left,37,1
513,M2,right,37,1
514,M2,right,37,1
515,M11,left,37,1
516,M11,left,37,1
517,M7,left,37,1
518,M7,left,37,1
518,M2,left,37,1
519,M10,left,37,1
519,M10,right,37,1
521,M10,left,37,1
522,M2,right,37,1
523,M2,left,37,1
524,M2,left,37,1
526,M9,left,37,1
526,M2,left,37,1
527,M8,left,37,1
527,M9,left,37,1
528,M9,right,37,1
528,M8,right,37,1
529,M9,left,37,1
529,M8,right,37,1
530,M9,left,37,1
530,M8,right,37,1
531,M8,right,37,1
532,M8,left,37,1
533,M8,left,37,1
533,M2,right,37,1
534,M2,left,37,1
542,M12,right,37,1
543,M12,left,37,1
543,M12,right,37,1
544,M12,left,37,1
545,M12,left,37,1
548,M7,left,37,1
549,M7,left,37,1
550,M7,left,37,1
551,M7,left,37,1
552,M2,right,37,1
553,M11,right,37,1
554,M2,left,37,1
554,M11,right,37,1
555,M2,left,37,1
557,M4,left,37,1
557,M4,right,37,1
558,M4,right,37,1
559,M1,right,37,1
560,M1,right,37,1
561,M2,left,37,1
570,M2,left,37,1
571,M2,left,37,1
574,M2,right,37,1
575,M2,left,37,1
576,M2,left,37,1
577,M2,left,37,1
585,M2,left,37,1
585,M2,right,37,1
586,M2,left,37,1
587,M10,left,37,1
587,M9,right,37,1
589,M8,left,37,1
589,M12,left,37,1
590,M12,left,37,1
590,M8,left,37,1
591,M4,left,37,1
592,M4,left,37,1
593,M11,left,37,1
593,M12,right,37,1
594,M11,left,37,1
594,M9,right,37,1
594,M12,right,37,1
595,M11,left,37,1
595,M12,left,37,1
596,M11,left,37,1
596,M12,left,37,1
597,M11,left,37,1
598,M11,left,37,1
599,M2,left,37,1
599,M11,right,37,1
600,M12,left,37,1
601,M4,left,37,1
602,M10,right,37,1
603,M10,left,37,1
603,M4,left,37,1
604,M10,left,37,1
604,M2,right,37,1
605,M2,left,37,1
606,M10,left,37,1
606,M6,left,37,1
606,M2,right,37,1
607,M6,left,37,1
611,M4,right,37,1
612,M4,left,37,1
613,M2,left,37,1
614,M2,left,37,1
616,M3,left,37,1
616,M3,right,37,1
617,M3,left,37,1
618,M3,left,37,1
619,M3,left,37,1
619,M11,left,37,1
620,M11,left,37,1
620,M3,left,37,1
620,M3,right,37,1
621,M11,left,37,1
621,M3,right,37,1
622,M11,left,37,1
622,M3,right,37,1
624,M3,left,37,1
625,M3,left,37,1
626,M2,left,37,1
628,M4,left,37,1
629,M4,left,37,1
630,M2,left,37,1
631,M2,left,37,1
632,M2,left,37,1
632,M2,right,37,1
633,M2,left,37,1
635,M3,left,37,1
636,M3,right,37,1
637,M1,left,37,1
637,M3,right,37,1
638,M2,left,37,1
640,M8,left,37,1
640,M2,right,37,1
641,M8,left,37,1
642,M10,left,37,1
642,M8,left,37,1
644,M3,left,37,1
644,M10,left,37,1
645,M10,left,37,1
646,M10,left,37,1
646,M8,right,37,1
647,M8,left,37,1
648,M4,left,37,1
648,M9,left,37,1
648,M9,right,37,1
649,M4,right,37,1
650,M3,left,37,1
650,M9,left,37,1
650,M4,right,37,1
651,M10,left,37,1
652,M10,left,37,1
652,M4,right,37,1
653,M10,left,37,1
653,M4,right,37,1
654,M11,left,37,1
654,M4,left,37,1
654,M2,right,37,1
656,M2,right,37,1
657,M2,left,37,1
657,M2,right,37,1
658,M2,left,37,1
659,M2,left,37,1
660,M2,left,37,1
660,M2,right,37,1
666,M7,left,37,1
668,M2,left,37,1
668,M2,right,37,1
669,M2,left,37,1
671,M6,left,37,1
672,M6,left,37,1
673,M10,left,37,1
674,M10,left,37,1
674,M4,right,37,1
677,M2,left,37,1
678,M8,left,37,1
678,M2,left,37,1
678,M2,right,37,1
679,M8,left,37,1
679,M5,left,37,1
679,M8,right,37,1
680,M8,left,37,1
680,M5,left,37,1
681,M4,left,37,1
681,M8,left,37,1
682,M4,left,37,1
682,M8,right,37,1
683,M4,left,37,1
683,M8,right,37,1
688,M11,left,37,1
690,M2,left,37,1
691,M2,right,37,1
697,M2,left,37,1
698,M2,left,37,1
699,M2,left,37,1
