"realtime","subject","side","cohort","day"
0,"M3","right",37,6
1,"M3","right",37,6
2,"M3","right",37,6
3,"M3","right",37,6
4,"M3","right",37,6
5,"M3","left",37,6
6,"M3","right",37,6
7,"M3","right",37,6
8,"M3","right",37,6
9,"M3","left",37,6
9,"M3","right",37,6
14,"M3","left",37,6
16,"M1","right",37,6
16,"M3","right",37,6
17,"M1","left",37,6
17,"M1","right",37,6
17,"M3","right",37,6
18,"M1","right",37,6
18,"M3","right",37,6
19,"M3","right",37,6
20,"M1","left",37,6
20,"M3","right",37,6
21,"M1","left",37,6
21,"M1","right",37,6
21,"M3","right",37,6
22,"M10","left",37,6
22,"M1","right",37,6
22,"M3","right",37,6
23,"M10","left",37,6
23,"M7","right",37,6
23,"M10","right",37,6
24,"M7","left",37,6
24,"M7","right",37,6
24,"M10","right",37,6
25,"M1","right",37,6
25,"M3","right",37,6
25,"M7","right",37,6
26,"M7","left",37,6
26,"M3","right",37,6
27,"M1","right",37,6
27,"M3","right",37,6
28,"M7","left",37,6
28,"M1","right",37,6
28,"M3","right",37,6
28,"M7","right",37,6
28,"M10","right",37,6
29,"M7","right",37,6
29,"M10","right",37,6
30,"M10","right",37,6
31,"M10","right",37,6
32,"M7","left",37,6
36,"M7","right",37,6
37,"M2","left",37,6
37,"M7","right",37,6
50,"M2","left",37,6
52,"M2","right",37,6
53,"M2","left",37,6
53,"M2","right",37,6
55,"M11","left",37,6
55,"M11","right",37,6
56,"M11","right",37,6
57,"M11","right",37,6
58,"M4","right",37,6
58,"M7","right",37,6
59,"M1","left",37,6
59,"M2","left",37,6
59,"M11","left",37,6
59,"M4","right",37,6
59,"M7","right",37,6
60,"M2","left",37,6
60,"M7","left",37,6
60,"M10","left",37,6
60,"M11","left",37,6
60,"M7","right",37,6
61,"M1","left",37,6
61,"M7","left",37,6
61,"M10","left",37,6
61,"M11","left",37,6
61,"M7","right",37,6
61,"M9","right",37,6
62,"M4","left",37,6
62,"M7","left",37,6
62,"M11","left",37,6
62,"M4","right",37,6
62,"M9","right",37,6
63,"M4","left",37,6
63,"M7","left",37,6
63,"M10","left",37,6
63,"M1","right",37,6
63,"M4","right",37,6
63,"M11","right",37,6
64,"M4","left",37,6
64,"M1","right",37,6
64,"M9","right",37,6
65,"M4","left",37,6
65,"M11","left",37,6
65,"M9","right",37,6
65,"M11","right",37,6
66,"M10","left",37,6
66,"M4","right",37,6
67,"M10","left",37,6
67,"M6","right",37,6
67,"M9","right",37,6
68,"M6","right",37,6
68,"M10","right",37,6
69,"M7","left",37,6
69,"M8","left",37,6
69,"M6","right",37,6
70,"M1","left",37,6
70,"M2","right",37,6
70,"M6","right",37,6
70,"M7","right",37,6
71,"M1","left",37,6
71,"M4","left",37,6
71,"M7","left",37,6
71,"M9","left",37,6
71,"M7","right",37,6
72,"M4","left",37,6
72,"M7","left",37,6
72,"M9","left",37,6
72,"M6","right",37,6
73,"M4","left",37,6
73,"M6","left",37,6
73,"M7","left",37,6
73,"M6","right",37,6
74,"M1","left",37,6
74,"M6","left",37,6
74,"M8","left",37,6
74,"M4","right",37,6
75,"M6","left",37,6
75,"M8","left",37,6
75,"M10","left",37,6
76,"M2","right",37,6
78,"M2","left",37,6
81,"M4","left",37,6
82,"M2","left",37,6
82,"M2","right",37,6
86,"M2","right",37,6
88,"M2","right",37,6
88,"M9","right",37,6
90,"M6","left",37,6
91,"M6","left",37,6
91,"M2","right",37,6
93,"M2","left",37,6
95,"M2","left",37,6
95,"M6","right",37,6
100,"M4","left",37,6
101,"M2","left",37,6
102,"M2","left",37,6
103,"M2","left",37,6
108,"M2","left",37,6
112,"M4","left",37,6
113,"M2","left",37,6
115,"M4","left",37,6
116,"M4","left",37,6
116,"M9","right",37,6
117,"M2","left",37,6
117,"M9","right",37,6
121,"M2","left",37,6
122,"M2","right",37,6
124,"M10","left",37,6
125,"M9","right",37,6
126,"M4","left",37,6
127,"M4","left",37,6
128,"M4","left",37,6
128,"M10","right",37,6
129,"M4","left",37,6
129,"M10","right",37,6
130,"M2","left",37,6
130,"M4","left",37,6
130,"M9","left",37,6
130,"M10","left",37,6
131,"M4","left",37,6
131,"M8","left",37,6
131,"M9","left",37,6
131,"M10","left",37,6
132,"M4","left",37,6
132,"M8","left",37,6
132,"M9","left",37,6
132,"M10","left",37,6
132,"M9","right",37,6
133,"M4","left",37,6
133,"M8","left",37,6
133,"M9","left",37,6
133,"M10","left",37,6
133,"M9","right",37,6
134,"M4","left",37,6
134,"M8","left",37,6
134,"M9","left",37,6
134,"M10","left",37,6
134,"M9","right",37,6
135,"M4","left",37,6
135,"M8","left",37,6
135,"M9","left",37,6
135,"M10","left",37,6
135,"M6","right",37,6
136,"M4","left",37,6
136,"M8","left",37,6
136,"M10","left",37,6
137,"M8","left",37,6
137,"M10","left",37,6
138,"M8","left",37,6
138,"M9","left",37,6
138,"M10","left",37,6
139,"M4","left",37,6
139,"M8","left",37,6
139,"M9","left",37,6
139,"M10","left",37,6
139,"M9","right",37,6
140,"M4","left",37,6
140,"M8","left",37,6
140,"M10","left",37,6
140,"M6","right",37,6
141,"M4","left",37,6
141,"M7","left",37,6
141,"M8","left",37,6
141,"M9","left",37,6
141,"M6","right",37,6
142,"M7","left",37,6
142,"M9","left",37,6
143,"M1","left",37,6
143,"M7","left",37,6
143,"M8","left",37,6
143,"M9","left",37,6
144,"M1","left",37,6
144,"M7","left",37,6
144,"M9","left",37,6
145,"M1","left",37,6
145,"M7","left",37,6
145,"M9","left",37,6
146,"M1","left",37,6
146,"M6","left",37,6
146,"M7","left",37,6
146,"M9","left",37,6
147,"M1","left",37,6
147,"M6","left",37,6
147,"M7","left",37,6
147,"M10","left",37,6
147,"M6","right",37,6
147,"M7","right",37,6
148,"M1","left",37,6
148,"M6","left",37,6
148,"M7","left",37,6
148,"M10","left",37,6
148,"M6","right",37,6
148,"M7","right",37,6
149,"M1","left",37,6
149,"M6","left",37,6
149,"M7","left",37,6
149,"M9","left",37,6
149,"M10","left",37,6
149,"M6","right",37,6
150,"M4","left",37,6
150,"M6","left",37,6
150,"M9","left",37,6
150,"M10","left",37,6
151,"M1","left",37,6
151,"M4","left",37,6
151,"M6","left",37,6
151,"M7","left",37,6
151,"M9","left",37,6
151,"M7","right",37,6
152,"M4","left",37,6
152,"M6","left",37,6
152,"M7","left",37,6
152,"M8","left",37,6
153,"M6","left",37,6
153,"M7","left",37,6
153,"M8","left",37,6
153,"M9","left",37,6
153,"M9","right",37,6
154,"M4","left",37,6
154,"M6","left",37,6
154,"M7","left",37,6
155,"M6","left",37,6
155,"M9","left",37,6
156,"M1","left",37,6
156,"M4","left",37,6
156,"M6","left",37,6
156,"M6","right",37,6
157,"M1","left",37,6
157,"M4","left",37,6
157,"M6","left",37,6
157,"M8","right",37,6
157,"M9","right",37,6
158,"M1","left",37,6
158,"M4","left",37,6
158,"M6","left",37,6
158,"M9","right",37,6
159,"M1","right",37,6
160,"M2","left",37,6
161,"M2","left",37,6
162,"M2","left",37,6
162,"M7","right",37,6
163,"M2","left",37,6
163,"M2","right",37,6
164,"M2","left",37,6
166,"M2","left",37,6
172,"M2","left",37,6
173,"M2","left",37,6
176,"M2","left",37,6
177,"M2","left",37,6
178,"M2","left",37,6
179,"M2","left",37,6
180,"M12","left",37,6
181,"M12","left",37,6
187,"M2","left",37,6
188,"M2","left",37,6
189,"M2","right",37,6
192,"M2","right",37,6
194,"M2","left",37,6
196,"M2","left",37,6
197,"M2","left",37,6
198,"M2","left",37,6
200,"M2","left",37,6
201,"M2","left",37,6
202,"M2","left",37,6
202,"M2","right",37,6
203,"M2","left",37,6
204,"M2","left",37,6
206,"M2","left",37,6
207,"M11","left",37,6
208,"M11","left",37,6
209,"M11","left",37,6
210,"M11","left",37,6
211,"M7","left",37,6
211,"M10","left",37,6
211,"M11","left",37,6
212,"M7","left",37,6
213,"M2","left",37,6
213,"M11","right",37,6
214,"M2","left",37,6
220,"M2","left",37,6
223,"M2","left",37,6
224,"M2","left",37,6
225,"M2","right",37,6
228,"M2","right",37,6
229,"M2","right",37,6
230,"M4","left",37,6
231,"M4","left",37,6
231,"M2","right",37,6
232,"M4","left",37,6
233,"M4","left",37,6
245,"M2","left",37,6
246,"M2","left",37,6
248,"M2","right",37,6
251,"M2","left",37,6
251,"M10","left",37,6
252,"M2","left",37,6
253,"M2","left",37,6
254,"M2","left",37,6
257,"M4","left",37,6
261,"M3","left",37,6
261,"M2","right",37,6
262,"M12","left",37,6
263,"M6","left",37,6
263,"M10","left",37,6
