Hour,Start (minute),Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8,Mouse 9,Mouse 10,Mouse 11,Mouse 12,Light
1,24,,,e,,,,,,,,,,
1,25,,,e,,,,,,,,,,
1,26,,,e,,,,,,,,,,
1,27,,,e,,,,,,,,,,
1,28,,,,,,,,,,,,,
1,29,,,,,,,,,,,,,
1,30,,,,,,,,,,,,,
1,31,,,,,,,,,,,,,
1,32,,,,,,,,,,,,,
1,33,,,d,,,,,,,,,,
1,34,,,e,,,,,,,,,,
1,35,,,e,,,,,,,,,,
1,36,,,"e, d",,,,,,,,,,
1,37,,,d,,,,,,,,,,
1,38,,,"e, d",,,,,,,,,,
1,39,,,e,,,,,,,,,,
1,40,,,e,,,,,,,,,,
1,41,,,e,,,,,,,,,,
1,42,,,"e, d",,,,,,,,,,
1,43,,,,,,,,,,,,,
1,44,,,,,,,,,,,,,
1,45,,,,,,,,,,,,,
1,46,,,,,,,,,,,,,
1,47,,,,,,,,,,,,,
1,48,,,,,,,,,,,,,
1,49,,,d,,,,,,,,,,
1,50,,,,,,,,,,,,,
1,51,,,,,,,,,,,,,
1,52,,,,,,,,,,,,,
1,53,,,,,,,,,,,,,
1,54,,,,,,,,,,,,,
1,55,,,,,,,,,,,,,
1,56,,,e,,,,,,,,,,
1,57,,,e,,,,,,,,,,
1,58,,,,,,,,,,,,,
1,59,,,d,,,,,,,,,,
2,0,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,
2,3,,,,,,,,,,,,,
2,4,,,,,,,,,,,,,
2,5,,,,,,,,,,,,,
2,6,,,,,,,,,,,,,
2,7,,,,,,,,,,,,,
2,8,,,,,,,,,,,,,
2,9,,,,,,,,,,,,,
2,10,,,,,,,,,,,,,
2,11,,,,,,,,,,,,,
2,12,,,,,,e,,,,,,,
2,13,,,,,,,,,,,,,
2,14,,,,,,,,,,,,,
2,15,,,,,,,,,,,,,
2,16,,,,,,,,,,,,,
2,17,,,,,,,,,,,,,
2,18,,,,,,,,,,,,,
2,19,,,,,,,,,,,,,
2,20,,,,,,,,,,,,,
2,21,,,,,,,,,,,,,
2,22,,,,,,,,,,,,,
2,23,,,,,,e,,,,,,,
2,24,,,,,,e,,,,,,,
2,25,,,,,,"e, d",,,,,,,
2,26,,,,,,e,,,,,,,
2,27,,,,,,"e, d",,,,,,,
2,28,,,,,,,,,,,,,
2,29,,,,,,,,,,,,,
2,30,,,,,,,,,,,,,
2,31,,,,,,,,,,,,,
2,32,,,,,,d,,,,,,,
2,33,,,,,,e,,,,,,,
2,34,,,,,,e,,,,,,,
2,35,,,,,,,,,,,,,
2,36,,,e,,,,,,,,,,
2,37,,,d,,,,,,,,,,
2,38,,,,,,,,,,,,,
2,39,,,,,,,,,,,,,
2,40,,,,,,,,,,,,,
2,41,,,,,,,,,,,,,
2,42,,,,,,,,,,,,,
2,43,,,,,,,,,,,,,
