Duration_sf,Behavior,Event_Type,Side,Time
3.04,drink,State start,left,0:43:56
0,drink,State stop,left,0:44:00
0.16,drink,State start,left,2:56:02
0,drink,State stop,left,2:56:02
2.72,drink,State start,left,4:55:08
0,drink,State stop,left,4:55:11
11.84,drink,State start,left,6:11:03
0,drink,State stop,left,6:11:15
56.56,eat,State start,left,6:17:00
0,eat,State stop,left,6:17:56
2.4,drink,State start,left,6:31:38
0,drink,State stop,left,6:31:41
7,drink,State start,left,8:51:26
0,drink,State stop,left,8:51:33
9.2,eat,State start,left,13:06:05
0,eat,State stop,left,13:06:14
37.24,eat,State start,left,13:27:00
0,eat,State stop,left,13:27:37
2.72,drink,State start,left,13:32:31
0,drink,State stop,left,13:32:34
18.44,drink,State start,left,15:40:14
0,drink,State stop,left,15:40:33
11.12,drink,State start,left,20:34:45
0,drink,State stop,left,20:34:56
2.08,eat,State start,left,21:24:10
0,eat,State stop,left,21:24:13
8.76,eat,State start,left,21:24:23
0,eat,State stop,left,21:24:31
12.56,eat,State start,left,21:24:41
0,eat,State stop,left,21:24:54
11.6,drink,State start,left,22:08:48
0,drink,State stop,left,22:09:00
5.64,drink,State start,left,23:32:33
0,drink,State stop,left,23:32:38
2.34,eat,State start,right,0:55:13
0,eat,State stop,right,0:55:16
1.46,drink,State start,right,1:04:12
0,drink,State stop,right,1:04:14
18.94,eat,State start,right,2:23:41
0,eat,State stop,right,2:24:00
12.98,eat,State start,right,5:33:04
0,eat,State stop,right,5:33:17
1.22,eat,State start,right,5:33:42
0,eat,State stop,right,5:33:44
4.48,eat,State start,right,5:33:45
0,eat,State stop,right,5:33:50
4.42,eat,State start,right,5:33:55
0,eat,State stop,right,5:34:00
23.84,eat,State start,right,5:41:00
0,eat,State stop,right,5:41:23
0.5,drink,State start,right,6:07:21
0,drink,State stop,right,6:07:22
42.26,eat,State start,right,6:09:17
0,eat,State stop,right,6:09:59
26.58,eat,State start,right,6:12:05
0,eat,State stop,right,6:12:32
0.72,drink,State start,right,6:13:10
0,drink,State stop,right,6:13:10
6.18,eat,State start,right,0:05:00
0,eat,State stop,right,0:05:06
2.46,eat,State start,right,0:05:08
0,eat,State stop,right,0:05:10
41.18,eat,State start,right,0:05:18
0,eat,State stop,right,0:06:00
22.4,eat,State start,right,0:06:18
0,eat,State stop,right,0:06:40
12.96,drink,State start,right,0:32:47
0,drink,State stop,right,0:33:00
44.3,eat,State start,right,1:04:11
0,eat,State stop,right,1:04:55
45.62,eat,State start,right,1:12:08
0,eat,State stop,right,1:12:53
0.96,drink,State start,right,1:22:12
0,drink,State stop,right,1:22:13
42.2,eat,State start,right,1:43:00
0,eat,State stop,right,1:43:42
14.96,drink,State start,right,2:12:26
0,drink,State stop,right,2:12:41
5.76,drink,State start,right,2:19:50
0,drink,State stop,right,2:19:56
8.2,drink,State start,right,2:53:11
0,drink,State stop,right,2:53:19
8.44,eat,State start,right,3:09:08
0,eat,State stop,right,3:09:16
41.8,eat,State start,right,3:09:18
0,eat,State stop,right,3:10:00
25.48,eat,State start,right,3:23:18
0,eat,State stop,right,3:23:44
9.86,eat,State start,right,3:23:50
0,eat,State stop,right,3:24:00
19.22,drink,State start,right,4:17:05
0,drink,State stop,right,4:17:24
13.06,eat,State start,right,4:25:00
0,eat,State stop,right,4:25:13
3.52,eat,State start,right,21:02:07
0,eat,State stop,right,21:02:11
46.48,eat,State start,right,22:21:36
0,eat,State stop,right,22:22:23
