Duration_sf,Behavior,Event_Type,Side,Time
4.88,drink,State start,left,00:31:34
0,drink,State stop,left,00:31:39
5.66,eat,State start,left,00:37:54
0,eat,State stop,left,00:38:00
51.22,eat,State start,left,00:47:03
0,eat,State stop,left,00:47:54
0.78,drink,State start,left,01:41:47
0,drink,State stop,left,01:41:47
1.74,drink,State start,left,01:56:30
0,drink,State stop,left,01:56:31
4.4,eat,State start,left,02:18:21
0,eat,State stop,left,02:18:26
8.44,drink,State start,left,02:25:17
0,drink,State stop,left,02:25:26
7.42,eat,State start,left,02:43:00
0,eat,State stop,left,02:43:07
25.9,eat,State start,left,04:13:00
0,eat,State stop,left,04:13:25
6.6,eat,State start,left,04:13:47
0,eat,State stop,left,04:13:53
4.5,drink,State start,left,04:38:29
0,drink,State stop,left,04:38:34
1.38,drink,State start,left,06:05:06
0,drink,State stop,left,06:05:07
4.92,eat,State start,left,06:15:55
0,eat,State stop,left,06:16:00
1.7,drink,State start,left,09:20:58
0,drink,State stop,left,09:21:00
8.9,drink,State start,left,11:05:34
0,drink,State stop,left,11:05:43
4.16,drink,State start,left,11:15:03
0,drink,State stop,left,11:15:07
3.76,eat,State start,left,12:26:39
0,eat,State stop,left,12:26:43
60,eat,State start,left,12:41:00
0,eat,State stop,left,12:42:00
9.06,drink,State start,left,14:03:05
0,drink,State stop,left,14:03:14
8.46,drink,State start,left,14:09:00
0,drink,State stop,left,14:09:08
4.22,drink,State start,left,14:57:22
0,drink,State stop,left,14:57:26
2.14,drink,State start,left,19:49:16
0,drink,State stop,left,19:49:19
1.96,drink,State start,right,00:47:23
0,drink,State stop,right,00:47:25
1.72,eat,State start,right,00:47:27
0,eat,State stop,right,00:47:28
6.44,drink,State start,right,00:55:21
0,drink,State stop,right,00:55:27
1.96,drink,State start,right,02:07:54
0,drink,State stop,right,02:07:56
1,drink,State start,right,02:07:59
0,drink,State stop,right,02:08:00
30.48,eat,State start,right,02:08:10
0,eat,State stop,right,02:08:41
19.96,eat,State start,right,02:28:00
0,eat,State stop,right,02:28:19
0.36,eat,State start,right,02:45:09
0,eat,State stop,right,02:45:09
3.28,drink,State start,right,03:24:01
0,drink,State stop,right,03:24:04
21.48,eat,State start,right,04:12:00
0,eat,State stop,right,04:12:21
13,drink,State start,right,04:14:10
0,drink,State stop,right,04:14:23
4.96,eat,State start,right,06:25:55
0,eat,State stop,right,06:26:00
26.44,eat,State start,right,06:41:01
0,eat,State stop,right,06:41:28
14.12,eat,State start,right,06:41:30
0,eat,State stop,right,06:41:44
30.04,eat,State start,right,11:03:00
0,eat,State stop,right,11:03:30
3.32,drink,State start,right,11:05:35
0,drink,State stop,right,11:05:38
18,eat,State start,right,12:39:42
0,eat,State stop,right,12:40:00
45.88,eat,State start,right,14:45:00
0,eat,State stop,right,14:45:45
12.28,eat,State start,right,14:45:47
0,eat,State stop,right,14:46:00
38.56,eat,State start,right,14:52:02
0,eat,State stop,right,14:52:40
7.92,eat,State start,right,14:52:52
0,eat,State stop,right,14:53:00
6.64,eat,State start,right,15:00:04
0,eat,State stop,right,15:00:10
54.92,eat,State start,right,17:37:00
0,eat,State stop,right,17:37:54
3.88,drink,State start,right,17:37:56
0,drink,State stop,right,17:38:00
18.6,eat,State start,right,00:53:09
0,eat,State stop,right,00:53:28
34.32,eat,State start,right,01:02:25
0,eat,State stop,right,01:03:00
8.56,drink,State start,right,01:14:39
0,drink,State stop,right,01:14:48
2.2,drink,State start,right,01:14:50
0,drink,State stop,right,01:14:52
