Duration_sf,Behavior,Event_Type,Side,Time
1.76,eat,State start,left,00:52:35
0,eat,State stop,left,00:52:37
5.36,drink,State start,left,02:27:09
0,drink,State stop,left,02:27:15
18.6,eat,State start,left,02:28:00
0,eat,State stop,left,02:28:18
0.04,drink,State start,left,02:37:34
0,drink,State stop,left,02:37:34
27.96,eat,State start,left,02:43:00
0,eat,State stop,left,02:43:27
17.68,eat,State start,left,02:59:00
0,eat,State stop,left,02:59:17
7.2,eat,State start,left,02:59:24
0,eat,State stop,left,02:59:31
16.92,eat,State start,left,02:59:35
0,eat,State stop,left,02:59:52
8.48,drink,State start,left,03:01:01
0,drink,State stop,left,03:01:10
9.32,drink,State start,left,03:42:02
0,drink,State stop,left,03:42:11
2.64,drink,State start,left,00:25:23
0,drink,State stop,left,00:25:25
8.36,eat,State start,left,02:29:16
0,eat,State stop,left,02:29:24
0.96,eat,State start,left,02:29:26
0,eat,State stop,left,02:29:27
12,drink,State start,left,04:40:48
0,drink,State stop,left,04:41:00
60,eat,State start,left,05:09:00
0,eat,State stop,left,05:10:00
60,eat,State start,left,07:00:00
0,eat,State stop,left,07:01:00
19.24,drink,State start,left,08:13:00
0,drink,State stop,left,08:13:19
1.76,eat,State start,left,11:18:09
0,eat,State stop,left,11:18:11
44.4,eat,State start,left,11:18:15
0,eat,State stop,left,11:19:00
4,drink,State start,right,00:50:13
0,drink,State stop,right,00:50:17
56.64,eat,State start,right,01:07:00
0,eat,State stop,right,01:07:56
6.76,drink,State start,right,01:10:35
0,drink,State stop,right,01:10:41
4.64,drink,State start,right,01:10:46
0,drink,State stop,right,01:10:50
6.52,drink,State start,right,02:03:00
0,drink,State stop,right,02:03:07
14.68,eat,State start,right,02:11:10
0,eat,State stop,right,02:11:25
30.44,eat,State start,right,03:01:29
0,eat,State stop,right,03:02:00
38,eat,State start,right,03:53:22
0,eat,State stop,right,03:54:00
11.36,drink,State start,right,04:16:00
0,drink,State stop,right,04:16:11
11.48,eat,State start,right,04:18:17
0,eat,State stop,right,04:18:28
10.52,eat,State start,right,04:18:30
0,eat,State stop,right,04:18:41
9.52,drink,State start,right,04:18:50
0,drink,State stop,right,04:19:00
11.52,eat,State start,right,05:11:00
0,eat,State stop,right,05:11:11
1.16,eat,State start,right,05:11:52
0,eat,State stop,right,05:11:53
11.48,eat,State start,right,00:25:35
0,eat,State stop,right,00:25:46
4.88,eat,State start,right,00:25:52
0,eat,State stop,right,00:25:56
8.92,drink,State start,right,01:26:20
0,drink,State stop,right,01:26:29
13.56,drink,State start,right,01:57:33
0,drink,State stop,right,01:57:46
14.2,eat,State start,right,01:59:19
0,eat,State stop,right,01:59:33
3.44,drink,State start,right,02:22:11
0,drink,State stop,right,02:22:14
8.84,eat,State start,right,02:31:15
0,eat,State stop,right,02:31:24
23.04,eat,State start,right,02:31:31
0,eat,State stop,right,02:31:54
12.52,drink,State start,right,04:42:24
0,drink,State stop,right,04:42:36
18.88,drink,State start,right,05:04:25
0,drink,State stop,right,05:04:44
24.4,eat,State start,right,05:11:35
0,eat,State stop,right,05:12:00
16.04,eat,State start,right,06:09:17
0,eat,State stop,right,06:09:33
49.04,eat,State start,right,07:42:03
0,eat,State stop,right,07:42:52
60,eat,State start,right,10:32:00
0,eat,State stop,right,10:33:00
14.2,drink,State start,right,11:19:07
0,drink,State stop,right,11:19:21
3.88,drink,State start,right,11:19:23
0,drink,State stop,right,11:19:27
8.64,drink,State start,right,13:58:15
0,drink,State stop,right,13:58:24
2.96,drink,State start,right,14:15:28
0,drink,State stop,right,14:15:31
1.24,drink,State start,right,14:15:32
0,drink,State stop,right,14:15:34
15.6,eat,State start,right,14:22:00
0,eat,State stop,right,14:22:15
10.24,eat,State start,right,14:22:49
0,eat,State stop,right,14:23:00
26.48,eat,State start,right,15:53:00
0,eat,State stop,right,15:53:26
29.68,eat,State start,right,15:53:30
0,eat,State stop,right,15:54:00
