Duration_sf,Behavior,Event_Type,Side,Time
6.23327,drink,State start,left,01:26:29
0,drink,State stop,left,01:26:35
11.2999,eat,State start,left,01:27:24
0,eat,State stop,left,01:27:35
18.5998,eat,State start,left,01:36:41
0,eat,State stop,left,01:37:00
11.3078,eat,State start,left,01:38:00
0,eat,State stop,left,01:38:11
9.27604,eat,State start,left,03:57:50
0,eat,State stop,left,03:58:00
5.36661,drink,State start,left,04:26:13
0,drink,State stop,left,04:26:19
3.85569,eat,State start,left,04:56:00
0,eat,State stop,left,04:56:03
1.46665,eat,State start,left,05:26:48
0,eat,State stop,left,05:26:50
1.98,drink,State start,left,00:02:53
0,drink,State stop,left,00:02:55
2.04,drink,State start,left,00:02:57
0,drink,State stop,left,00:02:59
1.26,eat,State start,left,00:04:58
0,eat,State stop,left,00:05:00
10.88,drink,State start,left,00:58:13
0,drink,State stop,left,00:58:24
22.52,eat,State start,left,00:59:00
0,eat,State stop,left,00:59:22
8.48,drink,State start,left,00:01:15
0,drink,State stop,left,00:01:23
2.44,eat,State start,right,00:46:57
0,eat,State stop,right,00:47:00
6.32,drink,State start,right,00:53:45
0,drink,State stop,right,00:53:51
15.72,drink,State start,right,00:58:29
0,drink,State stop,right,00:58:45
0.32,drink,State start,right,00:59:01
0,drink,State stop,right,00:59:01
15.32,drink,State start,right,03:10:24
0,drink,State stop,right,03:10:39
6.64,drink,State start,right,03:32:20
0,drink,State stop,right,03:32:27
4.2,eat,State start,right,03:39:25
0,eat,State stop,right,03:39:29
4.64,drink,State start,right,04:55:24
0,drink,State stop,right,04:55:28
0.72,drink,State start,right,05:01:19
0,drink,State stop,right,05:01:20
4.12,drink,State start,right,00:28:21
0,drink,State stop,right,00:28:25
5.56,drink,State start,right,01:02:50
0,drink,State stop,right,01:02:56
23,eat,State start,right,01:31:03
0,eat,State stop,right,01:31:26
7.72,eat,State start,right,01:31:30
0,eat,State stop,right,01:31:37
3.36,eat,State start,right,01:31:40
0,eat,State stop,right,01:31:43
3.48,eat,State start,right,02:36:56
0,eat,State stop,right,02:37:00
3.84,drink,State start,right,08:04:56
0,drink,State stop,right,08:05:00
0.28,drink,State start,right,08:05:00
0,drink,State stop,right,08:05:00
4.04,drink,State start,right,08:40:27
0,drink,State stop,right,08:40:31
23.28,eat,State start,right,08:45:24
0,eat,State stop,right,08:45:47
60,eat,State start,right,08:56:00
0,eat,State stop,right,08:57:00
4.08,drink,State start,right,09:10:44
0,drink,State stop,right,09:10:48
3.6,eat,State start,right,09:27:43
0,eat,State stop,right,09:27:47
3.28,eat,State start,right,09:27:56
0,eat,State stop,right,09:28:00
22,eat,State start,right,09:51:00
0,eat,State stop,right,09:51:22
60,eat,State start,right,00:02:00
0,eat,State stop,right,00:03:00
4.6,drink,State start,right,00:03:29
0,drink,State stop,right,00:03:34
2.16,drink,State start,right,00:03:34
0,drink,State stop,right,00:03:37
1.04,drink,State start,right,00:03:38
0,drink,State stop,right,00:03:39
39.2,eat,State start,right,00:27:00
0,eat,State stop,right,00:27:39
1.92,drink,State start,right,01:41:27
0,drink,State stop,right,01:41:29
9.48,eat,State start,right,01:52:19
0,eat,State stop,right,01:52:28
4.48,drink,State start,right,02:29:31
0,drink,State stop,right,02:29:36
8.08,eat,State start,right,02:30:00
0,eat,State stop,right,02:30:08
17.8,eat,State start,right,02:30:42
0,eat,State stop,right,02:31:00
