Duration_sf,Behavior,Event_Type,Side,Time
27.04,eat,State start,left,00:44:23
0,eat,State stop,left,00:44:50
7.24,eat,State start,left,00:44:52
0,eat,State stop,left,00:45:00
1.96,drink,State start,left,00:56:13
0,drink,State stop,left,00:56:15
8.24,eat,State start,left,02:26:00
0,eat,State stop,left,02:26:08
5.2,drink,State start,left,02:56:00
0,drink,State stop,left,02:56:05
46.36,eat,State start,left,04:54:13
0,eat,State stop,left,04:55:00
22,eat,State start,left,05:26:00
0,eat,State stop,left,05:26:22
32.32,eat,State start,left,05:26:27
0,eat,State stop,left,05:27:00
60,eat,State start,left,00:13:00
0,eat,State stop,left,00:14:00
8.44,drink,State start,left,02:31:41
0,drink,State stop,left,02:31:50
49.8,eat,State start,left,03:09:10
0,eat,State stop,left,03:10:00
60,eat,State start,left,03:25:00
0,eat,State stop,left,03:26:00
60,eat,State start,left,03:28:00
0,eat,State stop,left,03:29:00
3.32,drink,State start,left,05:45:04
0,drink,State stop,left,05:45:08
3.88,drink,State start,left,05:45:12
0,drink,State stop,left,05:45:16
15.68,drink,State start,left,05:57:02
0,drink,State stop,left,05:57:17
2.88,drink,State start,left,05:57:21
0,drink,State stop,left,05:57:24
37.76,eat,State start,left,06:19:00
0,eat,State stop,left,06:19:37
10.72,eat,State start,left,06:19:48
0,eat,State stop,left,06:19:59
60,eat,State start,left,06:25:00
0,eat,State stop,left,06:26:00
60,eat,State start,left,07:32:00
0,eat,State stop,left,07:33:00
60,eat,State start,left,08:55:00
0,eat,State stop,left,08:56:00
60,eat,State start,left,13:36:00
0,eat,State stop,left,13:37:00
28,eat,State start,left,14:14:00
0,eat,State stop,left,14:14:28
2.08,eat,State start,right,00:27:01
0,eat,State stop,right,00:27:03
6.68,drink,State start,right,00:31:00
0,drink,State stop,right,00:31:06
8.52,drink,State start,right,02:08:15
0,drink,State stop,right,02:08:24
2.24,eat,State start,right,02:28:02
0,eat,State stop,right,02:28:04
1.84,eat,State start,right,02:28:05
0,eat,State stop,right,02:28:07
1,drink,State start,right,02:47:21
0,drink,State stop,right,02:47:22
0.84,eat,State start,right,02:54:49
0,eat,State stop,right,02:54:49
1.64,eat,State start,right,02:55:46
0,eat,State stop,right,02:55:48
23.68,eat,State start,right,03:27:04
0,eat,State stop,right,03:27:27
3.04,drink,State start,right,03:30:56
0,drink,State stop,right,03:31:00
3.72,drink,State start,right,03:38:44
0,drink,State stop,right,03:38:48
19.4,eat,State start,right,04:04:26
0,eat,State stop,right,04:04:45
8.64,drink,State start,right,04:48:33
0,drink,State stop,right,04:48:42
1.48,drink,State start,right,05:07:32
0,drink,State stop,right,05:07:33
4.08,drink,State start,right,00:07:16
0,drink,State stop,right,00:07:20
3.12,drink,State start,right,01:58:11
0,drink,State stop,right,01:58:15
2.2,drink,State start,right,02:22:00
0,drink,State stop,right,02:22:02
0.76,eat,State start,right,02:44:29
0,eat,State stop,right,02:44:30
9.44,drink,State start,right,03:14:50
0,drink,State stop,right,03:15:00
7.4,drink,State start,right,05:48:42
0,drink,State stop,right,05:48:50
3.56,drink,State start,right,06:19:36
0,drink,State stop,right,06:19:39
4.96,drink,State start,right,08:43:55
0,drink,State stop,right,08:44:00
11.04,drink,State start,right,12:04:48
0,drink,State stop,right,12:05:00
9.48,drink,State start,right,14:10:24
0,drink,State stop,right,14:10:34
4.36,drink,State start,right,14:10:55
0,drink,State stop,right,14:11:00
38.56,eat,State start,right,14:17:21
0,eat,State stop,right,14:18:00
