Duration_sf,Behavior,Event_Type,Side,Time
0.32,eat,State start,left,0:15:50
0,eat,State stop,left,0:15:50
0.96,drink,State start,left,0:37:18
0,drink,State stop,left,0:37:19
3.88,drink,State start,left,2:19:51
0,drink,State stop,left,2:19:54
3.28,eat,State start,left,2:28:00
0,eat,State stop,left,2:28:03
3.8,drink,State start,left,4:11:00
0,drink,State stop,left,4:11:03
1.44,eat,State start,left,5:48:10
0,eat,State stop,left,5:48:12
2.2,drink,State start,left,6:14:16
0,drink,State stop,left,6:14:18
0.72,drink,State start,left,6:14:20
0,drink,State stop,left,6:14:20
3.64,drink,State start,left,6:14:28
0,drink,State stop,left,6:14:32
12.52,eat,State start,left,8:55:17
0,eat,State stop,left,8:55:30
1.24,drink,State start,left,9:05:00
0,drink,State stop,left,9:05:01
40.04,eat,State start,left,9:27:19
0,eat,State stop,left,9:28:00
1.04,eat,State start,left,10:10:40
0,eat,State stop,left,10:10:41
0.08,eat,State start,left,10:13:11
0,eat,State stop,left,10:13:11
1.84,eat,State start,left,10:20:33
0,eat,State stop,left,10:20:34
14.56,eat,State start,left,10:23:02
0,eat,State stop,left,10:23:16
15.76,drink,State start,left,11:47:02
0,drink,State stop,left,11:47:17
0.52,eat,State start,left,12:33:35
0,eat,State stop,left,12:33:35
4.44,drink,State start,left,13:42:02
0,drink,State stop,left,13:42:06
0.08,eat,State start,right,0:35:16
0,eat,State stop,right,0:35:17
0.16,drink,State start,right,0:45:02
0,drink,State stop,right,0:45:02
0.2,eat,State start,right,1:53:50
0,eat,State stop,right,1:53:50
2.86,eat,State start,right,1:56:17
0,eat,State stop,right,1:56:20
4.04,eat,State start,right,1:56:42
0,eat,State stop,right,1:56:46
0.58,eat,State start,right,2:25:19
0,eat,State stop,right,2:25:20
4.92,drink,State start,right,2:39:02
0,drink,State stop,right,2:39:07
1.72,drink,State start,right,2:39:08
0,drink,State stop,right,2:39:09
0.36,drink,State start,right,2:45:18
0,drink,State stop,right,2:45:18
4.04,drink,State start,right,2:45:20
0,drink,State stop,right,2:45:25
2.76,drink,State start,right,3:22:20
0,drink,State stop,right,3:22:23
1.92,eat,State start,right,3:47:01
0,eat,State stop,right,3:47:03
10.72,eat,State start,right,3:47:33
0,eat,State stop,right,3:47:44
2.56,eat,State start,right,3:50:37
0,eat,State stop,right,3:50:39
6.14,drink,State start,right,4:33:01
0,drink,State stop,right,4:33:08
1.92,eat,State start,right,5:34:49
0,eat,State stop,right,5:34:50
9.2,drink,State start,right,6:22:38
0,drink,State stop,right,6:22:47
1.3,drink,State start,right,6:22:50
0,drink,State stop,right,6:22:51
0.42,drink,State start,right,9:35:22
0,drink,State stop,right,9:35:22
2.38,drink,State start,right,9:35:50
0,drink,State stop,right,9:35:52
2.1,eat,State start,right,10:20:55
0,eat,State stop,right,10:20:57
5.56,drink,State start,right,10:40:11
0,drink,State stop,right,10:40:16
1.92,drink,State start,right,11:04:00
0,drink,State stop,right,11:04:01
0.16,drink,State start,right,11:06:32
0,drink,State stop,right,11:06:32
4.24,drink,State start,right,11:06:33
0,drink,State stop,right,11:06:38
0.82,drink,State start,right,11:06:39
0,drink,State stop,right,11:06:40
5.58,drink,State start,right,13:22:43
0,drink,State stop,right,13:22:49
2.92,eat,State start,right,13:28:57
0,eat,State stop,right,13:29:00
11.28,drink,State start,right,15:42:26
0,drink,State stop,right,15:42:37
0.18,eat,State start,right,18:29:43
0,eat,State stop,right,18:29:43
0.14,drink,State start,right,20:28:00
0,drink,State stop,right,20:28:01
