Duration_sf,Behavior,Event_Type,Side,Time
11.28,eat,State start,left,00:04:30
0,eat,State stop,left,00:04:42
59.18,eat,State start,left,00:13:00
0,eat,State stop,left,00:14:00
0.26,drink,State start,left,00:21:45
0,drink,State stop,left,00:21:45
5.24,drink,State start,left,00:21:48
0,drink,State stop,left,00:21:54
29.14,eat,State start,left,01:21:30
0,eat,State stop,left,01:22:00
2.78,drink,State start,left,02:10:27
0,drink,State stop,left,02:10:30
34.58,eat,State start,left,02:12:00
0,eat,State stop,left,02:12:34
37.22,eat,State start,left,03:14:09
0,eat,State stop,left,03:14:46
60,eat,State start,left,03:21:00
0,eat,State stop,left,03:22:00
0.64,drink,State start,left,03:44:23
0,drink,State stop,left,03:44:24
10.8,drink,State start,left,03:44:27
0,drink,State stop,left,03:44:37
9.12,drink,State start,left,04:44:29
0,drink,State stop,left,04:44:38
60,eat,State start,left,05:38:00
0,eat,State stop,left,05:39:00
2.78,drink,State start,left,00:13:51
0,drink,State stop,left,00:13:54
0.36,drink,State start,left,00:13:56
0,drink,State stop,left,00:13:56
7.78,eat,State start,left,02:05:05
0,eat,State stop,left,02:05:13
36.6,eat,State start,left,02:05:20
0,eat,State stop,left,02:05:56
2.9,drink,State start,left,05:13:28
0,drink,State stop,left,05:13:31
12.1,drink,State start,left,05:21:15
0,drink,State stop,left,05:21:27
20.38,eat,State start,left,05:26:00
0,eat,State stop,left,05:26:20
22.26,eat,State start,left,05:30:07
0,eat,State stop,left,05:30:30
44.94,eat,State start,left,06:40:15
0,eat,State stop,left,06:41:00
60,eat,State start,left,00:05:00
0,eat,State stop,left,00:06:00
45.92,eat,State start,left,00:19:00
0,eat,State stop,left,00:19:45
13.88,drink,State start,right,00:05:19
0,drink,State stop,right,00:05:33
42.96,eat,State start,right,01:21:17
0,eat,State stop,right,01:22:00
4.12,drink,State start,right,01:41:09
0,drink,State stop,right,01:41:13
10.28,drink,State start,right,01:59:35
0,drink,State stop,right,01:59:45
7,eat,State start,right,02:02:52
0,eat,State stop,right,02:02:59
5.24,drink,State start,right,02:27:34
0,drink,State stop,right,02:27:40
6.16,eat,State start,right,05:38:24
0,eat,State stop,right,05:38:30
3.16,eat,State start,right,05:38:34
0,eat,State stop,right,05:38:38
3.36,drink,State start,right,05:52:11
0,drink,State stop,right,05:52:15
2.24,drink,State start,right,03:06:46
0,drink,State stop,right,03:06:49
14.36,eat,State start,right,03:07:45
0,eat,State stop,right,03:08:00
9.08,drink,State start,right,03:19:14
0,drink,State stop,right,03:19:23
26.76,eat,State start,right,03:40:00
0,eat,State stop,right,03:40:26
29.88,eat,State start,right,04:37:30
0,eat,State stop,right,04:38:00
13.72,drink,State start,right,04:43:00
0,drink,State stop,right,04:43:13
4.48,drink,State start,right,05:11:47
0,drink,State stop,right,05:11:52
9.24,eat,State start,right,05:27:50
0,eat,State stop,right,05:28:00
7.72,drink,State start,right,07:25:29
0,drink,State stop,right,07:25:37
29.56,eat,State start,right,08:06:30
0,eat,State stop,right,08:07:00
11.76,drink,State start,right,08:13:26
0,drink,State stop,right,08:13:37
2.48,drink,State start,right,13:34:20
0,drink,State stop,right,13:34:23
6.72,drink,State start,right,01:40:58
0,drink,State stop,right,01:41:05
