Duration_sf,Behavior,Event_Type,Side,Time
9.24,drink,State start,left,00:24:17
0,drink,State stop,left,00:24:26
18.28,drink,State start,left,00:34:00
0,drink,State stop,left,00:34:18
30.6,eat,State start,left,00:39:12
0,eat,State stop,left,00:39:43
0.32,drink,State start,left,02:09:24
0,drink,State stop,left,02:09:24
1.08,eat,State start,left,02:10:14
0,eat,State stop,left,02:10:15
0.88,eat,State start,left,02:32:30
0,eat,State stop,left,02:32:31
4.44,eat,State start,left,02:32:35
0,eat,State stop,left,02:32:40
13.24,eat,State start,left,02:32:46
0,eat,State stop,left,02:33:00
1.56,eat,State start,left,02:58:07
0,eat,State stop,left,02:58:08
1.52,drink,State start,left,03:54:56
0,drink,State stop,left,03:54:57
34.4,eat,State start,left,04:24:00
0,eat,State stop,left,04:24:34
3.36,eat,State start,left,04:29:52
0,eat,State stop,left,04:29:56
0.36,drink,State start,left,04:31:58
0,drink,State stop,left,04:31:59
2.32,eat,State start,left,06:24:12
0,eat,State stop,left,06:24:15
0.48,drink,State start,left,06:28:04
0,drink,State stop,left,06:28:04
2.12,eat,State start,left,06:33:00
0,eat,State stop,left,06:33:02
9.44,drink,State start,left,10:37:49
0,drink,State stop,left,10:37:58
2.16,eat,State start,left,10:44:41
0,eat,State stop,left,10:44:43
19.36,eat,State start,left,11:38:36
0,eat,State stop,left,11:38:55
4.84,drink,State start,left,00:33:52
0,drink,State stop,left,00:33:57
0.96,drink,State start,left,00:35:53
0,drink,State stop,left,00:35:54
3.52,eat,State start,left,00:35:56
0,eat,State stop,left,00:35:59
15.76,eat,State start,left,00:36:08
0,eat,State stop,left,00:36:24
3.56,eat,State start,left,00:36:31
0,eat,State stop,left,00:36:35
23.12,eat,State start,left,00:36:36
0,eat,State stop,left,00:37:00
3.48,drink,State start,left,00:37:56
0,drink,State stop,left,00:38:00
60,eat,State start,left,00:38:00
0,eat,State stop,left,00:39:00
60,eat,State start,left,00:43:00
0,eat,State stop,left,00:44:00
10.04,eat,State start,left,02:53:00
0,eat,State stop,left,02:53:10
28.88,eat,State start,left,04:05:31
0,eat,State stop,left,04:06:00
2,drink,State start,left,04:09:00
0,drink,State stop,left,04:09:02
7.64,drink,State start,left,04:09:03
0,drink,State stop,left,04:09:11
20.6,drink,State start,left,07:58:13
0,drink,State stop,left,07:58:34
8.76,drink,State start,left,09:50:49
0,drink,State stop,left,09:50:58
30.12,eat,State start,left,10:05:20
0,eat,State stop,left,10:05:50
29.52,eat,State start,left,10:26:16
0,eat,State stop,left,10:26:45
9.08,eat,State start,left,10:26:50
0,eat,State stop,left,10:27:00
4.82,eat,State start,right,00:28:55
0,eat,State stop,right,00:28:59
58.44,eat,State start,right,02:24:01
0,eat,State stop,right,02:25:00
9.46,drink,State start,right,02:37:50
0,drink,State stop,right,02:38:00
14.12,drink,State start,right,03:41:27
0,drink,State stop,right,03:41:41
8.64,drink,State start,right,06:04:12
0,drink,State stop,right,06:04:21
2.08,drink,State start,right,06:51:25
0,drink,State stop,right,06:51:27
3.8,drink,State start,right,06:51:52
0,drink,State stop,right,06:51:56
4.16,drink,State start,right,11:29:00
0,drink,State stop,right,11:29:04
6.34,drink,State start,right,12:31:46
0,drink,State stop,right,12:31:53
11.02,drink,State start,right,12:36:47
0,drink,State stop,right,12:36:58
1,eat,State start,right,12:38:00
0,eat,State stop,right,12:38:01
7.4,drink,State start,right,14:15:52
0,drink,State stop,right,14:16:00
