Duration_sf,Behavior,Event_Type,Side,Time
5.13328,eat,State start,left,03:55:00
0,eat,State stop,left,03:55:05
58.9881,eat,State start,left,04:18:00
0,eat,State stop,left,04:18:59
7.76659,drink,State start,left,04:35:00
0,drink,State stop,left,04:35:07
2.13331,eat,State start,left,05:19:15
0,eat,State stop,left,05:19:17
7.76659,eat,State start,left,05:38:12
0,eat,State stop,left,05:38:19
7.36659,drink,State start,left,05:46:11
0,drink,State stop,left,05:46:18
4.23329,drink,State start,left,05:46:55
0,drink,State stop,left,05:46:59
4.49995,drink,State start,left,06:07:55
0,drink,State stop,left,06:07:59
4.39996,eat,State start,left,07:11:14
0,eat,State stop,left,07:11:18
10.16,drink,State start,left,01:41:11
0,drink,State stop,left,01:41:21
3.9,drink,State start,left,03:00:00
0,drink,State stop,left,03:00:03
60,eat,State start,left,03:38:00
0,eat,State stop,left,03:39:00
24.66,eat,State start,left,03:51:00
0,eat,State stop,left,03:51:24
9.28,drink,State start,left,03:59:08
0,drink,State stop,left,03:59:17
54.18,eat,State start,left,04:32:00
0,eat,State stop,left,04:32:54
60,eat,State start,left,05:24:00
0,eat,State stop,left,05:25:00
7.7,eat,State start,left,05:37:29
0,eat,State stop,left,05:37:37
9.04,drink,State start,left,07:57:32
0,drink,State stop,left,07:57:41
1.08,drink,State start,left,07:57:43
0,drink,State stop,left,07:57:44
11.16,drink,State start,left,09:30:46
0,drink,State stop,left,09:30:57
3.24,drink,State start,right,00:42:50
0,drink,State stop,right,00:42:53
2.08,eat,State start,right,01:41:34
0,eat,State stop,right,01:41:36
1.2,drink,State start,right,01:57:58
0,drink,State stop,right,01:58:00
2.76,eat,State start,right,02:15:05
0,eat,State stop,right,02:15:08
0.72,drink,State start,right,02:40:02
0,drink,State stop,right,02:40:03
11.8,drink,State start,right,04:03:33
0,drink,State stop,right,04:03:44
53.4,eat,State start,right,04:09:06
0,eat,State stop,right,04:10:00
2.32,drink,State start,right,04:12:16
0,drink,State stop,right,04:12:18
60,eat,State start,right,00:26:00
0,eat,State stop,right,00:27:00
9.4,drink,State start,right,00:33:34
0,drink,State stop,right,00:33:43
35.92,eat,State start,right,00:40:14
0,eat,State stop,right,00:40:50
6146.52,drink,State start,right,02:37:36
0,drink,State stop,right,04:20:03
5.92,drink,State start,right,04:20:03
0,drink,State stop,right,04:20:09
5.36,drink,State start,right,05:30:27
0,drink,State stop,right,05:30:32
14.16,drink,State start,right,05:35:41
0,drink,State stop,right,05:35:55
21.24,eat,State start,right,05:48:00
0,eat,State stop,right,05:48:21
8.64,drink,State start,right,07:08:16
0,drink,State stop,right,07:08:25
4.64,eat,State start,right,07:24:55
0,eat,State stop,right,07:25:00
60,eat,State start,right,07:42:00
0,eat,State stop,right,07:43:00
45.28,eat,State start,right,08:52:14
0,eat,State stop,right,08:53:00
8.68,drink,State start,right,08:54:51
0,drink,State stop,right,08:55:00
60,eat,State start,right,10:35:00
0,eat,State stop,right,10:36:00
