Timestamp,Actor,Behavior,Recipient,Location,Observer,Outside assigned observation time
8/21/2015 20:09:00,2,"Fighting, Chasing",8,UR,XX,
8/21/2015 20:17:00,2,Fighting,12,NB5,WL,
8/22/2015 16:03:00,2,Induce-flee,4,LR,BN,
8/22/2015 16:10:00,2,Chasing,5,UR,BN,
8/22/2015 16:10:00,2,Fighting,5,MR,BN,
8/22/2015 16:12:00,2,Chasing,10,UL,BN,
8/22/2015 16:13:00,2,Fighting,"9, 10",UR,BN,
8/22/2015 16:16:00,2,Fighting,4,MR,BN,
8/22/2015 16:16:00,2,"Subordinate, Induce-flee",10,UR,BN,
8/22/2015 16:18:00,2,Chasing,4,"UL, ML",BN,
8/22/2015 16:43:00,2,Induce-flee,8,MR,BN,
8/22/2015 16:43:00,2,"Fighting, Chasing",6,LR,BN,
8/22/2015 16:45:00,2,Fighting,5,MR,BN,
8/22/2015 16:46:00,2,Induce-flee,4,UL,BN,
8/22/2015 16:51:00,9,Chasing,12,UR,BN,
8/22/2015 16:52:00,2,"Fighting, Chasing",9,UR,BN,
8/22/2015 16:56:00,2,Fighting,12,NB3,BN,
8/22/2015 16:58:00,2,Fighting,9,NB5,BN,
8/22/2015 19:32:00,9,"Fighting, Chasing","5, 12",UR,WL,
8/23/2015 18:01:00,10,Fighting,12,NB4,WL,
8/23/2015 18:05:00,2,Fighting,"6, 8",NB5,WL,
8/23/2015 18:06:00,2,Chasing,4,NB5,WL,
8/23/2015 18:07:00,2,"Fighting, Chasing",9,MR,WL,
8/23/2015 18:09:00,2,Subordinate,6,NB4,WL,
8/23/2015 18:11:00,2,Fighting,3,NB5,WL,
8/23/2015 18:22:00,2,Chasing,5,UR,WL,
8/23/2015 18:24:00,7,Fighting,1,NB3,WL,
8/23/2015 18:27:00,2,Subordinate,5,NB4,WL,
8/23/2015 18:27:00,2,"Fighting, Chasing",3,NB5,WL,
8/23/2015 18:32:00,2,"Fighting, Chasing",1,UR,WL,
8/23/2015 18:34:00,2,"Fighting, Chasing",5,NB5,WL,
8/23/2015 18:45:00,8,"Chasing, Subordinate",4,UL,WL,
8/23/2015 18:47:00,9,"Chasing, Mounting",3,UL,WL,
8/23/2015 18:47:00,9,Chasing,11,UR,WL,
8/23/2015 18:49:00,2,"Fighting, Chasing",12,UR,WL,
8/23/2015 18:51:00,2,Chasing,"4, 9",UL,WL,
8/23/2015 18:53:00,2,Subordinate,3,NB3,WL,
8/23/2015 18:54:00,2,Chasing,8,MR,WL,
8/23/2015 18:56:00,2,Chasing,9,MR,WL,
8/23/2015 18:57:00,2,Chasing,1,LR,WL,
8/24/2015 19:22:00,1,Fighting,5,LR,BN,
8/24/2015 19:37:00,2,Chasing,1,NB5,BN,
8/24/2015 19:43:00,2,Fighting,"3, 11",NB5,BN,
8/24/2015 19:50:00,2,Fighting,11,NB4,BN,
8/24/2015 19:53:00,2,"Subordinate, Induce-flee",6,"NB3, NB4",BN,
8/24/2015 19:55:00,2,Fighting,4,MR,BN,
8/24/2015 19:58:00,2,"Fighting, Chasing",5,UL,BN,
8/24/2015 19:59:00,2,Fighting,3,"NB1, NB5",BN,
8/25/2015 14:05:00,2,Induce-flee,10,MR,WL,
8/25/2015 14:06:00,2,"Fighting, Chasing",6,MR,WL,
8/25/2015 14:07:00,2,Chasing,10,LR,WL,
8/25/2015 14:09:00,2,Fighting,10,MR,WL,
8/25/2015 14:16:00,2,Induce-flee,4,UL,WL,
8/25/2015 14:16:00,2,Chasing,7,UL,WL,
8/25/2015 14:21:00,2,Fighting,12,LR,WL,
8/25/2015 14:21:00,2,"Fighting, Chasing",1,LR,WL,
8/25/2015 14:30:00,2,Subordinate,10,UR,WL,
8/25/2015 14:31:00,2,Chasing,8,UL,WL,
8/25/2015 14:32:00,2,Induce-flee,4,UR,WL,
8/25/2015 14:35:00,2,Fighting,11,LR,WL,
8/25/2015 14:41:00,2,Fighting,4,UR,WL,
8/25/2015 14:42:00,2,Chasing,10,UR,WL,
8/25/2015 14:44:00,2,Chasing,7,UR,WL,
8/25/2015 14:45:00,2,"Fighting, Chasing",11,UR,WL,
8/25/2015 14:46:00,2,"Fighting, Chasing",7,UR,WL,
8/25/2015 14:47:00,2,Fighting,7,UL,WL,
8/25/2015 14:51:00,2,"Fighting, Chasing",10,UR,WL,
8/25/2015 14:56:00,2,Fighting,8,UR,WL,
8/26/2015 17:01:00,2,Chasing,7,LR,BN,
8/26/2015 17:09:00,2,Fighting,9,UR,BN,
8/26/2015 17:10:00,2,Fighting,7,UL,BN,
8/26/2015 17:35:00,2,Fighting,1,NB2,BN,
8/26/2015 17:36:00,2,Induce-flee,4,UR,BN,
8/26/2015 17:36:00,2,Fighting,3,UR,BN,
8/26/2015 17:37:00,2,Subordinate,3,UL,BN,
8/26/2015 17:38:00,2,"Fighting, Chasing",8,ML,BN,
8/26/2015 17:41:00,2,Chasing,"10, 11","MR, LR",BN,
8/26/2015 17:45:00,2,"Fighting, Subordinate",10,UR,BN,
8/26/2015 17:50:00,2,Fighting,11,"NB4, NB5",BN,
8/26/2015 17:54:00,2,Fighting,7,UR,BN,
8/26/2015 17:58:00,2,Fighting,11,LR,BN,
8/27/2015 13:01:00,2,"Fighting, Chasing",12,"LR, NB3",CW,
8/27/2015 13:01:00,2,Fighting,10,UR,CW,
8/27/2015 13:02:00,2,Fighting,11,UR,CW,
8/27/2015 13:08:00,2,Fighting,4,NB4,CW,
8/27/2015 13:21:00,8,Chasing,10,"UL, UR",CW,
8/27/2015 13:25:00,2,"Fighting, Chasing",6,"UL, ML, LL, UR, NB1, NB4, NB5",CW,
8/27/2015 13:30:00,2,Fighting,11,"UR, MR",CW,
8/27/2015 13:38:00,2,Chasing,9,"UR, MR",CW,
8/27/2015 13:42:00,2,Fighting,10,"NB4, NB5",CW,
8/27/2015 13:44:00,2,Fighting,10,"UR, MR",CW,
8/27/2015 13:45:00,2,Fighting,4,UL,CW,
8/27/2015 13:57:00,4,Chasing,5,"UL, ML",CW,
8/28/2015 13:10:00,2,Fighting,12,NB1,CW,
8/28/2015 13:15:00,2,"Fighting, Chasing",4,"UL, UR",CW,
8/28/2015 13:15:00,2,"Fighting, Chasing",1,"UR, MR",CW,
8/28/2015 13:16:00,2,Fighting,7,NB4,CW,
8/28/2015 13:22:00,2,Fighting,11,ML,CW,
8/28/2015 13:23:00,2,Fighting,1,MR,CW,
8/28/2015 13:32:00,9,"Fighting, Chasing",7,"MR, LR, NB3, NB4",CW,
8/28/2015 13:32:00,8,Chasing,12,"UL, ML",CW,
8/28/2015 13:33:00,8,Chasing,9,"MR, LR",CW,
8/28/2015 13:35:00,2,Fighting,7,UL,CW,
8/28/2015 13:36:00,2,Chasing,12,"UL, UR, MR",CW,
8/28/2015 13:39:00,2,Fighting,5,NB3,CW,
8/28/2015 13:48:00,2,"Fighting, Chasing",8,"ML, LL, NB1, NB2, NB4, NB5",CW,
8/28/2015 13:49:00,2,Chasing,4,"UL, UR",CW,
8/28/2015 13:56:00,2,Fighting,9,UR,CW,
8/28/2015 13:59:00,2,Fighting,4,NB3,CW,
8/28/2015 16:36:00,2,"Fighting, Chasing",8,UR,BN,
8/28/2015 16:38:00,2,Fighting,5,NB5,BN,
8/28/2015 16:40:00,2,Fighting,6,NB5,BN,
8/28/2015 16:41:00,2,Chasing,8,UL,BN,
8/28/2015 16:44:00,8,Fighting,4,NB3,BN,
8/28/2015 16:44:00,2,Fighting,4,LR,BN,
8/28/2015 16:45:00,2,Induce-flee,8,LR,BN,
8/28/2015 16:49:00,2,Fighting,10,UR,BN,
8/28/2015 16:52:00,2,Fighting,8,LR,BN,
8/28/2015 16:55:00,2,Fighting,4,UR,BN,
8/29/2015 12:12:00,8,Chasing,1,UR,WL,
8/29/2015 12:15:00,8,"Chasing, Mounting",5,UL,WL,
8/29/2015 12:16:00,2,"Fighting, Chasing",6,LL,WL,
8/29/2015 12:17:00,2,Chasing,8,UR,WL,
8/29/2015 12:22:00,2,"Fighting, Chasing",6,NB5,WL,
8/29/2015 12:26:00,2,Fighting,4,UR,WL,
8/29/2015 12:27:00,2,"Fighting, Chasing",1,NB3,WL,
8/29/2015 12:32:00,2,"Fighting, Chasing",10,UR,WL,
8/29/2015 12:32:00,2,"Fighting, Chasing",9,UR,WL,
8/29/2015 12:33:00,2,Chasing,4,LR,WL,
8/29/2015 12:42:00,2,Chasing,11,LR,WL,
8/29/2015 12:45:00,2,Induce-flee,3,NB5,WL,
8/29/2015 12:48:00,2,Chasing,"4, 9",UL,WL,
8/29/2015 12:48:00,2,Fighting,12,UR,WL,
8/29/2015 12:49:00,2,Chasing,9,UR,WL,
8/29/2015 12:49:00,2,"Fighting, Chasing",7,UL,WL,
8/29/2015 12:55:00,5,Chasing,3,UL,WL,
8/29/2015 12:56:00,2,Induce-flee,4,UL,WL,
8/29/2015 12:56:00,2,"Fighting, Chasing",12,UL,WL,
8/29/2015 12:57:00,2,"Fighting, Chasing",1,UR,WL,
8/29/2015 12:58:00,2,Fighting,7,UR,WL,
8/30/2015 12:08:00,2,Fighting,3,UR,CW,
8/30/2015 12:16:00,2,Chasing,1,"UL, UR",CW,
8/30/2015 12:27:00,2,"Fighting, Chasing",1,UL,CW,
8/30/2015 12:27:00,2,"Fighting, Chasing",11,ML,CW,
8/30/2015 12:41:00,2,Fighting,12,NB5,CW,
8/30/2015 12:45:00,2,Chasing,6,"UL, UR",CW,
8/30/2015 12:47:00,2,"Fighting, Chasing",11,"UR, MR, LR",CW,
8/30/2015 12:47:00,2,Chasing,10,UL,CW,
8/30/2015 12:50:00,11,Fighting,6,NB1,CW,
8/30/2015 12:50:00,2,Fighting,5,MR,CW,
8/30/2015 12:50:00,2,"Fighting, Chasing",7,"UL, ML",CW,
8/30/2015 12:53:00,2,Fighting,7,NB4,CW,
8/31/2015 14:06:00,2,Fighting,6,NB3,CW,
8/31/2015 14:07:00,2,"Fighting, Chasing",5,"UR, MR, LR, NB3, NB4",CW,
8/31/2015 14:10:00,2,"Fighting, Chasing",4,"UL, UR",CW,
8/31/2015 14:11:00,2,"Fighting, Chasing",8,"UL, UR, MR, LR",CW,
8/31/2015 14:12:00,8,Chasing,4,"LL, NB1, NB2",CW,
8/31/2015 14:12:00,2,Fighting,4,UL,CW,
8/31/2015 14:14:00,2,Fighting,8,LR,CW,
8/31/2015 14:17:00,2,"Fighting, Chasing",1,"UR, MR, LR, NB3",CW,
8/31/2015 14:17:00,2,"Fighting, Chasing",5,"UR, MR, LR, NB2",CW,
8/31/2015 14:18:00,2,Fighting,5,NB3,CW,
8/31/2015 14:23:00,2,Chasing,1,"UL, UR, MR",CW,
8/31/2015 14:23:00,2,Fighting,7,UR,CW,
8/31/2015 14:25:00,2,Chasing,8,"ML, LL, LR",CW,
8/31/2015 14:27:00,2,Fighting,12,NB3,CW,
8/31/2015 14:28:00,2,"Fighting, Chasing",11,"UL, ML, LL, UR",CW,
8/31/2015 14:29:00,2,"Fighting, Chasing",1,"UL, UR, MR, LR",CW,
8/31/2015 14:30:00,2,Fighting,7,NB3,CW,
8/31/2015 14:33:00,2,Fighting,12,NB2,CW,
8/31/2015 14:34:00,2,Fighting,4,NB2,CW,
8/31/2015 14:39:00,10,Chasing,1,"UL, ML",CW,
8/31/2015 14:43:00,2,Fighting,10,"UR, MR",CW,
8/31/2015 14:44:00,2,Fighting,11,"UL, ML",CW,
8/31/2015 14:47:00,2,"Fighting, Chasing",9,"UL, ML, UR",CW,
8/31/2015 14:47:00,2,Chasing,1,"LR, NB3, NB4",CW,
8/31/2015 14:48:00,2,Chasing,12,"UL, UR, MR",CW,
8/31/2015 14:50:00,2,Chasing,6,"MR, LR, NB3, NB4",CW,
8/31/2015 14:53:00,2,"Fighting, Chasing",12,"NB1, NB2",CW,
8/31/2015 17:39:00,11,"Fighting, Chasing",4,UR,WL,
8/31/2015 17:39:00,11,"Fighting, Chasing",9,UL,WL,
8/31/2015 17:39:00,11,"Fighting, Chasing",7,MR,WL,
8/31/2015 17:41:00,9,Fighting,4,LL,WL,
8/31/2015 17:43:00,11,"Fighting, Chasing",4,UR,WL,
8/31/2015 17:44:00,11,"Fighting, Chasing, Subordinate",12,UL,WL,
8/31/2015 17:44:00,11,"Fighting, Chasing",9,MR,WL,
8/31/2015 18:01:00,2,"Fighting, Chasing",3,NB3,WL,
8/31/2015 18:04:00,2,Induce-flee,3,UL,WL,
8/31/2015 18:04:00,2,"Fighting, Chasing",1,UL,WL,
8/31/2015 18:04:00,2,"Fighting, Chasing, Subordinate",3,UL,WL,
8/31/2015 18:12:00,2,Chasing,10,UL,WL,
8/31/2015 18:12:00,2,"Fighting, Chasing",3,UR,WL,
8/31/2015 18:13:00,2,Chasing,4,ML,WL,
8/31/2015 18:14:00,2,Chasing,7,MR,WL,
8/31/2015 18:16:00,2,"Fighting, Chasing",4,UL,WL,
8/31/2015 18:20:00,2,Fighting,10,UL,WL,
8/31/2015 18:22:00,2,Fighting,"3, 4",UL,WL,
8/31/2015 18:24:00,2,"Fighting, Chasing",4,NB3,WL,
8/31/2015 18:31:00,2,"Fighting, Chasing","3, 4",UL,WL,
8/31/2015 18:32:00,2,"Fighting, Chasing, Subordinate",3,UR,WL,
8/31/2015 18:34:00,2,"Fighting, Chasing",12,MR,WL,
8/31/2015 18:35:00,2,Fighting,3,NB3,WL,
8/31/2015 18:37:00,2,Induce-flee,4,UR,WL,
8/31/2015 18:37:00,2,"Fighting, Chasing",1,UL,WL,
8/31/2015 18:42:00,2,"Fighting, Chasing",4,UR,WL,
8/31/2015 18:48:00,2,"Fighting, Chasing",4,UL,WL,
8/31/2015 18:48:00,2,"Fighting, Chasing",1,UL,WL,
