Timestamp,Actor,Behavior,Recipient,Location,Observer
10/8/2015 12:02:00,5,Fighting,9,NB1,MT
10/8/2015 12:02:00,5,"Fighting, Subordinate",9,NB2,MT
10/8/2015 12:03:00,5,Chasing,2,"NB4, NB5",MT
10/8/2015 12:04:00,5,Fighting,9,NB4,MT
10/8/2015 12:06:00,5,"Fighting, Subordinate",8,NB2,MT
10/8/2015 12:08:00,5,Chasing,4,LL,MT
10/8/2015 12:10:00,5,Chasing,6,LL,MT
10/8/2015 12:11:00,5,Chasing,2,"LR, NB3",MT
10/8/2015 12:12:00,3,Fighting,5,LR,MT
10/8/2015 12:14:00,3,Fighting,8,LR,MT
10/8/2015 12:15:00,3,"Fighting, Chasing",7,LL,MT
10/8/2015 12:16:00,3,"Fighting, Chasing",2,LL,MT
10/8/2015 12:17:00,3,"Chasing, Mounting",11,LL,MT
10/8/2015 12:19:00,5,Chasing,11,"LL, NB2",MT
10/8/2015 12:19:00,5,Chasing,7,"LL, LR",MT
10/8/2015 12:21:00,3,"Fighting, Chasing",5,"LL, LR",MT
10/8/2015 12:22:00,1,"Fighting, Chasing, Subordinate",9,"LL, LR",MT
10/8/2015 12:22:00,1,Fighting,3,LR,MT
10/8/2015 12:23:00,1,Fighting,3,LL,MT
10/8/2015 12:24:00,1,Fighting,3,LR,MT
10/8/2015 12:26:00,3,"Fighting, Chasing",1,LL,MT
10/8/2015 12:30:00,1,"Fighting, Chasing",3,LR,MT
10/8/2015 12:31:00,1,Fighting,3,LR,MT
10/8/2015 12:32:00,1,Fighting,3,LR,MT
10/8/2015 12:34:00,5,Chasing,12,LR,MT
10/8/2015 12:35:00,5,Chasing,6,"LL, LR",MT
10/8/2015 12:38:00,3,Chasing,2,"ML, MR",MT
10/8/2015 12:38:00,3,"Fighting, Chasing",10,MR,MT
10/8/2015 12:38:00,3,"Fighting, Chasing",1,LL,MT
10/8/2015 12:42:00,1,"Fighting, Chasing",3,LL,MT
10/8/2015 12:53:00,3,Fighting,11,NB4,MT
10/8/2015 12:56:00,3,"Fighting, Chasing",9,LL,MT
10/8/2015 12:59:00,3,"Fighting, Chasing",6,"LL, LR",MT
10/8/2015 13:05:00,3,Fighting,12,LL,MT
10/8/2015 13:06:00,3,Fighting,10,LL,MT
10/8/2015 13:15:00,3,Fighting,2,NB3,MT
10/8/2015 13:23:00,3,"Fighting, Chasing",6,LR,MT
10/8/2015 13:26:00,3,"Fighting, Chasing",2,"UR, MR",MT
10/8/2015 13:29:00,3,Fighting,1,UL,MT
10/8/2015 13:30:00,5,"Mounting, Subordinate",7,LR,MT
10/8/2015 13:33:00,3,"Fighting, Chasing",4,"LL, LR",MT
10/8/2015 13:36:00,3,Fighting,7,NB5,MT
10/8/2015 13:39:00,5,"Fighting, Chasing",6,LR,MT
10/8/2015 13:43:00,5,Fighting,3,LL,MT
10/8/2015 13:44:00,3,"Fighting, Chasing, Subordinate",1,"LL, LR",MT
10/8/2015 13:45:00,5,Fighting,11,NB2,MT
10/8/2015 13:54:00,3,Fighting,1,UR,MT
10/8/2015 13:54:00,3,Fighting,6,UR,MT
10/8/2015 13:57:00,3,Fighting,5,LR,MT
10/9/2015 16:25:00,10,Fighting,1,UR,WL
10/9/2015 16:04:00,3,"Fighting, Chasing",9,LR,WL
10/9/2015 16:06:00,3,"Fighting, Chasing",6,LR,WL
10/9/2015 16:06:00,3,Fighting,8,LL,XX
10/9/2015 16:07:00,12,Chasing,10,UL,WL
10/9/2015 16:09:00,3,Fighting,4,NB5,WL
10/9/2015 16:09:00,3,Fighting,8,NB1,WL
10/9/2015 16:09:00,3,Fighting,4,NB5,WL
10/9/2015 16:09:00,3,"Fighting, Chasing",7,NB5,WL
10/9/2015 16:10:00,10,Fighting,6,NB2,WL
10/9/2015 16:11:00,3,"Subordinate, Induce-flee",12,ML,WL
10/9/2015 16:12:00,2,Induce-flee,10,LR,WL
10/9/2015 16:13:00,3,Subordinate,12,UL,WL
10/9/2015 16:13:00,3,Subordinate,12,UL,WL
10/9/2015 16:13:00,3,Chasing,8,MR,WL
10/9/2015 16:18:00,3,Subordinate,5,NB1,WL
10/9/2015 16:18:00,3,"Fighting, Chasing",5,NB5,WL
10/9/2015 16:19:00,3,"Fighting, Chasing",5,NB5,WL
10/9/2015 16:19:00,12,"Fighting, Chasing",2,UR,WL
10/9/2015 16:25:00,10,Fighting,1,UR,WL
10/9/2015 16:30:00,11,"Fighting, Chasing",5,UR,WL
10/9/2015 16:30:00,11,"Fighting, Chasing",5,UR,WL
10/9/2015 16:31:00,12,Chasing,5,UR,WL
10/9/2015 16:37:00,12,"Fighting, Chasing",2,UR,WL
10/9/2015 16:38:00,12,"Fighting, Chasing",10,UR,WL
10/9/2015 16:38:00,12,Chasing,9,UR,WL
10/9/2015 16:39:00,12,Fighting,11,UR,WL
10/9/2015 16:41:00,12,"Chasing, Subordinate",10,LL,WL
10/9/2015 16:41:00,12,Subordinate,1,LR,WL
10/9/2015 16:41:00,12,Fighting,10,LR,WL
10/9/2015 16:42:00,12,"Fighting, Chasing",10,LR,WL
10/9/2015 16:45:00,5,Fighting,6,LR,WL
10/9/2015 16:46:00,12,"Chasing, Subordinate",10,LR,WL
10/9/2015 16:46:00,12,"Chasing, Subordinate",10,LR,WL
10/9/2015 16:51:00,10,Induce-flee,5,LL,WL
10/9/2015 16:51:00,10,Induce-flee,2,LL,WL
10/9/2015 16:56:00,5,Mounting,6,LR,WL
