Timestamp,Actor,Behavior,Recipient,Location,Observer
10/6/2015 12:14:00,2,Chasing,6,"LL, LR",MT
10/6/2015 12:29:00,2,Chasing,3,"ML, MR",MT
10/6/2015 12:32:00,7,Chasing,2,"UL, UR",MT
10/6/2015 12:32:00,7,Fighting,2,UR,MT
10/6/2015 12:34:00,2,Chasing,9,"UR, MR",MT
10/6/2015 12:36:00,2,"Fighting, Chasing",7,UR,MT
10/6/2015 12:38:00,7,Fighting,1,UL,MT
10/6/2015 12:43:00,7,"Fighting, Chasing, Mounting",6,"UR, MR",MT
10/6/2015 12:44:00,7,"Fighting, Chasing, Mounting",9,MR,MT
10/6/2015 12:46:00,7,"Fighting, Chasing",2,"UR, MR",MT
10/6/2015 12:48:00,7,"Fighting, Chasing",2,UR,MT
10/6/2015 12:49:00,7,Fighting,3,UR,MT
10/6/2015 12:50:00,7,"Fighting, Induce-flee",3,UR,MT
10/6/2015 12:54:00,2,"Fighting, Mounting",3,UR,MT
10/6/2015 12:57:00,7,"Fighting, Chasing",10,UR,MT
10/6/2015 12:58:00,2,"Fighting, Chasing",5,"UR, MR",MT
10/6/2015 13:05:00,4,"Fighting, Chasing",3,"ML, UR, MR",MT
10/6/2015 13:08:00,2,Chasing,5,"UR, MR",MT
10/6/2015 13:17:00,7,Chasing,10,ML,MT
10/6/2015 13:34:00,2,Fighting,1,UR,MT
10/6/2015 13:35:00,7,"Fighting, Chasing",2,"UL, UR",MT
10/6/2015 13:42:00,8,"Fighting, Chasing",3,UL,MT
10/6/2015 13:43:00,8,Mounting,12,UL,MT
10/6/2015 13:45:00,2,"Fighting, Subordinate",1,UR,MT
10/6/2015 13:50:00,8,Fighting,3,UR,MT
10/6/2015 13:52:00,8,Fighting,3,UR,MT
10/6/2015 13:52:00,8,Chasing,12,"UR, MR",MT
10/7/2015 12:46:00,8,Chasing,6,LL,CC
10/7/2015 12:47:00,8,Chasing,6,"MR, LR",CC
10/7/2015 12:58:00,7,Mounting,12,UR,CC
10/7/2015 13:02:00,8,"Chasing, Mounting",5,"LR, NB4, NB5",CC
10/7/2015 13:02:00,8,Fighting,3,NB5,CC
10/7/2015 13:06:00,8,Fighting,2,"LL, LR",CC
10/7/2015 13:22:00,2,Fighting,11,NB5,CC
10/7/2015 13:29:00,8,Fighting,3,MR,CC
10/7/2015 13:32:00,10,Fighting,3,LL,CC
10/7/2015 13:35:00,8,Fighting,10,LR,CC
10/7/2015 13:39:00,8,Chasing,6,UR,CC
10/7/2015 13:41:00,8,Chasing,1,"LR, NB3, NB4",CC
10/7/2015 13:41:00,8,Fighting,1,NB3,CC
10/7/2015 13:42:00,8,"Fighting, Chasing",1,"LL, LR",CC
10/7/2015 14:07:00,2,"Fighting, Chasing",12,"LL, NB1, NB2",CC
10/7/2015 14:09:00,2,Fighting,12,NB5,CC
10/7/2015 14:10:00,2,Fighting,12,NB2,CC
10/7/2015 14:34:00,2,Fighting,12,"LL, LR, NB2, NB3",CC
10/8/2015 12:05:00,8,Chasing,6,"NB3, NB4",BN
10/8/2015 12:07:00,8,Fighting,7,NB2,BN
10/8/2015 12:08:00,8,Subordinate,10,LL,BN
10/8/2015 12:10:00,8,Fighting,3,MR,BN
10/8/2015 12:23:00,7,Fighting,3,UR,BN
10/8/2015 12:24:00,2,Fighting,7,UR,BN
10/8/2015 12:34:00,2,Fighting,11,UL,BN
10/8/2015 12:36:00,2,Fighting,7,MR,BN
10/8/2015 12:38:00,8,"Fighting, Chasing",12,"UL, UR",BN
10/8/2015 12:38:00,8,Subordinate,5,UR,BN
10/8/2015 12:41:00,8,Subordinate,12,UR,BN
10/8/2015 12:43:00,8,"Fighting, Subordinate",2,UL,BN
10/8/2015 12:52:00,8,Fighting,7,MR,BN
10/8/2015 12:57:00,8,Subordinate,10,LL,BN
10/8/2015 12:58:00,8,Fighting,7,"LR, NB4",BN
10/8/2015 12:59:00,2,Subordinate,1,MR,BN
10/8/2015 13:00:00,8,Fighting,12,LL,BN
10/8/2015 13:02:00,8,Fighting,12,UR,BN
10/8/2015 13:02:00,8,Fighting,2,UR,BN
10/8/2015 13:05:00,2,Fighting,11,"ML, MR",BN
10/8/2015 13:07:00,2,Fighting,1,LL,BN
10/8/2015 13:14:00,11,Fighting,10,NB5,BN
10/8/2015 13:21:00,2,Fighting,7,LR,BN
10/9/2015 13:07:00,8,"Fighting, Chasing",12,UR,CW
10/9/2015 13:14:00,8,"Fighting, Chasing",12,MR,CW
10/9/2015 13:15:00,8,Chasing,7,LR,CW
10/9/2015 13:17:00,8,"Fighting, Chasing",11,LR,CW
10/9/2015 13:17:00,7,Fighting,9,LL,CW
10/9/2015 13:20:00,8,Chasing,1,NB3,CW
10/9/2015 13:20:00,8,"Fighting, Subordinate",3,NB2,CW
10/9/2015 13:29:00,"4, 9",Fighting,"4, 9",LL,CW
10/9/2015 13:37:00,11,"Fighting, Subordinate",3,NB1,CW
10/9/2015 13:42:00,8,"Fighting, Chasing",11,LL,CW
10/9/2015 13:44:00,8,"Fighting, Chasing",1,NB2,CW
10/9/2015 13:45:00,8,"Fighting, Chasing, Subordinate",7,NB1,CW
10/9/2015 13:49:00,8,Chasing,1,LL,CW
10/9/2015 13:50:00,8,Fighting,10,LL,CW
10/9/2015 13:51:00,8,"Fighting, Chasing, Subordinate",10,LR,CW
10/9/2015 14:13:00,7,Chasing,6,NB1,CW
10/9/2015 14:17:00,7,"Fighting, Chasing",5,ML,CW
10/9/2015 15:45:00,6,"Fighting, Chasing",12,MR,XX
10/9/2015 15:26:00,2,Chasing,9,LR,CW
10/9/2015 15:27:00,8,"Fighting, Chasing",2,LL,CW
10/9/2015 15:30:00,2,Fighting,10,NB3,CW
10/9/2015 15:33:00,2,"Fighting, Chasing, Subordinate",9,LL,XX
