Timestamp,Actor,Behavior,Recipient,Location,Observer
8/19/2015 12:02:00,3,Mounting,5,NB3,WL
8/19/2015 12:03:00,3,"Fighting, Mounting",4,NB3,WL
8/19/2015 12:07:00,3,"Fighting, Chasing, Mounting",10,NB4,WL
8/19/2015 12:14:00,3,Mounting,6,LL,WL
8/19/2015 12:15:00,3,"Fighting, Chasing","8, 11",LL,WL
8/19/2015 12:15:00,3,"Fighting, Mounting",2,LL,WL
8/19/2015 12:16:00,3,"Fighting, Chasing",6,LR,WL
8/19/2015 12:18:00,12,"Fighting, Chasing",1,LL,WL
8/19/2015 12:19:00,12,"Fighting, Chasing, Mounting",7,LL,WL
8/19/2015 12:21:00,3,Chasing,9,LL,WL
8/19/2015 12:22:00,3,"Chasing, Mounting",7,LL,WL
8/19/2015 12:23:00,3,"Fighting, Chasing",5,LL,WL
8/19/2015 12:23:00,"3, 12",Fighting,"3, 12",LL,WL
8/19/2015 12:23:00,"3, 12",Fighting,"3, 12",LL,WL
8/19/2015 12:25:00,"3, 12",Fighting,"3, 12",LR,WL
8/19/2015 12:26:00,"3, 12",Fighting,"3, 12",LR,WL
8/19/2015 12:28:00,"3, 12",Fighting,"3, 12",LL,WL
8/19/2015 12:28:00,12,"Chasing, Mounting",10,LR,WL
8/19/2015 12:29:00,"3, 12",Fighting,"3, 12",NB2,WL
8/19/2015 12:30:00,12,Chasing,1,LR,WL
8/19/2015 12:31:00,3,"Fighting, Chasing",5,LL,WL
8/19/2015 12:31:00,"3, 12",Fighting,"3, 12",LL,WL
8/19/2015 12:33:00,3,"Fighting, Chasing",7,LL,WL
8/19/2015 12:35:00,3,Fighting,10,LL,WL
8/19/2015 12:36:00,"3, 12",Fighting,"3, 12",NB1,WL
8/19/2015 12:51:00,12,"Fighting, Chasing",10,LR,WL
8/19/2015 12:59:00,12,Fighting,3,MR,WL
8/19/2015 17:32:00,12,"Chasing, Mounting",2,"UL, UR",MT
8/19/2015 17:39:00,7,Chasing,10,"LR, NB3, NB4",MT
8/19/2015 17:48:00,10,"Fighting, Chasing",1,"UL, UR",MT
8/19/2015 17:51:00,12,"Fighting, Chasing, Subordinate",8,"LL, LR",MT
8/19/2015 17:58:00,12,"Fighting, Chasing",2,"LL, LR",MT
8/19/2015 18:04:00,12,Chasing,2,"UL, UR",MT
8/19/2015 18:29:00,10,Fighting,3,LL,MT
8/20/2015 13:07:00,5,Mounting,4,NB4,BN
8/20/2015 13:09:00,5,Mounting,4,NB4,BN
8/20/2015 13:13:00,5,Mounting,4,NB4,BN
8/20/2015 13:17:00,5,Mounting,4,NB4,BN
8/20/2015 13:18:00,5,Mounting,4,NB4,BN
8/20/2015 13:19:00,5,Mounting,4,NB4,BN
8/20/2015 13:23:00,12,"Fighting, Chasing, Subordinate",4,"LL, LR",BN
8/20/2015 13:24:00,12,"Chasing, Subordinate",8,LL,BN
8/20/2015 13:28:00,5,Mounting,4,NB4,BN
8/20/2015 13:34:00,12,"Chasing, Subordinate",4,"UR, MR",BN
8/20/2015 13:35:00,12,Subordinate,4,LR,BN
8/20/2015 13:35:00,11,Subordinate,4,LR,BN
8/20/2015 13:35:00,12,Fighting,11,LR,BN
8/20/2015 13:41:00,12,Fighting,4,NB4,BN
8/20/2015 17:23:00,12,Chasing,8,"LL, NB2",MT
8/20/2015 17:31:00,7,"Fighting, Chasing",3,"ML, LL, MR, LR",MT
8/20/2015 17:45:00,8,Chasing,1,"ML, MR",MT
8/20/2015 17:45:00,12,"Fighting, Mounting",9,LL,MT
8/20/2015 17:48:00,5,Mounting,4,NB4,MT
8/20/2015 17:52:00,12,Induce-flee,4,MR,MT
8/20/2015 17:57:00,12,Fighting,6,LR,MT
8/20/2015 17:59:00,5,Mounting,4,LR,MT
8/20/2015 17:59:00,9,"Fighting, Chasing",5,"LL, LR",MT
8/20/2015 18:00:00,9,Fighting,6,MR,MT
8/20/2015 18:00:00,9,"Fighting, Chasing",8,"NB1, NB2, NB5",MT
8/20/2015 18:02:00,12,"Fighting, Chasing",9,"LR, NB3",MT
8/20/2015 18:05:00,12,"Fighting, Chasing",6,"LL, MR, LR",MT
8/20/2015 18:06:00,9,Mounting,7,LL,MT
8/20/2015 18:09:00,9,"Fighting, Chasing",10,"MR, LR",MT
8/20/2015 18:20:00,1,Chasing,5,"UL, UR",MT
8/21/2015 20:39:00,12,Subordinate,3,UL,WL
8/21/2015 20:41:00,5,"Fighting, Chasing","2, 7",MR,WL
8/21/2015 20:42:00,5,Induce-flee,1,MR,WL
8/21/2015 20:45:00,12,Chasing,5,MR,WL
8/21/2015 20:51:00,3,"Fighting, Chasing",4,ML,WL
8/21/2015 20:55:00,7,"Fighting, Chasing, Subordinate",2,ML,WL
8/21/2015 20:57:00,3,"Chasing, Subordinate",9,LL,WL
8/21/2015 20:59:00,3,"Fighting, Chasing, Subordinate",9,NB4,WL
8/21/2015 21:05:00,3,"Fighting, Chasing",6,UR,WL
8/21/2015 21:05:00,12,"Fighting, Chasing",10,LL,WL
8/21/2015 21:06:00,10,"Fighting, Chasing",5,MR,WL
8/21/2015 21:09:00,5,"Fighting, Chasing",2,MR,WL
8/21/2015 21:10:00,12,"Fighting, Chasing",2,LL,WL
8/21/2015 21:11:00,12,"Fighting, Chasing",10,LL,WL
8/21/2015 21:12:00,3,"Fighting, Chasing",6,ML,WL
