Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
7/17/2016 13:44:41,3,Chasing,4,ML,TN,,
7/17/2016 13:45:32,5,Fighting,12,NB1,TN,,
7/17/2016 13:46:23,4,Chasing,12,UR,TN,,
7/17/2016 13:46:31,3,Chasing,4,UL,TN,,
7/17/2016 13:49:45,3,Chasing,4,LR,TN,,
7/17/2016 13:50:27,3,Fighting,2,NB1,TN,,
7/17/2016 13:53:15,3,Chasing,12,LR,TN,,
7/17/2016 14:00:33,End,End,End,End,TN,,
7/17/2016 18:21:13,9,Fighting,8,LR,WL,,Yes
7/18/2016 12:31:39,Start,Start,Start,Start,HD,,
7/18/2016 12:36:34,5,Chasing,11,NB1,HD,,
7/18/2016 12:38:45,7,"Fighting, Chasing",6,NB5,HD,,
7/18/2016 12:44:24,3,Chasing,4,LL,HD,,
7/18/2016 12:49:45,3,Chasing,6,MR,HD,,
7/18/2016 12:52:31,7,Chasing,9,NB4,HD,,
7/18/2016 12:56:58,3,Chasing,4,UL,HD,,
7/18/2016 12:57:58,5,Chasing,11,UR,HD,,
7/18/2016 13:00:24,3,Chasing,6,MR,HD,,
7/18/2016 13:10:42,9,Chasing,11,UR,HD,,
7/18/2016 13:12:52,3,Chasing,4,LL,HD,,
7/18/2016 13:15:18,10,Chasing,11,LL,HD,,
7/18/2016 13:21:21,3,Chasing,4,LR,HD,,
7/18/2016 13:31:25,End,End,End,End,HD,,
7/18/2016 16:36:34,Start,Start,Start,Start,RH,,
7/18/2016 16:37:06,3,"Fighting, Chasing",4,UL,RH,,
7/18/2016 16:37:35,3,Chasing,12,MR,RH,,
7/18/2016 16:40:27,3,"Fighting, Chasing",4,ML,RH,,
7/18/2016 16:41:28,9,"Fighting, Chasing",8,LL,RH,,
7/18/2016 16:42:23,3,"Fighting, Chasing",4,UL,RH,All the mice seem very active and aggressive and are running around quite a bit ,
7/18/2016 16:42:58,11,"Fighting, Chasing",12,UR,RH,,
7/18/2016 16:43:19,11,"Fighting, Chasing",8,UR,RH,,
7/18/2016 16:43:52,11,Fighting,4,UL,RH,,
7/18/2016 16:47:34,9,"Fighting, Chasing",12,MR,RH,,
7/18/2016 16:48:42,8,"Fighting, Chasing",1,LL,RH,,
7/18/2016 16:49:43,3,Induce-flee,4,LR,RH,,
7/18/2016 16:50:03,3,Fighting,4,LR,RH,,
7/18/2016 16:52:20,12,Induce-flee,4,LL,RH,,
7/18/2016 16:53:15,3,Induce-flee,4,ML,RH,,
7/18/2016 16:54:55,3,Chasing,9,LR,RH,,
7/18/2016 16:56:58,11,"Fighting, Chasing",8,UL,RH,,
7/18/2016 16:59:41,3,"Fighting, Chasing",9,LR,RH,,
7/18/2016 17:03:38,3,"Fighting, Chasing",11,UL,RH,,
7/18/2016 17:05:22,7,Chasing,12,MR,RH,They're all extremely active and running around everywhere ,
7/18/2016 17:07:30,7,Fighting,1,NB3,RH,,
7/18/2016 17:09:40,3,"Fighting, Chasing",12,LL,RH,,
7/18/2016 17:12:49,7,Chasing,4,MR,RH,,
7/18/2016 17:14:51,3,"Fighting, Chasing",1,LL,RH,,
7/18/2016 17:16:06,7,Induce-flee,4,UL,RH,,
7/18/2016 17:16:48,7,Chasing,10,UL,RH,,
7/18/2016 17:17:44,7,Fighting,1,NB3,RH,,
