Timestamp,Actor,Behavior,Recipient,Location,Observer,Outside assigned observation time
8/19/2015 12:01:00,12,Fighting,8,LL,BN,
8/19/2015 12:02:00,12,Fighting,8,"LL, LR",BN,
8/19/2015 12:05:00,12,Fighting,11,NB1,BN,
8/19/2015 12:13:00,8,Fighting,1,NB2,BN,
8/19/2015 12:15:00,8,Fighting,"3, 9",NB1,BN,
8/19/2015 12:17:00,"1, 8",Fighting,"1, 8",NB5,BN,
8/19/2015 12:21:00,12,Fighting,6,UR,BN,
8/19/2015 12:28:00,8,Fighting,6,UR,BN,
8/19/2015 12:34:00,12,Fighting,8,UL,BN,
8/19/2015 12:35:00,"4, 12",Fighting,"4, 12",UL,BN,
8/19/2015 12:37:00,12,Fighting,4,UL,BN,
8/19/2015 12:38:00,5,"Fighting, Subordinate",10,LL,BN,
8/19/2015 12:39:00,12,Fighting,11,UL,BN,
8/19/2015 12:40:00,12,Fighting,"6, 7",MR,BN,
8/19/2015 12:40:00,10,Subordinate,8,LR,BN,
8/19/2015 12:41:00,5,Subordinate,8,LR,BN,
8/19/2015 12:44:00,12,Fighting,6,NB2,BN,
8/19/2015 12:47:00,12,Fighting,"2, 7",NB5,BN,
8/19/2015 12:48:00,12,Fighting,11,NB2,BN,
8/19/2015 12:48:00,10,"Subordinate, Induce-flee",8,LL,BN,
8/19/2015 12:53:00,12,Fighting,"4, 6",LL,BN,
8/19/2015 12:56:00,12,Chasing,6,LR,BN,
8/19/2015 12:57:00,12,Fighting,6,LR,BN,
8/19/2015 16:34:00,1,"Fighting, Chasing",11,"LL, LR",MT,
8/19/2015 16:36:00,4,Fighting,6,UR,MT,
8/19/2015 16:36:00,4,Fighting,10,ML,MT,
8/19/2015 16:37:00,6,"Fighting, Chasing",8,UR,MT,
8/19/2015 16:38:00,6,Fighting,3,UR,MT,
8/19/2015 16:40:00,4,Fighting,8,UR,MT,
8/19/2015 16:41:00,8,Fighting,4,UL,MT,
8/19/2015 16:42:00,8,Fighting,6,UL,MT,
8/19/2015 16:49:00,12,Fighting,3,LR,MT,
8/19/2015 16:50:00,1,Fighting,3,LR,MT,
8/19/2015 16:52:00,8,"Fighting, Subordinate",4,LL,MT,
8/19/2015 16:58:00,4,Subordinate,2,UR,MT,
8/19/2015 17:01:00,6,Chasing,11,MR,MT,
8/19/2015 17:02:00,1,Fighting,6,LR,MT,
8/19/2015 17:03:00,9,Fighting,3,LR,MT,
8/19/2015 17:04:00,1,Chasing,10,LL,MT,
8/19/2015 17:05:00,4,Chasing,7,MR,MT,
8/19/2015 17:06:00,8,Fighting,6,MR,MT,
8/19/2015 17:07:00,8,Fighting,4,MR,MT,
8/19/2015 17:08:00,12,Subordinate,6,LL,MT,
8/19/2015 17:11:00,10,Subordinate,3,LR,MT,
8/19/2015 17:12:00,1,Fighting,7,LL,MT,
8/19/2015 17:13:00,6,Fighting,11,MR,MT,
8/19/2015 17:14:00,6,Mounting,1,LR,MT,
8/19/2015 17:15:00,1,"Fighting, Mounting",6,LL,MT,
8/19/2015 17:19:00,6,Fighting,3,LR,MT,
8/19/2015 17:21:00,8,Chasing,11,"UL, UR",MT,
8/19/2015 17:22:00,12,Mounting,3,LR,MT,
8/19/2015 17:23:00,10,Induce-flee,5,LL,MT,
8/19/2015 17:26:00,6,Mounting,1,UR,MT,
8/19/2015 17:26:00,6,Mounting,3,UR,MT,
8/19/2015 17:26:00,6,Mounting,3,UR,MT,
8/19/2015 17:28:00,4,Chasing,10,"UL, UR, MR",MT,
8/19/2015 17:30:00,6,"Fighting, Chasing",2,"LL, LR",MT,
8/19/2015 17:30:00,6,"Fighting, Chasing",11,"LL, LR",MT,
8/20/2015 13:06:00,1,"Fighting, Chasing",9,LL,WL,
8/20/2015 13:13:00,8,"Fighting, Subordinate",2,UL,WL,
8/20/2015 13:20:00,8,"Fighting, Chasing",10,MR,WL,
8/20/2015 13:21:00,8,Fighting,4,MR,WL,
8/20/2015 13:24:00,1,Chasing,5,NB1,WL,
8/20/2015 13:25:00,10,Chasing,2,LL,WL,
8/20/2015 13:28:00,8,Chasing,10,UL,WL,
8/20/2015 13:32:00,12,Chasing,6,MR,WL,
8/20/2015 13:32:00,8,Fighting,10,MR,WL,
8/20/2015 13:34:00,8,Fighting,4,MR,WL,
8/20/2015 13:35:00,12,Induce-flee,6,UL,WL,
8/20/2015 13:35:00,10,"Fighting, Chasing",11,LL,WL,
8/20/2015 13:36:00,10,"Fighting, Chasing",2,LR,WL,
8/20/2015 13:36:00,10,Fighting,2,LR,WL,
8/20/2015 13:37:00,8,"Fighting, Chasing",5,UL,WL,
8/20/2015 13:39:00,6,Subordinate,11,ML,WL,
8/20/2015 13:40:00,10,Subordinate,7,LL,WL,
8/20/2015 13:41:00,4,Chasing,7,MR,WL,
8/20/2015 13:42:00,4,"Fighting, Chasing",11,LR,WL,
8/20/2015 13:43:00,8,"Fighting, Chasing",2,MR,WL,
8/20/2015 13:43:00,8,"Fighting, Chasing",2,UL,WL,
8/20/2015 13:44:00,8,Fighting,7,UL,WL,
8/20/2015 13:47:00,4,Chasing,12,LL,WL,
8/20/2015 13:48:00,10,"Fighting, Subordinate",7,NB5,WL,
