Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time,Error
11/29/2016 15:04:00,11,"Fighting, Chasing",10,ML,IK,,,
11/29/2016 15:06:00,11,Chasing,12,MR,IK,,,
11/29/2016 15:08:00,4,"Fighting, Chasing",3,ML,IK,,,
11/29/2016 15:08:00,4,"Fighting, Chasing",3,ML,IK,,,
11/29/2016 15:08:00,11,"Fighting, Chasing",8,MR,IK,,,
11/29/2016 15:10:00,4,"Fighting, Chasing",3,ML,IK,,,
11/29/2016 15:12:00,2,"Fighting, Chasing",11,UR,IK,,,
11/29/2016 15:13:00,11,"Fighting, Chasing",10,UR,IK,,,
11/29/2016 15:18:00,4,Chasing,3,LL,IK,,,
11/29/2016 15:19:00,11,"Fighting, Chasing",10,ML,IK,,,
11/29/2016 15:25:00,2,"Fighting, Chasing",12,LL,IK,,,
11/29/2016 15:29:00,11,Chasing,10,UR,IK,,,
11/29/2016 15:30:00,11,Fighting,6,UR,IK,,,
11/29/2016 15:31:00,11,Chasing,12,UR,IK,,,
11/29/2016 15:38:00,11,Chasing,12,UR,IK,,,
11/29/2016 15:38:00,4,Chasing,3,MR,IK,,,
11/29/2016 15:42:00,2,Chasing,1,LL,IK,,,
11/29/2016 15:52:00,11,Chasing,12,UR,IK,,,
11/29/2016 15:57:00,4,Chasing,3,UR,IK,,,
11/29/2016 16:00:00,End,End,End,End,IK,,,
11/30/2016 14:09:00,Start,Start,Start,Start,CW,,,
11/30/2016 14:12:00,6,Fighting,10,LR,CW,,,
11/30/2016 14:14:00,11,"Fighting, Chasing",3,UR,CW,Mouse 3 looks pretty beat up,,
11/30/2016 14:22:00,11,Chasing,12,UL,CW,,,
11/30/2016 14:23:00,6,Fighting,1,LR,CW,,,
11/30/2016 14:26:00,3,Subordinate,10,LL,CW,,,
11/30/2016 14:28:00,11,Chasing,3,LL,CW,,,
11/30/2016 14:35:00,11,Chasing,10,UR,CW,,,
11/30/2016 14:37:00,4,Fighting,8,NB5,CW,,,
11/30/2016 14:44:00,12,Chasing,2,MR,CW,,,
11/30/2016 14:46:00,11,Mounting,10,UR,CW,,,
11/30/2016 14:47:00,11,Chasing,6,UL,CW,,,
11/30/2016 14:48:00,2,Fighting,5,NB2,CW,,,
11/30/2016 14:49:00,11,"Fighting, Chasing",7,LR,CW,,,
11/30/2016 14:50:00,2,Fighting,8,NB5,CW,,,
11/30/2016 14:51:00,11,Fighting,7,UL,CW,,,
11/30/2016 14:51:00,11,Chasing,6,LL,CW,,,
11/30/2016 14:52:00,11,Chasing,1,UR,CW,,,
11/30/2016 14:53:00,11,Chasing,1,UR,CW,,,
11/30/2016 14:54:00,6,Chasing,7,UR,CW,,,
11/30/2016 14:56:00,11,"Fighting, Chasing",5,UL,CW,,,
11/30/2016 14:57:00,11,Chasing,10,LR,CW,,,
11/30/2016 14:57:00,11,Fighting,2,LR,CW,,,
11/30/2016 15:02:00,1,Fighting,2,NB2,CW,,,
11/30/2016 15:10:00,8,Fighting,9,NB3,CW,,,
11/30/2016 15:11:00,1,Subordinate,6,NB4,CW,,,
11/30/2016 15:22:00,11,Fighting,12,LR,CW,,,
11/30/2016 15:22:00,6,Chasing,8,UR,CW,,,
11/30/2016 15:25:00,11,Chasing,9,UR,CW,,,
11/30/2016 15:32:00,11,Chasing,12,MR,CW,,,
11/30/2016 15:42:00,11,"Fighting, Chasing",3,UL,CW,,,
11/30/2016 15:44:00,1,"Fighting, Chasing",9,NB1,CW,,,
11/30/2016 15:47:00,1,Fighting,8,NB4,CW,,,
11/30/2016 15:49:00,11,Fighting,7,NB3,CW,,,
11/30/2016 15:53:00,11,Chasing,9,MR,CW,,,
11/30/2016 16:03:00,End,End,End,End,CW,,,
12/1/2016 14:40:00,Start,Start,Start,Start,RH,,,
12/1/2016 14:44:00,11,"Fighting, Chasing",8,NB2,RH,,,
12/1/2016 15:01:00,1,Chasing,6,ML,RH,,,
12/1/2016 15:18:00,1,Chasing,10,ML,RH,The mice have been very quiet and sleeping the whole time ,,
12/1/2016 15:20:00,11,"Fighting, Chasing",4,NB1,RH,,,
12/1/2016 15:27:00,1,"Fighting, Chasing",12,LR,RH,,,
12/1/2016 15:33:00,1,"Fighting, Chasing",10,NB1,RH,,,
12/1/2016 15:45:00,11,"Fighting, Chasing",6,NB3,RH,,,
12/1/2016 15:53:00,11,"Fighting, Chasing",9,NB1,RH,,,
12/1/2016 15:58:00,1,Fighting,6,NB5,RH,,,
12/1/2016 16:03:00,11,Fighting,9,NB5,RH,,,
12/1/2016 16:28:00,11,Chasing,4,UR,RH,,,
12/1/2016 16:29:00,11,Chasing,9,UL,RH,The mice have been extremely inactive throughout this entire observation period. They're either sleeping or not being overtly aggressive very often. They seem to enjoy communing in the best boxes. ,,
12/1/2016 16:33:00,11,"Fighting, Chasing",2,NB5,RH,,,
12/1/2016 16:35:00,11,Fighting,3,UR,RH,,,
12/1/2016 16:38:00,11,Chasing,4,NB2,RH,,,
12/1/2016 16:40:00,9,"Fighting, Chasing",4,NB5,RH,,,
12/1/2016 16:42:00,End,End,End,End,RH,,,
12/2/2016 12:01:00,Start,Start,Start,Start,CN,,,
12/2/2016 12:10:00,11,Chasing,6,ML,CN,,,
12/2/2016 12:14:00,11,Chasing,6,UL,CN,,,
12/2/2016 12:15:00,11,"Fighting, Chasing",6,AllOver,CN,,,
12/2/2016 12:22:00,11,Chasing,12,NB5,CN,,,
12/2/2016 12:24:00,11,Fighting,12,NB1,CN,,,
12/2/2016 12:35:00,12,Chasing,9,NB2,CN,,,
12/2/2016 12:36:00,6,Chasing,4,UR,CN,,,
12/2/2016 12:39:00,11,Chasing,12,UR,CN,,,
12/2/2016 12:39:00,11,"Fighting, Subordinate",8,UR,CN,,,
12/2/2016 12:43:00,11,Chasing,7,UL,CN,,,
12/2/2016 12:43:00,11,Subordinate,7,NB2,CN,,,
12/2/2016 12:44:00,6,Chasing,2,LR,CN,,,
12/2/2016 12:46:00,6,"Fighting, Chasing",4,NB4,CN,,,
12/2/2016 12:47:00,6,"Chasing, Subordinate",4,LL,CN,,,
12/2/2016 12:47:00,11,"Fighting, Chasing",4,UL,CN,,,
12/2/2016 12:49:00,11,"Fighting, Chasing",10,NB1,CN,,,
12/2/2016 12:50:00,11,Chasing,8,MR,CN,,,
12/2/2016 12:51:00,11,Chasing,12,LR,CN,,,
12/2/2016 12:52:00,11,Chasing,6,UR,CN,,,
12/2/2016 12:53:00,11,Subordinate,7,NB2,CN,,,
12/2/2016 12:59:00,11,Chasing,6,ML,CN,,,
12/2/2016 13:00:00,6,Chasing,4,NB1,CN,,,
12/2/2016 13:01:00,2,Fighting,8,NB5,CN,,,
12/2/2016 13:02:00,11,"Fighting, Chasing",6,ML,CN,,,
12/2/2016 13:02:00,11,Fighting,8,NB3,CN,,,
12/2/2016 13:08:00,11,Chasing,6,UL,CN,,,
12/2/2016 13:10:00,11,Chasing,1,LR,CN,,,
12/2/2016 13:13:00,12,Subordinate,8,NB3,CN,,,
12/2/2016 13:13:00,11,"Fighting, Chasing",8,NB2,CN,,,
12/2/2016 13:17:00,11,Fighting,6,NB2,CN,,,
12/2/2016 13:18:00,11,Chasing,7,UL,CN,,,
12/2/2016 13:18:00,11,"Fighting, Chasing",6,NB1,CN,,,
12/2/2016 13:18:00,11,Subordinate,10,NB2,CN,,,
12/2/2016 13:23:00,11,Chasing,6,AllOver,CN,,,
12/2/2016 13:30:00,11,Chasing,6,UR,CN,,,
12/2/2016 13:31:00,11,Subordinate,3,NB1,CN,,,
12/2/2016 13:33:00,11,Chasing,9,UL,CN,,,
12/2/2016 13:34:00,10,Chasing,8,UR,CN,,,
12/2/2016 13:35:00,8,Chasing,12,NB4,CN,,,
12/2/2016 13:36:00,4,Subordinate,3,NB3,CN,,,
12/2/2016 13:37:00,11,Subordinate,3,NB1,CN,,,
12/2/2016 13:39:00,11,Induce-flee,8,LR,CN,,,
12/2/2016 13:40:00,11,"Fighting, Chasing",8,MR,CN,,,
12/2/2016 13:40:00,11,Chasing,8,UR,CN,,,
12/2/2016 13:41:00,11,Chasing,4,ML,CN,,,
12/2/2016 13:42:00,11,Chasing,6,ML,CN,,,
12/2/2016 13:42:00,6,Chasing,4,NB2,CN,,,
12/2/2016 13:46:00,11,Chasing,"3, 9",UL,CN,,,
12/2/2016 13:47:00,11,Chasing,3,UL,CN,,,
12/2/2016 13:56:00,11,Fighting,3,NB2,CN,,,
12/2/2016 14:00:00,End,End,End,End,CN,,,
12/3/2016 16:21:00,11,Fighting,7,MR,MB,,,
12/3/2016 16:22:00,11,Chasing,6,UR,MB,,,
12/3/2016 16:23:00,11,"Fighting, Chasing",7,LR,MB,,,
12/3/2016 16:25:00,11,"Fighting, Chasing",7,LL,MB,,,
12/3/2016 16:26:00,11,"Fighting, Chasing",6,UR,MB,,,
12/3/2016 16:28:00,6,Fighting,3,LR,MB,,,
12/3/2016 16:29:00,10,Fighting,4,LL,MB,,,
12/3/2016 16:31:00,11,"Fighting, Chasing",6,UL,MB,,,
12/3/2016 16:33:00,11,"Fighting, Chasing",6,UL,MB,,,
12/3/2016 16:34:00,4,"Fighting, Chasing",9,NB3,MB,,,
12/3/2016 16:37:00,11,"Fighting, Chasing",9,LL,MB,,,
12/3/2016 16:39:00,11,"Fighting, Chasing",6,UR,MB,,,
12/3/2016 16:42:00,6,"Fighting, Chasing",4,LR,MB,,,
12/3/2016 16:44:00,6,Fighting,4,UR,MB,,,
12/3/2016 16:45:00,11,"Fighting, Chasing",4,UR,MB,,,
12/3/2016 16:47:00,11,"Fighting, Chasing",4,MR,MB,,,
12/3/2016 16:47:00,11,Fighting,6,NB2,MB,,,
12/3/2016 16:50:00,11,"Fighting, Chasing",6,AllOver,MB,,,
12/3/2016 16:52:00,11,Fighting,4,LL,MB,,,
12/3/2016 16:56:00,11,"Fighting, Chasing",6,UR,MB,,,
12/3/2016 16:59:00,11,"Fighting, Chasing",6,ML,MB,,,
12/3/2016 16:59:00,11,"Fighting, Chasing",7,UR,MB,,,
12/3/2016 17:07:00,6,Fighting,4,UR,MB,,,
12/3/2016 17:11:00,9,Fighting,4,LL,MB,,,
12/3/2016 17:12:00,4,"Fighting, Chasing",7,LR,MB,,,
12/3/2016 17:13:00,6,Fighting,4,LR,MB,,,
12/3/2016 17:14:00,6,"Fighting, Chasing",4,LL,MB,,,
12/3/2016 17:15:00,6,"Fighting, Chasing",4,LR,MB,,,
12/3/2016 17:17:00,4,Fighting,9,UR,MB,,,
12/3/2016 17:17:00,6,Fighting,4,LL,MB,,,
12/3/2016 17:20:00,6,Fighting,9,LR,MB,,,
12/3/2016 17:25:00,6,"Fighting, Chasing",4,MR,MB,,,
12/3/2016 17:26:00,7,Fighting,12,NB4,MB,,,
12/3/2016 17:27:00,6,"Fighting, Chasing",4,LR,MB,,,
12/3/2016 17:35:00,11,Fighting,4,LR,MB,,,
12/3/2016 17:37:00,11,Fighting,6,NB5,MB,,,
12/3/2016 17:51:00,12,"Fighting, Chasing",5,UR,MB,,,
12/3/2016 17:54:00,11,"Fighting, Chasing",5,LR,MB,,,
12/4/2016 16:01:00,Start,Start,Start,Start,KB,,,
12/4/2016 16:04:00,1,"Fighting, Chasing",5,UR,KB,To LL,,
12/4/2016 16:06:00,1,"Fighting, Chasing",10,UR,KB,,,
12/4/2016 16:12:00,11,Fighting,9,NB2,KB,,,
12/4/2016 16:17:00,11,Chasing,6,NB2,KB,To nb5,,
12/4/2016 16:21:00,11,"Fighting, Chasing",12,UL,KB,,,
12/4/2016 16:23:00,1,Fighting,9,UR,KB,,,
12/4/2016 16:24:00,11,"Fighting, Chasing",7,ML,KB,,,
12/4/2016 16:25:00,11,Fighting,7,NB3,KB,,,
12/4/2016 16:26:00,11,Fighting,1,LL,KB,Very aggressive,,
12/4/2016 16:27:00,11,"Fighting, Chasing",6,LL,KB,,,
12/4/2016 16:28:00,11,Fighting,10,NB3,KB,,,
12/4/2016 16:30:00,11,Fighting,4,UR,KB,,,
12/4/2016 16:33:00,11,Chasing,4,UR,KB,,,
12/4/2016 16:51:00,11,Chasing,3,UL,KB,,,
12/4/2016 17:00:00,End,End,End,End,KB,,,
