Timestamp,Actor,Behavior,Recipient,Location,Observer,Outside assigned observation time
8/17/2015 13:25:00,11,Subordinate,3,NB1,WL,
8/17/2015 13:40:00,2,Mounting,9,UR,WL,
8/17/2015 13:41:00,2,"Fighting, Chasing",9,UR,WL,
8/17/2015 13:43:00,11,Subordinate,8,MR,WL,
8/17/2015 13:44:00,2,"Fighting, Chasing",9,UR,WL,
8/17/2015 13:50:00,11,"Fighting, Chasing",7,MR,WL,
8/17/2015 13:59:00,11,Subordinate,6,LL,WL,
8/17/2015 14:26:00,11,Fighting,3,NB2,BN,
8/17/2015 14:29:00,11,Subordinate,10,LL,BN,
8/18/2015 12:01:00,12,Mounting,6,NB3,WL,
8/18/2015 11:59:00,8,"Fighting, Chasing",3,LL,WL,
8/18/2015 12:02:00,8,Chasing,6,LR,WL,
8/18/2015 12:03:00,8,"Fighting, Chasing",6,NB3,WL,
8/18/2015 12:03:00,8,"Fighting, Chasing",6,LL,WL,
8/18/2015 12:06:00,8,Induce-flee,11,LL,WL,
8/18/2015 12:06:00,8,"Fighting, Chasing","9, 12",LL,WL,
8/18/2015 12:09:00,8,"Fighting, Chasing",10,LL,WL,
8/18/2015 12:10:00,8,Chasing,3,UL,WL,
8/18/2015 12:11:00,8,Chasing,10,UL,WL,
8/18/2015 12:12:00,8,"Fighting, Chasing","5, 12",LL,WL,
8/18/2015 12:13:00,8,"Fighting, Chasing",3,NB1,WL,
8/18/2015 12:13:00,8,Fighting,10,NB3,WL,
8/18/2015 12:14:00,8,Fighting,3,NB3,WL,
8/18/2015 12:16:00,8,Chasing,6,ML,WL,
8/18/2015 12:18:00,8,Chasing,5,LL,WL,
8/18/2015 12:19:00,8,Chasing,7,UR,WL,
8/18/2015 12:23:00,8,"Fighting, Chasing",6,MR,WL,
8/18/2015 12:23:00,8,Chasing,11,LL,WL,
8/18/2015 12:27:00,8,"Fighting, Chasing",5,LR,WL,
8/18/2015 12:29:00,8,Chasing,"7, 11",LL,WL,
8/18/2015 12:28:00,8,Chasing,11,LR,WL,
8/18/2015 12:30:00,8,Induce-flee,11,LL,WL,
8/18/2015 12:30:00,8,Chasing,9,LL,WL,
8/18/2015 12:31:00,8,"Fighting, Chasing",11,NB1,WL,
8/18/2015 12:50:00,8,Induce-flee,11,LR,WL,
8/18/2015 12:51:00,4,Subordinate,11,UR,WL,
8/18/2015 13:29:00,8,"Chasing, Subordinate",3,"UL, UR",BN,
8/18/2015 12:54:00,8,Chasing,7,MR,WL,
8/18/2015 13:13:00,8,Fighting,12,"LL, LR",BN,
8/18/2015 13:15:00,8,Fighting,5,LR,BN,
8/18/2015 13:15:00,8,Fighting,11,NB1,BN,
8/18/2015 13:17:00,12,Fighting,3,"LR, NB3",BN,
8/18/2015 13:19:00,8,"Fighting, Subordinate",5,UR,BN,
8/18/2015 13:19:00,7,Fighting,1,UR,BN,
8/18/2015 13:20:00,9,Subordinate,11,LR,BN,
8/18/2015 13:21:00,12,Subordinate,11,LR,BN,
8/18/2015 13:22:00,8,Fighting,9,NB3,BN,
8/18/2015 13:24:00,12,Subordinate,4,NB2,BN,
8/18/2015 13:24:00,12,Fighting,1,NB1,BN,
8/18/2015 13:26:00,12,Fighting,5,NB5,BN,
8/18/2015 13:26:00,12,Mounting,10,NB1,BN,
8/18/2015 13:27:00,8,Fighting,"2, 11","LL, LR",BN,
8/18/2015 13:28:00,12,Mounting,4,NB1,BN,
8/18/2015 13:31:00,8,"Chasing, Subordinate",9,LL,BN,
