Timestamp,Actor,Behavior,Recipient,Location,Observer
10/13/2015 12:16:00,2,Chasing,6,LL,MT
10/13/2015 12:19:00,10,"Fighting, Chasing",5,"UL, ML",MT
10/13/2015 12:19:00,10,"Fighting, Chasing",2,"ML, LL",MT
10/13/2015 12:24:00,10,"Fighting, Chasing",3,"LL, LR",MT
10/13/2015 12:27:00,3,"Fighting, Chasing",12,"UR, MR, LR",MT
10/13/2015 12:28:00,10,Chasing,3,LR,MT
10/13/2015 12:31:00,10,Induce-flee,3,LR,MT
10/13/2015 12:32:00,10,"Fighting, Chasing",12,"LL, LR",MT
10/13/2015 12:35:00,12,Chasing,7,"MR, LR",MT
10/13/2015 12:36:00,10,"Fighting, Chasing",6,"UL, UR, MR",MT
10/13/2015 12:37:00,10,Chasing,5,"UR, MR, LR",MT
10/13/2015 12:45:00,2,Chasing,1,UR,MT
10/13/2015 12:46:00,5,Chasing,8,UL,MT
10/13/2015 12:47:00,10,"Fighting, Chasing",12,"LL, LR",MT
10/13/2015 12:49:00,3,"Fighting, Chasing",11,"LL, LR",MT
10/13/2015 12:53:00,10,"Fighting, Chasing",8,"LL, LR",MT
10/13/2015 12:57:00,10,"Fighting, Chasing",8,"UL, ML, LL, LR",MT
10/13/2015 12:58:00,10,"Fighting, Chasing",9,"LL, LR",MT
10/13/2015 12:59:00,10,"Fighting, Chasing",5,"UL, ML, MR, LR",MT
10/13/2015 13:01:00,10,Chasing,8,"ML, LL, LR",MT
10/13/2015 13:02:00,10,Fighting,12,LR,MT
10/13/2015 13:09:00,10,Chasing,7,"UR, MR, LR",MT
10/13/2015 13:15:00,10,"Fighting, Chasing",8,"UL, ML, LL, LR",MT
10/13/2015 13:21:00,10,"Fighting, Chasing",8,"LL, LR",MT
10/13/2015 13:23:00,10,"Fighting, Chasing",1,"LL, LR",MT
10/13/2015 13:23:00,10,"Fighting, Chasing",8,"ML, LL",MT
10/13/2015 13:25:00,10,"Fighting, Chasing",6,"UL, UR, MR, LR",MT
10/13/2015 13:29:00,10,Chasing,8,"UL, ML, UR",MT
10/13/2015 13:31:00,10,"Fighting, Chasing",7,"LL, NB2",MT
10/13/2015 13:39:00,10,"Fighting, Chasing, Subordinate",2,"NB1, NB2",MT
10/13/2015 13:53:00,10,Chasing,9,"ML, LL, LR",MT
10/13/2015 13:53:00,10,"Fighting, Chasing",8,"LL, LR",MT
10/13/2015 13:58:00,10,Chasing,3,"LL, LR",MT
10/14/2015 12:46:00,10,"Fighting, Chasing",3,"LL, NB1",CC
10/14/2015 12:49:00,10,"Fighting, Chasing",7,"MR, LR",CC
10/14/2015 12:51:00,10,Chasing,6,"UL, ML, LL",CC
10/14/2015 12:52:00,10,Subordinate,8,LR,CC
10/14/2015 12:53:00,6,Fighting,10,LR,CC
10/14/2015 12:53:00,10,Fighting,5,"UL, UR",CC
10/14/2015 12:57:00,10,Induce-flee,3,UL,CC
10/14/2015 12:59:00,10,Fighting,6,"UL, UR",CC
10/14/2015 12:59:00,10,Chasing,6,"UR, MR, LR",CC
10/14/2015 13:01:00,10,Fighting,7,"UL, UR",CC
10/14/2015 13:02:00,10,Chasing,9,"ML, LL, LR",CC
10/14/2015 13:03:00,10,"Fighting, Chasing",3,"ML, LL",CC
10/14/2015 13:04:00,10,"Fighting, Chasing",7,"UL, UR",CC
10/14/2015 13:04:00,10,Induce-flee,9,LL,CC
10/14/2015 13:08:00,10,Chasing,5,"UL, ML",CC
10/14/2015 13:08:00,10,Chasing,12,"UL, UR",CC
10/14/2015 13:11:00,10,"Fighting, Chasing",6,"LL, LR, NB1, NB2, NB5",CC
10/14/2015 13:11:00,3,Chasing,8,"UL, ML",CC
10/14/2015 13:15:00,3,Chasing,8,"ML, LL, LR",CC
10/14/2015 13:15:00,10,Chasing,3,"UL, ML, LL, UR, LR",CC
10/14/2015 13:18:00,10,Chasing,6,"UR, MR",CC
10/14/2015 13:24:00,10,Chasing,9,"MR, LR",CC
10/14/2015 13:27:00,10,Chasing,12,"UR, MR, LR",CC
10/14/2015 13:29:00,10,Chasing,8,"UL, ML, LL, LR",CC
10/14/2015 13:40:00,10,Fighting,8,"LR, NB2, NB3",CC
10/14/2015 13:48:00,3,Chasing,5,"MR, LR",CC
10/14/2015 13:49:00,10,Chasing,7,"UL, UR",CC
