"","cohort","day","id","side","behav","times","Duration_sf"
"554",86,1,"M2","left","Drink",807,"7.23673"
"555",86,1,"M2","left","Eat",837,"35.5348"
"556",86,1,"M2","left","Drink",961,"3.20314"
"557",86,1,"M2","left","Eat",1199,"59.9921"
"558",86,1,"M2","left","Eat",1244,"9.00882"
"559",86,1,"M5","right","Eat",38,"7.24"
"560",86,1,"M3","right","Eat",167,"4.52,10.72"
"561",86,1,"M9","right","Drink",212,"2.16"
"562",86,1,"M3","right","Eat",253,"15"
"563",86,1,"M2","right","Eat",256,"5.76"
"564",86,1,"M2","right","Drink",291,"2.6"
"565",86,1,"M2","right","Eat",306,"8.16"
"566",86,1,"M2","right","Drink",319,"4.44"
"567",86,1,"M1","right","Eat",367,"26.4"
"568",86,1,"M3","right","Drink",371,"14.8"
"569",86,1,"M2","right","Eat",457,"16.4"
"570",86,1,"M2","right","Drink",479,"2.64"
"571",86,1,"M4","right","Drink",544,"6.4"
"572",86,1,"M3","right","Eat",563,"25.52"
"573",86,1,"M12","right","Drink",579,"0.52"
"574",86,1,"M7","right","Drink",587,"0.48"
"575",86,1,"M2","right","Eat",603,"9.64"
"576",86,1,"M8","right","Eat",641,"14.16,14.2"
"577",86,1,"M6","right","Eat",654,"10.24"
"578",86,1,"M3","right","Drink",749,"10.08"
"579",86,1,"M6","right","Eat",819,"20.32"
"580",86,1,"M2","right","Eat",829,"31.76"
"581",86,1,"M10","right","Drink",1048,"13.16"
"582",86,1,"M2","right","Drink",1217,"2.76"
"583",86,1,"M7","right","Eat",1258,"60"
"584",86,7,"M11","left","Eat",26,"1.76"
"585",86,7,"M11","left","Drink",121,"5.36"
"586",86,7,"M12","left","Eat",122,"18.6"
"587",86,7,"M8","left","Drink",131,"0.04"
"588",86,7,"M11","left","Eat",137,"27.96"
"589",86,7,"M10","left","Eat",154,"17.68,7.2,16.92"
"590",86,7,"M7","left","Drink",155,"8.48"
"591",86,7,"M11","left","Drink",196,"9.32"
"592",86,7,"M9","left","Drink",352,"2.64"
"593",86,7,"M1","left","Eat",476,"8.36,0.96"
"594",86,7,"M11","left","Drink",607,"12"
"595",86,7,"M9","left","Eat",636,"60"
"596",86,7,"M11","left","Eat",747,"60"
"597",86,7,"M11","left","Drink",820,"19.24"
"598",86,7,"M10","left","Eat",1005,"1.76,44.4"
"599",86,7,"M11","right","Drink",23,"4"
"600",86,7,"M5","right","Eat",40,"56.64"
"601",86,7,"M5","right","Drink",43,"6.76,4.64"
"602",86,7,"M11","right","Drink",96,"6.52"
"603",86,7,"M11","right","Eat",104,"14.68"
"604",86,7,"M10","right","Eat",154,"30.44"
"605",86,7,"M11","right","Eat",206,"38"
"606",86,7,"M11","right","Drink",228,"11.36"
"607",86,7,"M8","right","Drink",231,"11.48,10.52"
"608",86,7,"M8","right","Eat",231,"9.52"
"609",86,7,"M11","right","Eat",284,"11.52,1.16"
"610",86,7,"M2","right","Eat",350,"11.48,4.88"
"611",86,7,"M11","right","Drink",411,"8.92"
"612",86,7,"M11","right","Drink",442,"13.56"
"613",86,7,"M11","right","Eat",444,"14.2"
"614",86,7,"M1","right","Drink",467,"3.44"
"615",86,7,"M1","right","Eat",476,"8.84,23.04"
"616",86,7,"M10","right","Drink",608,"12.52"
"617",86,7,"M2","right","Drink",629,"18.88"
"618",86,7,"M9","right","Eat",636,"24.4"
"619",86,7,"M4","right","Eat",694,"16.04"
"620",86,7,"M11","right","Eat",787,"49.04"
"621",86,7,"M11","right","Eat",958,"60"
"622",86,7,"M4","right","Drink",1004,"14.2,3.88"
"623",86,7,"M11","right","Drink",1163,"8.64"
"624",86,7,"M8","right","Drink",1180,"2.96,1.24"
"625",86,7,"M8","right","Eat",1187,"15.6,10.24"
"626",86,7,"M11","right","Eat",1278,"26.48,29.68"
