"cohort","day","behav","times","grank1","mouse","total","bouts"
39,22,"Eat",561,12,4,14.36,1
39,22,"Eat",594,1,12,26.76,1
39,22,"Eat",651,1,12,29.88,1
39,22,"Eat",697,4,7,20.38,1
39,22,"Eat",701,8,8,31.5,2
39,22,"Eat",773,1,12,44.94,1
39,22,"Eat",860,3,3,29.56,1
39,22,"Eat",1227,5,5,60,1
39,22,"Eat",1241,1,12,45.92,1
44,8,"Drink",37,1,8,11.4,2
44,8,"Drink",104,8,6,4.28,1
44,8,"Drink",113,1,8,13,1
44,8,"Drink",214,7,5,6.96,1
44,8,"Drink",282,1,8,17.4,1
44,8,"Drink",317,1,8,3.14,1
44,8,"Drink",435,8,6,5.64,1
44,8,"Drink",456,4,11,12.4,1
44,8,"Drink",457,8,6,9.9,2
44,8,"Drink",483,1,8,19.08,1
44,8,"Drink",571,7,5,11.52,1
44,8,"Drink",658,12,3,5.18,1
44,8,"Drink",661,1,8,11.76,1
44,8,"Drink",704,1,8,13.04,1
44,8,"Drink",726,7,5,3.72,1
44,8,"Drink",801,10,1,7.148,1
44,8,"Drink",853,1,8,2,1
44,8,"Drink",1337,8,6,3.46,1
44,8,"Drink",1360,1,8,6.46,1
44,8,"Drink",1361,1,8,7.3,1
44,8,"Eat",53,1,8,25.72,1
44,8,"Eat",62,8,6,60,1
44,8,"Eat",134,1,8,60,1
44,8,"Eat",178,10,1,46.78,1
44,8,"Eat",333,1,8,1,1
44,8,"Eat",398,6,10,2.84,1
44,8,"Eat",423,8,6,60,1
44,8,"Eat",426,10,1,60,1
44,8,"Eat",448,1,8,9.34,1
44,8,"Eat",454,1,8,47.42,3
44,8,"Eat",468,3,7,60,3
44,8,"Eat",480,1,8,31.64,1
44,8,"Eat",633,9,12,6,1
44,8,"Eat",660,1,8,60,1
44,8,"Eat",681,2,2,10,1
44,8,"Eat",683,1,8,36.08,1
44,8,"Eat",762,1,8,59.28,1
44,8,"Eat",766,7,5,54.9192,1
44,8,"Eat",1322,8,6,29.9,1
44,8,"Eat",1350,1,8,22.04,1
45,14,"Drink",31,11,9,6.23327,1
45,14,"Drink",37,9,11,6.32,1
45,14,"Drink",41,1,3,15.72,1
45,14,"Drink",42,1,3,0.32,1
45,14,"Drink",173,5,10,15.32,1
45,14,"Drink",195,3,4,6.64,1
45,14,"Drink",216,12,7,5.36661,1
45,14,"Drink",278,1,3,4.64,1
45,14,"Drink",284,1,3,4.74,3
45,14,"Drink",315,1,3,4.12,1
45,14,"Drink",340,10,8,10.88,1
45,14,"Drink",349,1,3,5.56,1
45,14,"Drink",771,1,3,3.84,1
45,14,"Drink",772,1,3,0.28,1
45,14,"Drink",807,3,4,4.04,1
45,14,"Drink",837,3,4,4.08,1
45,14,"Drink",1262,6,5,8.48,1
45,14,"Drink",1263,1,3,7.8,3
45,14,"Drink",1361,11,9,1.92,1
45,14,"Drink",1410,1,3,4.48,1
45,14,"Eat",29,11,9,2.44,1
45,14,"Eat",37,4,2,11.2999,1
45,14,"Eat",46,1,3,18.5998,1
45,14,"Eat",48,1,3,11.3078,1
45,14,"Eat",187,11,9,9.27604,1
45,14,"Eat",202,8,6,4.2,1
45,14,"Eat",246,3,4,3.85569,1
45,14,"Eat",276,1,3,1.46665,1
45,14,"Eat",286,1,3,1.26,1
45,14,"Eat",340,1,3,22.52,1
45,14,"Eat",378,8,6,34.08,3
45,14,"Eat",443,1,3,3.48,1
45,14,"Eat",812,1,3,23.28,1
45,14,"Eat",823,1,3,60,1
45,14,"Eat",854,9,11,6.88,2
45,14,"Eat",878,3,4,22,1
45,14,"Eat",1262,1,3,60,1
45,14,"Eat",1287,9,11,39.2,1
45,14,"Eat",1372,3,4,9.48,1
45,14,"Eat",1410,1,3,25.88,2
46,20,"Drink",69,1,10,3.56,1
46,20,"Drink",89,9,9,7.04,1
46,20,"Drink",121,1,10,2.88,1
46,20,"Drink",127,9,9,1.56,1
46,20,"Drink",160,2,3,3,1
46,20,"Drink",163,1,10,5.56,1
46,20,"Drink",199,1,10,6.08,1
46,20,"Drink",205,6,8,21.44,2
46,20,"Drink",270,2,3,13.1,3
46,20,"Drink",277,1,10,8.2,3
46,20,"Drink",541,1,10,8,1
46,20,"Drink",551,1,10,3.16,1
46,20,"Drink",724,7,12,7.48,2
46,20,"Drink",743,1,10,6.68,1
46,20,"Drink",744,1,10,10.56,1
46,20,"Drink",753,2,3,2.96,1
46,20,"Drink",887,10,7,11.64,1
46,20,"Drink",963,4,2,5.28,1
46,20,"Drink",994,1,10,7.52,1
46,20,"Drink",1201,4,2,13.36,1
46,20,"Eat",96,2,3,13.92,1
46,20,"Eat",114,1,10,18.48,1
46,20,"Eat",133,9,9,60,1
46,20,"Eat",165,1,10,20.72,1
46,20,"Eat",171,2,3,36.22,1
46,20,"Eat",203,1,10,3.48,1
46,20,"Eat",213,12,6,60,1
46,20,"Eat",229,1,10,6,2
46,20,"Eat",316,1,10,24.12,2
46,20,"Eat",317,2,3,32.88,2
46,20,"Eat",677,1,10,16.94,1
46,20,"Eat",716,1,10,14.04,2
46,20,"Eat",816,4,2,54.46,1
46,20,"Eat",826,1,10,10.2,1
46,20,"Eat",830,3,5,47.26,1
46,20,"Eat",852,1,10,37.08,1
46,20,"Eat",942,6,8,11.36,1
46,20,"Eat",1060,12,6,8.08,1
46,20,"Eat",1249,1,10,2.28,1
46,20,"Eat",1266,2,3,1.4,1
69,1,"Drink",52,11,1,0.5,1
69,1,"Drink",58,4,3,0.84,1
69,1,"Drink",70,1,10,1.42,1
69,1,"Drink",85,1,10,0.46,1
69,1,"Drink",98,12,12,2.52,1
69,1,"Drink",103,11,1,10.44,1
69,1,"Drink",117,2,4,3.64,1
69,1,"Drink",119,1,10,8.8,1
69,1,"Drink",119,11,1,0.4,1
69,1,"Drink",208,12,12,11.14,2
69,1,"Drink",263,1,10,5.8,1
69,1,"Drink",271,11,1,1.36,1
69,1,"Drink",389,1,10,3.76,1
69,1,"Drink",476,3,6,9.6,1
69,1,"Drink",697,2,4,5.76,1
69,1,"Drink",702,1,10,6.56,2
69,1,"Drink",794,1,10,9.8,2
69,1,"Drink",1008,1,10,1.72,1
69,1,"Drink",1224,1,10,6.8,2
69,1,"Drink",1344,1,10,2.7,1
69,1,"Drink",1404,1,10,9.3,1
69,1,"Eat",48,4,3,19.36,1
69,1,"Eat",51,11,1,6.12,1
69,1,"Eat",61,1,10,0.68,1
69,1,"Eat",63,1,10,15.04,1
69,1,"Eat",76,10,2,21.88,2
69,1,"Eat",80,10,2,1.18,1
69,1,"Eat",84,1,10,1.6,1
69,1,"Eat",85,1,10,2.6,1
69,1,"Eat",97,1,10,8.32,2
69,1,"Eat",99,8,9,13.62,1
69,1,"Eat",100,9,8,8.24,1
69,1,"Eat",116,1,10,57.4,3
69,1,"Eat",177,2,4,3.46,1
69,1,"Eat",231,1,10,1.64,1
69,1,"Eat",263,5,5,22.04,1
69,1,"Eat",364,1,10,9.02,1
69,1,"Eat",450,12,12,28.96,1
69,1,"Eat",553,1,10,3.8,2
69,1,"Eat",1010,1,10,41.34,1
69,1,"Eat",1390,3,6,42.84,2
69,1,"Eat",1399,1,10,11.08,1
69,1,"Eat",1409,4,3,57,1
80,1,"Drink",35,1,5,0.96,1
80,1,"Drink",43,8,2,0.2,1
80,1,"Drink",137,9,12,3.88,1
80,1,"Drink",157,1,5,1.72,1
80,1,"Drink",163,8,2,4.4,2
80,1,"Drink",200,1,5,2.76,1
80,1,"Drink",249,6,8,3.8,1
80,1,"Drink",271,1,5,6.14,1
80,1,"Drink",372,10,7,6.56,3
80,1,"Drink",380,1,5,10.5,2
80,1,"Drink",543,11,10,1.24,1
80,1,"Drink",573,1,5,2.8,2
80,1,"Drink",638,12,3,5.56,1
80,1,"Drink",662,1,5,1.92,1
80,1,"Drink",664,11,10,5.22,3
80,1,"Drink",705,1,5,15.76,1
80,1,"Drink",800,4,9,5.58,1
80,1,"Drink",820,1,5,4.44,1
80,1,"Drink",940,8,2,11.28,1
80,1,"Drink",1226,1,5,0.14,1
80,1,"Eat",13,1,5,0.32,1
80,1,"Eat",33,8,2,0.16,1
80,1,"Eat",111,1,5,6.9,2
80,1,"Eat",114,9,12,0.58,1
80,1,"Eat",143,1,5,4.92,1
80,1,"Eat",146,7,4,3.28,1
80,1,"Eat",225,1,5,12.64,2
80,1,"Eat",228,5,6,2.56,1
80,1,"Eat",332,9,12,1.92,1
80,1,"Eat",346,1,5,1.44,1
80,1,"Eat",533,12,3,12.52,1
80,1,"Eat",565,1,5,40.04,1
80,1,"Eat",608,12,3,1.04,1
80,1,"Eat",611,1,5,0.08,1
80,1,"Eat",618,1,5,3.94,2
80,1,"Eat",621,12,3,14.56,1
80,1,"Eat",751,1,5,0.52,1
80,1,"Eat",806,5,6,2.92,1
80,1,"Eat",873,1,5,0.08,1
80,1,"Eat",1107,4,9,0.18,1
81,7,"Drink",15,1,3,6.84,2
81,7,"Drink",23,11,2,6.44,1
81,7,"Drink",79,1,3,0.78,1
81,7,"Drink",94,1,3,1.74,1
81,7,"Drink",95,8,11,2.96,2
81,7,"Drink",123,3,6,8.44,1
81,7,"Drink",172,1,3,3.28,1
81,7,"Drink",222,4,5,13,1
81,7,"Drink",257,1,3,4.5,1
81,7,"Drink",343,12,1,1.38,1
81,7,"Drink",538,1,3,1.7,1
81,7,"Drink",633,1,3,3.32,1
81,7,"Drink",643,1,3,8.9,1
81,7,"Drink",653,3,6,4.16,1
81,7,"Drink",821,3,6,9.06,1
81,7,"Drink",827,3,6,8.46,1
81,7,"Drink",875,1,3,4.22,1
81,7,"Drink",1025,8,11,54.92,1
81,7,"Drink",1167,1,3,2.14,1
81,7,"Drink",1264,3,6,10.76,2
81,7,"Eat",15,1,3,7.38,2
81,7,"Eat",25,11,2,51.22,1
81,7,"Eat",96,8,11,30.48,1
81,7,"Eat",116,1,3,24.36,2
81,7,"Eat",133,10,10,0.36,1
81,7,"Eat",141,1,3,7.42,1
81,7,"Eat",220,1,3,21.48,1
81,7,"Eat",231,6,12,32.5,2
81,7,"Eat",353,1,3,9.88,2
81,7,"Eat",369,10,10,40.56,2
81,7,"Eat",631,1,3,30.04,1
81,7,"Eat",724,1,3,3.76,1
81,7,"Eat",727,1,3,18,1
81,7,"Eat",739,3,6,60,1
81,7,"Eat",853,7,4,58.16,2
81,7,"Eat",860,7,4,46.48,2
81,7,"Eat",868,1,3,6.64,1
81,7,"Eat",1025,8,11,3.88,1
81,7,"Eat",1243,2,7,18.6,1
81,7,"Eat",1252,1,3,34.32,1
83,1,"Drink",23,1,1,3.04,1
83,1,"Drink",44,1,1,1.46,1
83,1,"Drink",156,11,12,0.16,1
83,1,"Drink",275,3,9,2.72,1
83,1,"Drink",347,1,1,0.5,1
83,1,"Drink",351,1,1,11.84,1
83,1,"Drink",353,9,6,0.72,1
83,1,"Drink",371,8,5,2.4,1
83,1,"Drink",386,1,1,12.96,1
83,1,"Drink",436,8,5,0.96,1
83,1,"Drink",486,1,1,14.96,1
83,1,"Drink",493,1,1,5.76,1
83,1,"Drink",511,1,1,7,1
83,1,"Drink",527,8,5,8.2,1
83,1,"Drink",611,1,1,19.22,1
83,1,"Drink",792,2,4,2.72,1
83,1,"Drink",920,1,1,18.44,1
83,1,"Drink",1214,3,9,11.12,1
83,1,"Drink",1298,1,1,11.6,1
83,1,"Drink",1392,1,1,5.64,1
83,1,"Eat",35,1,1,2.34,1
83,1,"Eat",123,1,1,18.94,1
83,1,"Eat",313,12,8,23.1,4
83,1,"Eat",321,11,12,23.84,1
83,1,"Eat",350,9,6,42.26,1
83,1,"Eat",352,1,1,26.58,1
83,1,"Eat",357,2,4,56.56,1
83,1,"Eat",359,10,10,49.82,3
83,1,"Eat",360,1,1,22.4,1
83,1,"Eat",418,1,1,44.3,1
83,1,"Eat",426,1,1,45.62,1
83,1,"Eat",457,11,12,42.2,1
83,1,"Eat",543,1,1,50.24,2
83,1,"Eat",557,10,10,35.34,2
83,1,"Eat",619,1,1,13.06,1
83,1,"Eat",732,8,5,3.52,1
83,1,"Eat",766,1,1,9.2,1
83,1,"Eat",787,6,7,37.24,1
83,1,"Eat",812,1,1,46.48,1
83,1,"Eat",1264,7,2,23.4,3
83,12,"Drink",4,1,1,9.24,1
83,12,"Drink",14,2,6,18.28,1
83,12,"Drink",109,10,8,0.32,1
83,12,"Drink",138,7,7,9.46,1
83,12,"Drink",202,1,1,14.12,1
83,12,"Drink",214,1,1,1.52,1
83,12,"Drink",251,2,6,0.36,1
83,12,"Drink",345,1,1,8.64,1
83,12,"Drink",368,5,9,0.48,1
83,12,"Drink",392,1,1,5.88,2
83,12,"Drink",617,1,1,9.44,1
83,12,"Drink",669,8,5,4.16,1
83,12,"Drink",732,1,1,6.34,1
83,12,"Drink",737,11,10,15.86,2
83,12,"Drink",739,1,1,0.96,1
83,12,"Drink",741,10,8,3.48,1
83,12,"Drink",836,6,3,7.4,1
83,12,"Drink",953,1,1,9.64,2
83,12,"Drink",1182,1,1,20.6,1
83,12,"Drink",1294,10,8,8.76,1
83,12,"Eat",9,1,1,4.82,1
83,12,"Eat",19,9,11,30.6,1
83,12,"Eat",110,8,5,1.08,1
83,12,"Eat",125,1,1,58.44,1
83,12,"Eat",132,5,9,18.56,3
83,12,"Eat",158,1,1,1.56,1
83,12,"Eat",244,1,1,34.4,1
83,12,"Eat",249,12,12,3.36,1
83,12,"Eat",363,1,1,2.32,1
83,12,"Eat",373,7,7,2.12,1
83,12,"Eat",624,1,1,2.16,1
83,12,"Eat",678,7,7,19.36,1
83,12,"Eat",739,1,1,4.52,2
83,12,"Eat",740,10,8,42.44,3
83,12,"Eat",742,1,1,60,1
83,12,"Eat",747,4,4,60,1
83,12,"Eat",877,3,2,10.04,1
83,12,"Eat",949,1,1,28.88,1
83,12,"Eat",1309,1,1,30.12,1
83,12,"Eat",1330,8,5,38.6,2
85,8,"Drink",31,1,1,6.68,1
85,8,"Drink",59,2,3,1.96,1
85,8,"Drink",129,1,1,8.52,1
85,8,"Drink",168,1,1,1,1
85,8,"Drink",179,11,9,5.2,1
85,8,"Drink",211,7,5,3.04,1
85,8,"Drink",219,1,1,3.72,1
85,8,"Drink",282,3,12,8.64,1
85,8,"Drink",308,1,1,1.48,1
85,8,"Drink",355,11,9,4.08,1
85,8,"Drink",466,1,1,3.12,1
85,8,"Drink",490,1,1,2.2,1
85,8,"Drink",502,1,1,8.44,1
85,8,"Drink",542,10,8,9.44,1
85,8,"Drink",696,1,1,14.6,3
85,8,"Drink",708,12,10,18.56,2
85,8,"Drink",727,8,6,3.56,1
85,8,"Drink",871,7,5,4.96,1
85,8,"Drink",1072,1,1,11.04,1
85,8,"Drink",1198,9,4,13.84,2
85,8,"Eat",25,1,1,2.08,1
85,8,"Eat",47,5,11,34.28,2
85,8,"Eat",149,1,1,12.32,3
85,8,"Eat",175,1,1,0.84,1
85,8,"Eat",175,3,12,1.64,1
85,8,"Eat",208,9,4,23.68,1
85,8,"Eat",245,1,1,19.4,1
85,8,"Eat",297,4,2,46.36,1
85,8,"Eat",329,1,1,54.32,2
85,8,"Eat",364,11,9,60,1
85,8,"Eat",511,1,1,0.76,1
85,8,"Eat",540,6,7,49.8,1
85,8,"Eat",556,1,1,60,1
85,8,"Eat",559,1,1,60,1
85,8,"Eat",730,9,4,48.48,2
85,8,"Eat",736,8,6,60,1
85,8,"Eat",803,1,1,60,1
85,8,"Eat",886,5,11,60,1
85,8,"Eat",1167,1,1,60,1
85,8,"Eat",1205,4,2,60,2
86,1,"Drink",51,4,5,6.23944,1
86,1,"Drink",159,1,2,1.63493,1
86,1,"Drink",176,8,12,9.00882,1
86,1,"Drink",212,7,9,2.16,1
86,1,"Drink",290,4,5,1.7684,1
86,1,"Drink",291,1,2,2.6,1
86,1,"Drink",319,1,2,4.44,1
86,1,"Drink",371,11,3,14.8,1
86,1,"Drink",479,1,2,17.8549,2
86,1,"Drink",544,3,4,6.4,1
86,1,"Drink",569,1,2,3.10304,1
86,1,"Drink",579,8,12,0.52,1
86,1,"Drink",587,5,7,0.48,1
86,1,"Drink",742,1,2,5.2051,1
86,1,"Drink",749,11,3,10.08,1
86,1,"Drink",785,1,2,7.37389,1
86,1,"Drink",807,1,2,7.23673,1
86,1,"Drink",961,1,2,3.20314,1
86,1,"Drink",1048,12,10,13.16,1
86,1,"Drink",1217,1,2,2.76,1
86,1,"Eat",38,4,5,7.24,1
86,1,"Eat",115,1,2,2.20216,1
86,1,"Eat",120,2,11,3.26987,1
86,1,"Eat",167,11,3,15.24,2
86,1,"Eat",253,11,3,15,1
86,1,"Eat",256,1,2,5.76,1
86,1,"Eat",306,1,2,8.16,1
86,1,"Eat",367,10,1,26.4,1
86,1,"Eat",457,1,2,16.4,1
86,1,"Eat",563,11,3,25.52,1
86,1,"Eat",603,1,2,9.64,1
86,1,"Eat",641,6,8,28.36,2
86,1,"Eat",654,9,6,10.24,1
86,1,"Eat",763,1,2,5.57212,1
86,1,"Eat",819,9,6,20.32,1
86,1,"Eat",829,1,2,31.76,1
86,1,"Eat",837,1,2,35.5348,1
86,1,"Eat",1199,1,2,59.9921,1
86,1,"Eat",1244,1,2,9.00882,1
86,1,"Eat",1258,5,7,60,1
86,7,"Drink",23,1,11,4,1
86,7,"Drink",43,12,5,11.4,2
86,7,"Drink",96,1,11,6.52,1
86,7,"Drink",121,1,11,5.36,1
86,7,"Drink",131,5,8,0.04,1
86,7,"Drink",155,9,7,8.48,1
86,7,"Drink",196,1,11,9.32,1
86,7,"Drink",228,1,11,11.36,1
86,7,"Drink",231,5,8,22,2
86,7,"Drink",352,8,9,2.64,1
86,7,"Drink",411,1,11,8.92,1
86,7,"Drink",442,1,11,13.56,1
86,7,"Drink",467,3,1,3.44,1
86,7,"Drink",607,1,11,12,1
86,7,"Drink",608,10,10,12.52,1
86,7,"Drink",629,2,2,18.88,1
86,7,"Drink",820,1,11,19.24,1
86,7,"Drink",1004,6,4,18.08,2
86,7,"Drink",1163,1,11,8.64,1
86,7,"Drink",1180,5,8,4.2,2
86,7,"Eat",26,1,11,1.76,1
86,7,"Eat",40,12,5,56.64,1
86,7,"Eat",104,1,11,14.68,1
86,7,"Eat",122,7,12,18.6,1
86,7,"Eat",137,1,11,27.96,1
86,7,"Eat",154,10,10,60,4
86,7,"Eat",206,1,11,38,1
86,7,"Eat",231,5,8,9.52,1
86,7,"Eat",284,1,11,12.68,2
86,7,"Eat",350,2,2,16.36,2
